S.No,Station,Latitude,Longitude,line_geom
1,THARAMANI SS,12.97634141412742,80.24068280375194,
2,400 SRIPERUMPUDUR,12.981101494992117,79.9743993527881,"LINESTRING(80.24068280375194 12.97634141412742, 79.9743993527881 12.981101494992117)"
