S.No,Station,Latitude,Longitude,line_geom
1,Palavadi,12.164743472716257,78.05859651975696,
2,MTPS III,11.770866,77.813051,"LINESTRING(78.05859651975696 12.164743472716257, 77.813051 11.770866)"
