S.No,Station,Latitude,Longitude,line_geom
1,Pasumalai,9.905863951036988,78.0822261506476,
2,TAP on Pasumalai-230 Trichy,9.938012114738937,78.10271094156072,"LINESTRING(78.0822261506476 9.905863951036988, 78.10271094156072 9.938012114738937)"
3,Samayanallur,9.974337424768692,78.04570318305767,"LINESTRING(78.10271094156072 9.938012114738937, 78.04570318305767 9.974337424768692)"
4,TAP on Pasumalai-230 Trichy,9.938012114738937,78.10271094156072,"LINESTRING(78.04570318305767 9.974337424768692, 78.10271094156072 9.938012114738937)"
5,TAP on Pasumalai-230 Trichy,10.05815197731346,78.17926399099728,"LINESTRING(78.10271094156072 9.938012114738937, 78.17926399099728 10.05815197731346)"
6,Alagarkoil,10.052451475592614,78.18821017274169,"LINESTRING(78.17926399099728 10.05815197731346, 78.18821017274169 10.052451475592614)"
7,TAP on Pasumalai-230 Trichy,10.05815197731346,78.17926399099728,"LINESTRING(78.18821017274169 10.052451475592614, 78.17926399099728 10.05815197731346)"
8,TAP on Pasumalai-230 Trichy,10.616716278256408,78.53518083347795,"LINESTRING(78.17926399099728 10.05815197731346, 78.53518083347795 10.616716278256408)"
9,MONDIPATTI,10.680479886052817,78.43511230408168,"LINESTRING(78.53518083347795 10.616716278256408, 78.43511230408168 10.680479886052817)"
10,TAP on Pasumalai-230 Trichy,10.616716278256408,78.53518083347795,"LINESTRING(78.43511230408168 10.680479886052817, 78.53518083347795 10.616716278256408)"
11,TAP on Pasumalai-230 Trichy,10.705932846665283,78.5920295781461,"LINESTRING(78.53518083347795 10.616716278256408, 78.5920295781461 10.705932846665283)"
12,Alundur,10.693208550341748,78.61199867438613,"LINESTRING(78.5920295781461 10.705932846665283, 78.61199867438613 10.693208550341748)"
13,TAP on Pasumalai-230 Trichy,10.705932846665283,78.5920295781461,"LINESTRING(78.61199867438613 10.693208550341748, 78.5920295781461 10.705932846665283)"
14,230 Trichy,10.788821959354143,78.64484647176862,"LINESTRING(78.5920295781461 10.705932846665283, 78.64484647176862 10.788821959354143)"
