,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,17,S,,GC+6,24,T16-T17,226.7720760631343,1.87,121,9.270012186,77.5975671,AVAILABLE,LT LINE-2NOS,ROAD,AGRI LAND,"DC Line,lt line-2nos,road,agri land.( e.r 1.87 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5975671 9.270012186, 77.59995326 9.271532987)"
18,18,T,"15°27'46""RT",HCR,24,T17-T18,311.68805438297454,1.06,123,9.271532987,77.59995326,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 1.06 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59995326 9.271532987, 77.60129236 9.273021355)"
19,19,S,,GC,27,T18-T19,220.92191246674267,0.62,123,9.273021355,77.60129236,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land. ( e.r 0.62 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60129236 9.273021355, 77.60274075 9.274636117)"
20,20,T,"33°15'50""LT",KCR,24,T19-T20,239.3591507525542,1.06,123,9.274636117,77.60274075,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 1.06 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60274075 9.274636117, 77.60426626 9.275085469)"
21,21,S,,GC,24,T20-T21,174.93351929524778,0.83,123,9.275085469,77.60426626,AVAILABLE,LT LINE-2NOS,"CART TRACK, POND",PLAIN LAND,"DC Line,lt line-2, cart track, pond, plain land.( e.r 0.83 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60426626 9.275085469, 77.60597784 9.275391545)"
22,22,S,,GC,24,T21-T22,191.1980659132666,1.04,123,9.275391545,77.60597784,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 1.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60597784 9.275391545, 77.60820542 9.276094029)"
23,23,T,"14°36'10""RT",HCR,27,T22-T23,256.9461368167267,0.82,123,9.276094029,77.60820542,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land. ( e.r 0.82 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60820542 9.276094029, 77.61028782 9.277276634)"
24,24,S,,GC,24,T23-T24,263.7111624675781,0.78,123,9.277276634,77.61028782,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line,cart track,lt line,plain land. ( e.r 0.78 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61028782 9.277276634, 77.61241715 9.278451624)"
25,25,S,,GC,24,T24-T25,267.79364603546406,0.64,123,9.278451624,77.61241715,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land. ( e.r 0.64 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61241715 9.278451624, 77.61437919 9.279582934)"
26,26,T,"35°04'08""LT",KCR,27,T25-T26,249.4105958936526,2.21,123,9.279582934,77.61437919,AVAILABLE,11KV LINE,,AGRI LAND,"DC Line,11kv line,fencing, agri land. ( e.r 2.21 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61437919 9.279582934, 77.61478622 9.279460505)"
27,26A,DP,,DP,27,T26-T26A,45,1.93,124,9.279460505,77.61478622,AVAILABLE,22KV LINE,CART TRACK,PLAIN LAND,"DC Line,22 kv line,cart track,plain land. ( e.r  1.93 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61478622 9.279460505, 77.6151986 9.279433372)"
28,26B,DP,,DP,24,T26A-T6B,50,1.26,125,9.279433372,77.6151986,AVAILABLE,230KV LINE,,PLAIN LAND,"DC Line,230 kv tower above the DP line,plain land  ( e.r 1.26)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6151986 9.279433372, 77.61551343 9.279475726)"
29,27,T,"50°47'43""RT",KCR,24,T26B-T27,35,1.13,124,9.279475726,77.61551343,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 1.13 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61551343 9.279475726, 77.61652127 9.280489567)"
30,28,T,"04°19'51""RT",HCR+6,24,T27-T28,186.5710027898419,0.92,127,9.280489567,77.61652127,AVAILABLE,,ROAD,PLAIN LAND,"DC Line,road,plain land. ( e.r 0.92 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61652127 9.280489567, 77.6176374 9.281679437)"
31,29,T,"50°45'04""LT",KCR+6,24,T28-T29,179.99503924271843,0.32,127,9.281679437,77.6176374,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 0.32)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6176374 9.281679437, 77.61858255 9.281618223)"
32,30,T,"09°16'30""LT",KCR,24,T29-T30,104.13046582538371,0.12,127,9.281618223,77.61858255,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r  0.12 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61858255 9.281618223, 77.61896793313711 9.281513220550096)"
,,,,,,T30-KAINGAPATTYGANTRY,43.484380287583974,,126,9.281513220550096,77.61896793313711,,,,,KALINGAPATTY GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H39)/1000,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
