S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,52/1 LILO,3W,T,,DB+0,,,2.58,0,299.3338623,,10.38097124,77.83560016,Good,Good,,,Plain, (LILO KANNIVADI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8356001619249 10.3809712361544, 77.8362106159329 10.3815933410078)"
2,2,,T,PKC,DB+0,GANTRY-,101,1.07,FALSE,299.8145752,14°34'42''LT,10.38159334,77.83621062,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8362106159329 10.3815933410078, 77.8371435217559 10.3832195978611)"
3,3,,S,LPC,DD+0,-,212,1.27,FALSE,298.1323242,,10.3832196,77.83714352,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8371435217559 10.3832195978611, 77.8381426446139 10.3849954716861)"
4,4,,T,TKC,DB+0,-,230,2.84,FALSE,300.5356445,44°32'49''RT,10.38499547,77.83814264,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8381426446139 10.3849954716861, 77.8380734100937 10.3852636925876)"
5,GANTRY,2W,T,,DB+0,-,35,NIL,,302.6986084,,10.38526369,77.83807341,Good,NO E/W,,,Plain,KANNIVADI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL (m),,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
