S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 45,3W,T,DC,26,,,5.22,132.21489,,9.904027778,78.16572222,GOOD,,,,PLAIN,Paumalai - Alagarkoil Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16572222222223 9.904027777777777, 78.16616666666667 9.905666666666667)"
2,1,,T,DC,26,4 -5,190.0946767,Not taken,131.984619,"40°31'54"" R",9.905666667,78.16616667,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16616666666667 9.905666666666667, 78.16691666666667 9.906194444444445)"
3,2,,T,DC,26,5 -6,99.63883106,Not taken,132.640076,"8°35'43"" L",9.906194444,78.16691667,GOOD,Available,,HT,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16691666666667 9.906194444444445, 78.16880555555556 9.907944444444444)"
4,3,,S,DA,26,6 -7,283.9956841,8.47,132.169769,,9.907944444,78.16880556,GOOD,Available,HT,NH  ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16880555555556 9.907944444444444, 78.17080555555556 9.909833333333333)"
5,4,,S,DA,26,7 -8,302.5303968,0.77,131.834778,,9.909833333,78.17080556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17080555555556 9.909833333333333, 78.17297222222223 9.911944444444444)"
6,5,,S,DA,26,8 -9,333.9135605,1.45,132.097458,,9.911944444,78.17297222,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17297222222223 9.911944444444444, 78.17488888888889 9.913777777777778)"
7,6,,T,DC,26,9 -10,293.5247277,2.47,135.316345,"0°35'56"" R",9.913777778,78.17488889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17488888888889 9.913777777777778, 78.17697222222223 9.915777777777778)"
8,7,,S,DA,26,10 -11,318.8758802,0.23,141.016434,,9.915777778,78.17697222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17697222222223 9.915777777777778, 78.179 9.917722222222222)"
9,8,,S,DA,26,11 -12,307.63719,1.84,143.66153,,9.917722222,78.179,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.179 9.917722222222222, 78.18088888888889 9.919583333333332)"
10,9,,T,DC,26,12 -13,291.172882,1.63,145.412109,"29°26'47"" L",9.919583333,78.18088889,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18088888888889 9.919583333333332, 78.18136111111112 9.921277777777776)"
11,10,,T,DC,26,13 -14,195.078125,0.6,145.667389,"6°5'16""  L",9.921277778,78.18136111,GOOD,Available,LT,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18136111111112 9.921277777777776, 78.18158333333334 9.922583333333332)"
12,11,,T,DC,26,14 -15,148.7895715,1.2,146.491119,"37°46'5"" R",9.922583333,78.18158333,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18158333333334 9.922583333333332, 78.18311111111112 9.923972222222222)"
13,12,,T,DC,26,15 -16,227.0445866,3.25,146.374588,"45°49'57"" R",9.923972222,78.18311111,GOOD,Available,,"CANAL,POND",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18311111111112 9.923972222222222, 78.18402777777779 9.923944444444444)"
