S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY,2W,T,BAY,12,,,NIL,,282.7513428,,10.13453255,77.55232176,Good,NO E/W,,,SS INSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5523217581212 10.1345325540751, 77.5523311458528 10.1343872956931)"
2,1,,T,DB+0,22,4-5,21,2.91,FALSE,286.8369141,14°53'45''LT,10.1343873,77.55233115,Good,Good,,,SS INSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5523311458528 10.1343872956931, 77.5515418220311 10.1367166265845)"
3,2,,S,DA+0,24,5-6,278,2.95,FALSE,295.7290039,,10.13671663,77.55154182,Good,Good,"5 Nos - 22KV, 2-LT",THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5515418220311 10.1367166265845, 77.550709079951 10.1391431875526)"
4,3,,S,DA+0,24,6-7,289,7.27,FALSE,290.6821289,,10.13914319,77.55070908,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.550709079951 10.1391431875526, 77.5499366037547 10.1415492966771)"
5,4,,S,DA+0,24,7-8,285,3.04,FALSE,299.5742188,,10.1415493,77.5499366,Good,Good,22KV,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5499366037547 10.1415492966771, 77.549102101475 10.1439264044165)"
6,5,,T,DB+0,22,8-9,284,4.56,FALSE,296.9306641,7°22'22''LT,10.1439264,77.5491021,Good,Good,2-LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.549102101475 10.1439264044165, 77.5483446288853 10.1454282738268)"
7,6,,T,DD+0,24,9-10,191,1.14,FALSE,300.0550537,39°46'13''LT,10.14542827,77.54834463,Good,Good,,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5483446288853 10.1454282738268, 77.5488140154629 10.1476783119142)"
8,7,,T,DC+0,22,10-11,260,3.9,FALSE,288.7595215,16°11'8''RT,10.14767831,77.54881402,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5488140154629 10.1476783119142, 77.5494772754609 10.1489213481545)"
9,8,,T,DB+0,22,11-12,161,1.32,FALSE,301.9776611,2°34'44''LT,10.14892135,77.54947728,Good,Good,,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5494772754609 10.1489213481545, 77.550434237346 10.150928478688)"
10,9,,S,DA+0,24,12-13,251,6.34,FALSE,299.3338623,,10.15092848,77.55043424,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.550434237346 10.150928478688, 77.5510766264051 10.1523031108081)"
11,10,,T,DD+0,24,13-14,173,1.47,FALSE,300.776001,35°41'3''RT,10.15230311,77.55107663,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5510766264051 10.1523031108081, 77.5506637338548 10.1547551527619)"
12,11,,S,DA+0,24,14-15,281,3.94,FALSE,299.0935059,,10.15475515,77.55066373,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5506637338548 10.1547551527619, 77.5501583050936 10.1575918402522)"
13,12,2W,T,DB+0,22,15-16,325,1.41,FALSE,303.6599121,10°9'52''LT,10.15759184,77.55015831,Good,Good,2 - LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5501583050936 10.1575918402522, 77.5492118205875 10.1601438783109)"
14,13,,S,DA+0,24,16-17,307,5.14,FALSE,307.505127,,10.16014388,77.54921182,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5492118205875 10.1601438783109, 77.5482593011111 10.1626783143728)"
15,14,,T,DB+0,22,17-18,309,0.12,FALSE,306.0631104,10°32'32''RT,10.16267831,77.5482593,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5482593011111 10.1626783143728, 77.5480253621935 10.1640089415013)"
16,15,,S,DA+0,24,18-19,159,0.12,FALSE,306.0631104,,10.16400894,77.54802536,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5480253621935 10.1640089415013, 77.5475810375064 10.1661902479827)"
17,16,,T,DB+0,22,19-20,256,5.6,FALSE,315.9165039,19°20'29''LT,10.16619025,77.54758104,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5475810375064 10.1661902479827, 77.5478879828006 10.1685808505862)"
18,17,,S,DA+0,24,20-21,276,3.6,FALSE,309.4277344,,10.16858085,77.54788798,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5478879828006 10.1685808505862, 77.5480893999338 10.1706459000706)"
19,18,,T,DB+0,22,21-22,239,4.58,FALSE,321.2038574,1°32'35''LT,10.1706459,77.5480894,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5480893999338 10.1706459000706, 77.5482588820159 10.1730613131076)"
20,19,,T,DB+0,22,22-23,278,2.12,FALSE,320.2424316,2°31'59''RT,10.17306131,77.54825888,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5482588820159 10.1730613131076, 77.548483684659 10.1750131230801)"
21,20,,T,DB+0,22,23-24,227,3.98,FALSE,322.1650391,11°37'47''RT,10.17501312,77.54848368,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.548483684659 10.1750131230801, 77.5491226371377 10.1769453193992)"
22,21,,T,DB+0,22,24-25,234,4.72,FALSE,328.8942871,12°18'47''LT,10.17694532,77.54912264,Good,Good,POND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5491226371377 10.1769453193992, 77.5492693204432 10.178369404748)"
23,22,,T,DD+0,24,25-26,168,4.87,FALSE,331.5378418,33°20'54''RT,10.1783694,77.54926932,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5492693204432 10.178369404748, 77.5479225162416 10.1799137704074)"
24,23,2W,T,DC+0,22,26-27,235,4.19,FALSE,328.6539307,21°33'27''LT,10.17991377,77.54792252,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5479225162416 10.1799137704074, 77.5450232997536 10.181416394189)"
