S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),t,Ground Elevation,Horizontal Angle,Latitude,Longitude,"Condition of Tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly / Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,KIN GAN,2W,GANTRY,T,26,,,0.15,FALSE,169.911926,,9.920752931,77.96983701,Good,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96983700795614 9.920752930587089, 77.9699649996169 9.921202871135511)"
2,199/14-2,,MD+0,T,55,KIN GAN-199/14-2,51.75543169,0.85,FALSE,168.700867,89°89'8''RT,9.921202871,77.969965,Good,Not Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9699649996169 9.921202871135511, 77.97151900445576 9.920790900479979)"
3,199/13-2,,MD+3,T,58,199/14-2-199/13-2,176.5689363,0.3,FALSE,168.268158,32°32'46''RT,9.9207909,77.971519,Good,Good,"LT, 11KV",MC TAPPING,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97151900445576 9.920790900479979, 77.97223498662031 9.920018927150535)"
4,1,,D+0,T,28,199/13-2-1,116.1058995,0.61,FALSE,170.006424,35°135'20''RT,9.920018927,77.97223499,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97223498662031 9.920018927150535, 77.97218896997184 9.91844488957229)"
5,2,,A+3,S,31,01-Feb,174.3324307,3.3,FALSE,172.769409,,9.91844489,77.97218897,Good,Good,"11KV, 33KV",KOTTAMPATTY ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97218896997184 9.91844488957229, 77.97205695499699 9.915436876018635)"
6,3,2W,D+0,T,26,02-Mar,333.3275496,4.6,FALSE,168.832626,31°4'57''RT,9.915436876,77.97205695,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97205695499699 9.915436876018635, 77.97198696610586 9.914870929926943)"
7,4,,H-POLE,T,26,03-Apr,63.12423008,0.4,FALSE,169.869156,,9.91487093,77.97198697,H-POLE,Not Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97198696610586 9.914870929926943, 77.97171002802668 9.91485886000779)"
8,220 CH PA,,DA+0,S,26,4-220 CH PA,30.42832034,0.31,FALSE,170.930252,,9.91485886,77.97171003,ANOTHER LINE,Not Available,"LT,230KV",230 KV CHEKANOORANI - PASUMALAI OVER HEAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97171002802668 9.91485886000779, 77.9718640035869 9.914438926651345)"
9,5,,H-POLE,T,28,220 CH PA-5,49.46713483,0.2,FALSE,171.786575,,9.914438927,77.971864,H-POLE,Not Available,"LT,230KV",230 KV CHEKANOORANI - PASUMALAI OVER HEAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9718640035869 9.914438926651345, 77.97143200029996 9.914107925331399)"
10,6,2W,D+0,T,26,05-Jun,59.9291931,7.91,FALSE,171.861008,47°14'11''RT,9.914107925,77.971432,Good,Good,"LT,230KV",230 KV CHEKANOORANI - PASUMALAI OVER HEAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97143200029996 9.914107925331399, 77.96969996383854 9.91337685587562)"
11,7,,D+3,T,29,06-Jul,206.6330396,0.5,FALSE,170.557922,59°58'10''RT,9.913376856,77.96969996,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96969996383854 9.91337685587562, 77.96937801493917 9.911295880819054)"
