S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry,2W,Gantry,,18,,,1.46,FALSE,198.477386,,10.05316667,78.18738889,Good,,,,Plain,Alagarkoil SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18738888888889 10.053166666666668, 78.1871388888889 10.053222222222223)"
2,605,,T,DD,35.35,Gantry -605,27.61847386,2.06,FALSE,200.368042,"46°39'36""L",10.05322222,78.18713889,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1871388888889 10.053222222222223, 78.18672222222223 10.053916666666668)"
3,604,,T,D,21.032,605-604,90.99856933,3.62,FALSE,201.498032,"44°0'0"" L",10.05391667,78.18672222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18672222222223 10.053916666666668, 78.1871388888889 10.055861111111112)"
4,603,,T,D+3,24,604-603,218.6786542,3.28,FALSE,202.52507,"31°30'0"" L",10.05586111,78.18713889,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1871388888889 10.055861111111112, 78.18827777777778 10.057)"
5,602,,T,D,21,603-602,177.2260476,0.94,FALSE,203.68988,"32°41'24""L",10.057,78.18827778,Good,Available,11KV -2N,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18827777777778 10.057, 78.19077777777778 10.057583333333334)"
6,601,,T,D,21,602-601,282.2772064,0.84,FALSE,201.832153,"51°2'24""L",10.05758333,78.19077778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19077777777778 10.057583333333334, 78.19252777777778 10.05625)"
7,600,,T,D+6,27,601-600,242.9519518,1.23,FALSE,198.239914,"29°17'24""L",10.05625,78.19252778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19252777777778 10.05625, 78.19344444444445 10.054111111111112)"
8,599,,S,A+6,27,600-599,255.5904897,14.49,FALSE,194.561279,,10.05411111,78.19344444,Good,Available,"11KV -3N, LT",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19344444444445 10.054111111111112, 78.19427777777778 10.052138888888889)"
9,598,,T,D,21,599-598,236.1492588,14.07,FALSE,192.794159,"22°6'0"" R",10.05213889,78.19427778,Good,Available,"110KV Kottampatti - Sempatti, LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19427777777778 10.052138888888889, 78.19602777777779 10.050444444444445)"
10,597,,T,C,21,598-597,269.1397165,7.12,FALSE,192.265945,"2°34'12"" L",10.05044444,78.19602778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19602777777779 10.050444444444445, 78.19730555555556 10.049055555555556)"
11,596,2W,T,D,21,597-596,206.5823898,8.53,FALSE,190.932785,"56°15'0"" L",10.04905556,78.19730556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19730555555556 10.049055555555556, 78.19686111111112 10.047361111111112)"
12,595,,S,A,21,596-595,194.9485975,0.65,FALSE,190.493622,,10.04736111,78.19686111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19686111111112 10.047361111111112, 78.19647222222223 10.045833333333333)"
13,594,,T,C,21,595-594,174.9761532,4.29,FALSE,187.994354,"17°7'48"" R",10.04583333,78.19647222,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19647222222223 10.045833333333333, 78.19658333333334 10.043861111111111)"
14,593,,T,D,21,594-593,215.7873432,3.92,FALSE,185.111938,"51°38'24"" R",10.04386111,78.19658333,Good,Available,,"Canal, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19658333333334 10.043861111111111, 78.19850000000001 10.042555555555555)"
15,592,,S,A,21,593-592,255.1563877,5.61,FALSE,184.418015,,10.04255556,78.1985,Good,Available,"110KV Kottampatti - Sempatti, LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19850000000001 10.042555555555555, 78.20019444444445 10.041361111111112)"
