S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, Gantry ( Thiruvadanai SS),2W,Gantry,H-Pole,12,,,,,36.395416,,9.796888889,78.89355556,GOOD,NO E/W,,,SS,Thiruvadanai SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89355555555557 9.796888888888889, 78.89336111111112 9.797)"
2,1,,T,DC,26, Gantry-1,28,0.27,FALSE,36.364426,"68°54'36""L",9.797,78.89336111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89336111111112 9.797, 78.89366666666668 9.799444444444445)"
3,2,,T,DB+3,28,01-Feb,272.84169,4.12,FALSE,35.255291,"9°50'24""R",9.799444444,78.89366667,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89366666666668 9.799444444444445, 78.89355555555557 9.801694444444445)"
4,3,,T,DB,25,02-Mar,248.4324407,2.54,FALSE,35.294899,"17°47'24""R",9.801694444,78.89355556,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89355555555557 9.801694444444445, 78.89266666666667 9.803972222222223)"
5,4,,S,DA,26,03-Apr,271.8034799,1.02,FALSE,35.619476,,9.803972222,78.89266667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89266666666667 9.803972222222223, 78.89175 9.806277777777778)"
6,5,,S,DA+3,29,04-May,272.2785044,1.46,FALSE,36.477165,,9.806277778,78.89175,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89175 9.806277777777778, 78.89094444444446 9.80838888888889)"
7,6,,S,DA,26,05-Jun,251.4563487,2.23,FALSE,36.645741,,9.808388889,78.89094444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89094444444446 9.80838888888889, 78.89011111111112 9.810527777777779)"
8,7,,S,DA,26,06-Jul,254.0359271,2.48,FALSE,37.130363,,9.810527778,78.89011111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89011111111112 9.810527777777779, 78.88930555555557 9.812583333333334)"
9,8,,S,DA,26,07-Aug,244.0113053,0.3,FALSE,35.542961,,9.812583333,78.88930556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88930555555557 9.812583333333334, 78.88841666666667 9.81488888888889)"
10,9,,T,DB,25,08-Sep,271.0747811,0.28,FALSE,36.427319,"19°50'24""R",9.814888889,78.88841667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88841666666667 9.81488888888889, 78.887 9.816472222222224)"
11,10,,S,DA,26,09-Oct,233.7003809,3.62,FALSE,36.389984,,9.816472222,78.887,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.887 9.816472222222224, 78.8853888888889 9.818305555555556)"
12,11,2W,T,DB,25,10-Nov,270.2010219,2.17,FALSE,36.605232,"4°54'0""L",9.818305556,78.88538889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8853888888889 9.818305555555556, 78.88391666666668 9.820305555555555)"
13,12,,S,DA,26,11-Dec,273.2208551,0.41,FALSE,39.42947,,9.820305556,78.88391667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88391666666668 9.820305555555555, 78.88244444444443 9.822305555555555)"
14,13,,S,DA,26,Dec-13,275.296432,3.4,FALSE,38.489712,,9.822305556,78.88244444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88244444444443 9.822305555555555, 78.88108333333332 9.82425)"
15,14,,S,DA,26,13-14,261.0718377,2.62,FALSE,39.786369,,9.82425,78.88108333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88108333333332 9.82425, 78.8796111111111 9.826194444444445)"
16,15,,T,DB,25,14-15,269.1820455,4.37,FALSE,40.258934,"10°28'48""L",9.826194444,78.87961111,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8796111111111 9.826194444444445, 78.87849999999999 9.8285)"
17,16,,S,DA,26,15-16,283.2383885,2.52,FALSE,40.797295,,9.8285,78.8785,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87849999999999 9.8285, 78.8773611111111 9.830805555555555)"
18,17,,S,DA,26,16-17,284.571059,3.17,FALSE,40.453888,,9.830805556,78.87736111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8773611111111 9.830805555555555, 78.87625 9.833055555555555)"
19,18,,S,DA,26,17-18,277.2740539,1.51,FALSE,41.190285,,9.833055556,78.87625,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87625 9.833055555555555, 78.87508333333332 9.835416666666667)"
20,19,,S,DA+3,29,18-19,293,1.68,FALSE,39.071434,,9.835416667,78.87508333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87508333333332 9.835416666666667, 78.87391666666666 9.83775)"
21,20,,S,DA,26,19-20,288.72609,3.42,FALSE,39.43309,,9.83775,78.87391667,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87391666666666 9.83775, 78.87277777777777 9.840055555555557)"
22,21,,S,DA,26,20-21,285,2.65,FALSE,39.637535,,9.840055556,78.87277778,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87277777777777 9.840055555555557, 78.87166666666666 9.842305555555557)"
23,22,,S,DA,26,21-22,277.7974258,3.7,FALSE,40.946674,,9.842305556,78.87166667,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87166666666666 9.842305555555557, 78.87047222222222 9.844722222222222)"
24,23,2W,T,DB,25,22-23,298.7393592,3.41,FALSE,41.951496,"20°39'36""R",9.844722222,78.87047222,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87047222222222 9.844722222222222, 78.86838888888889 9.846694444444445)"
