S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
7,6,,S,SA,21,05-Jun,258.2150516,0.61,FALSE,9.126858,,9.342361111,78.92208333,GOOD, NO E/W,"LT,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92208333333333 9.342361111111112, 78.91994444444445 9.342611111111111)"
8,7,,S,SA,21,06-Jul,236.6612019,1.34,FALSE,9.063186,,9.342611111,78.91994444,GOOD, NO E/W,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91994444444445 9.342611111111111, 78.918 9.342861111111112)"
9,8,,T,SB,21.6,07-Aug,216.7683404,1.1,FALSE,8.851831,"7°26'60""R",9.342861111,78.918,GOOD, NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.918 9.342861111111112, 78.91575 9.342861111111112)"
10,9,,T,SB,21.6,08-Sep,246.6813011,0.41,FALSE,9.270315,"4°13'48""R",9.342861111,78.91575,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91575 9.342861111111112, 78.91344444444445 9.342694444444446)"
11,10,,S,SA,21,09-Oct,253.775585,2.87,FALSE,9.390797,,9.342694444,78.91344444,GOOD,Available,2-LT,Road,Plain,,,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91344444444445 9.342694444444446, 78.91136111111112 9.342555555555556)"
12,11,,S,SA,21,10-Nov,230.4481389,1.76,FALSE,9.556591,,9.342555556,78.91136111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91136111111112 9.342555555555556, 78.90908333333334 9.34238888888889)"
13,12,,S,SA,21,11-Dec,250.9989175,2.05,FALSE,9.013386,,9.342388889,78.90908333,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90908333333334 9.34238888888889, 78.90663888888889 9.342222222222222)"
14,13,2W,T,SB,21.6,Dec-13,266.6724888,3.15,FALSE,10.317149,"26°55'48""L",9.342222222,78.90663889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90663888888889 9.342222222222222, 78.90477777777778 9.343027777777777)"
15,14,,S,SA,21,13-14,223.4664234,1.98,FALSE,9.22549,,9.343027778,78.90477778,GOOD, NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90477777777778 9.343027777777777, 78.90280555555556 9.34388888888889)"
16,15,,S,SA,21,14-15,237.6295072,2.4,FALSE,9.604015,,9.343888889,78.90280556,GOOD, NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90280555555556 9.34388888888889, 78.90063888888889 9.344805555555556)"
17,16,,S,SA,21,15-16,258.1683017,3.12,FALSE,11.693354,,9.344805556,78.90063889,GOOD, NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90063888888889 9.344805555555556, 78.89877777777778 9.345611111111111)"
18,17,,T,SB,21.6,16-17,223.4392698,4.01,FALSE,10.059814,"9°21'0""R",9.345611111,78.89877778,GOOD, NO E/W,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89877777777778 9.345611111111111, 78.8966388888889 9.34613888888889)"
19,18,,S,SA,21,17-18,242.4917952,1.12,FALSE,9.729141,,9.346138889,78.89663889,GOOD,Available,"2-LT,11KV",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8966388888889 9.34613888888889, 78.89450000000001 9.346694444444445)"
20,19,,S,SA,21,18-19,241.4568208,2.79,FALSE,9.192186,,9.346694444,78.8945,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89450000000001 9.346694444444445, 78.8923888888889 9.347194444444446)"
21,20,,S,SA,21,19-20,240.3236423,1.17,FALSE,10.658457,,9.347194444,78.89238889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8923888888889 9.347194444444446, 78.89022222222223 9.347694444444445)"
22,21,,T,SB,21.6,20-21,244.4476324,0.96,FALSE,11.492197,"24°7'48""R",9.347694444,78.89022222,GOOD,Available,3LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89022222222223 9.347694444444445, 78.88869444444445 9.347416666666668)"
23,22,,S,SA,21,21-22,171.5588744,1.43,FALSE,10.710673,,9.347416667,78.88869444,GOOD,Available,3LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88869444444445 9.347416666666668, 78.88708333333334 9.347138888888889)"
24,23,,S,SA,21,22-23,179.1675812,2.07,FALSE,10.18958,,9.347138889,78.88708333,GOOD,Available,2LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88708333333334 9.347138888888889, 78.88522222222223 9.346805555555557)"
25,24,2W,T,SB,21.6,23-24,208.536819,2.72,FALSE,11.349593,"28°9'36""L",9.346805556,78.88522222,GOOD,Available,"2LT ,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88522222222223 9.346805555555557, 78.88313888888888 9.347444444444445)"
26,25,,S,SA,21,24-25,239.1067393,3.01,FALSE,12.098408,,9.347444444,78.88313889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88313888888888 9.347444444444445, 78.88108333333332 9.348027777777778)"
27,26,,S,SA,21,25-26,234.5138774,2.94,FALSE,10.662405,,9.348027778,78.88108333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88108333333332 9.348027777777778, 78.87897222222222 9.348638888888889)"
28,27,,T,SB,21.6,26-27,242.5481082,1.74,FALSE,11.532362,"4°3'36""R",9.348638889,78.87897222,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87897222222222 9.348638888888889, 78.87677777777778 9.349083333333335)"
29,28,,S,SA,21,27-28,244.4658199,2.04,FALSE,12.789956,,9.349083333,78.87677778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87677777777778 9.349083333333335, 78.87458333333333 9.349472222222223)"
30,29,,S,SA,21,28-29,245.2027083,4.11,FALSE,12.641049,,9.349472222,78.87458333,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87458333333333 9.349472222222223, 78.87258333333332 9.349861111111112)"
31,30,,T,SB,21.6,29-30,222.5461369,3.84,FALSE,14.679977,"0°37'12""L",9.349861111,78.87258333,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87258333333332 9.349861111111112, 78.87177777777777 9.350027777777777)"
32,31,,T,SB,21.6,30-31,90.51114041,2.63,FALSE,13.083017,"0°37'48""L",9.350027778,78.87177778,GOOD,Available,,NH ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87177777777777 9.350027777777777, 78.87047222222222 9.350305555555556)"
33,32,,S,SA,21,31-32,148.2117535,3.86,FALSE,13.870444,,9.350305556,78.87047222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87047222222222 9.350305555555556, 78.86919444444443 9.3505)"
34,33,3W,T,SB,21.6,32-33,142.1070132,4.13,FALSE,13.76688,"4°45'0""L",9.3505,78.86919444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86919444444443 9.3505, 78.86824999999999 9.350722222222222)"
35,34,,T,SB,21.6,33-34,105.5529011,2.66,FALSE,15.092366,"8°1'48""L",9.350722222,78.86825,GOOD,Available,,SCHOOL,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86824999999999 9.350722222222222, 78.86619444444445 9.351527777777777)"
36,35,,S,SA,21,34-35,244.9030779,3.59,FALSE,13.864033,,9.351527778,78.86619444,GOOD,Available,2LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86619444444445 9.351527777777777, 78.86408333333333 9.352333333333332)"
37,36,,T,SB,21.6,35-36,248.3531128,2.26,FALSE,14.824322,"43°21'36""R",9.352333333,78.86408333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86408333333333 9.352333333333332, 78.86274999999999 9.351777777777777)"
38,37,,T,SB,21.6,36-37,157.2931175,3.09,FALSE,15.118496,"51°1'12""R",9.351777778,78.86275,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86274999999999 9.351777777777777, 78.86252777777777 9.351055555555556)"
39,38,2W,T,SB,21.6,37-38,85.91429549,5.11,FALSE,15.758884,"9°58'48""L",9.351055556,78.86252778,GOOD,Available,,Railway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86252777777777 9.351055555555556, 78.86149999999999 9.349)"
40,39,,T,SB,21.6,38-39,252.4808398,3.06,FALSE,15.139876,"18°5'60""L",9.349,78.8615,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86149999999999 9.349, 78.86047222222221 9.348)"
