SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,Sanganeri,2W,,,,,,,,38,8.209109336,77.67097111,GOOD,,,,,Sanganeri gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67097111 8.209109336, 77.67089769 8.208842542)"
1,1,,T,"83°07'17""RT",KC,24,Gantry (Sanganeri)- T1,30.61650864,2.78,38,8.208842542,77.67089769,GOOD,NOT AVAILABLE,,,plain land,"dc Line,Gantry Sanganeri- T1 Earth wire not available.fencing,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67089769 8.208842542, 77.66821415 8.209240476)"
2,2,,T,"14°06'47""LT",HC+3,24.94,T1-T2,299.1468577,2.43,38,8.209240476,77.66821415,GOOD,AVAILABLE,"33Kv line-8Nos, 11Kv line, Lt Line",Road,plain land,"SC line,33kv line-8Nos,11kvline,lt line,Road.fencing,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66821415 8.209240476, 77.66579915 8.209005924)"
3,3,,S,,PA,20.9,T2-T3,267.5404792,1.76,39,8.209005924,77.66579915,GOOD,AVAILABLE,33Kv Line,,plain land,"SC line,33kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66579915 8.209005924, 77.66339992 8.208775354)"
4,4,,S,,PA+3,23.9,T3-T4,265.7679015,1.42,39,8.208775354,77.66339992,GOOD,AVAILABLE,33KV line,"cart track-2nos, Road,odai(Nala)",,"SC line,cart track-2nos,Road,odai(Nala),33kv line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66339992 8.208775354, 77.66095575 8.208533835)"
5,5,,S,,PA,20.9,T4-T5,270.8163486,1.54,38,8.208533835,77.66095575,GOOD,AVAILABLE,LtLine,Road,plain land,"SC line.fencing,Road.,Lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66095575 8.208533835, 77.65842207 8.208299616)"
6,6,,S,,PA,20.9,T5-T6,280.56271,21.63,39,8.208299616,77.65842207,GOOD,AVAILABLE,"lt line-2nos,33kv line",Cart track,plain land,"SC line, cart track,lt line-2nos,33kv line, compound wall,plain land(ahameet marine company inner)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65842207 8.208299616, 77.65587799 8.208024904)"
7,7,,T,"24°44'31""RT",PB,20.85,T6-T7,282.1521042,2.7,37,8.208024904,77.65587799,GOOD,AVAILABLE,,,plain land,"SC line,compound wall,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65587799 8.208024904, 77.65338387 8.208884098)"
8,8,,S,,PA,20.9,T7-T8,290.9726666,1.36,38,8.208884098,77.65338387,GOOD,AVAILABLE,lt line.11kv line,Cart track,,"SC line,cart track.lt line.11kv line,fencing.Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65338387 8.208884098, 77.65119419 8.209640081)"
9,9,3W,T,"82°23'44""LT",KC,24,T8-T9,255.5154868,2.58,35,8.209640081,77.65119419,GOOD,AVAILABLE,,,plain land,"dc Line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65119419 8.209640081, 77.65082472 8.208908051)"
