SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,Veeyanur,2W,,,,,,,,61,8.314744,77.27183,,,,,,Veyanoor gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27183 8.314744, 77.27153 8.314749)"
1,1,,,"114°12'22""RT",KC,24,Gantry VEEYANUR- T1,33.14637755,2.8,61,8.314749,77.27153,GOOD,NOT AVAILABLE,,,Plain Area,"dc.Line,Gantry VEEYANUR- T1  earth wire Not Available,Fencing,Plain Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27153 8.314749, 77.2723 8.316453)"
2,2,,,,GC+3,26.62,T1-T2,206.786289,1.56,35,8.316453,77.2723,GOOD,AVAILABLE,Lt Line,Road,Plain Area,"dc line,Lt Line,Road.compund wall(land compund inner house)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2723 8.316453, 77.27314 8.318234)"
3,3,,,,GC,23.62,T2-T3,217.3843853,1.76,35,8.318234,77.27314,GOOD,AVAILABLE,"11KV Line-2Nos, Lt Line-2Nos","Road-2Nos,Odai(Nala)",Agri Land,"Dc line,11kv line-2Nos, Road-2Nos,Lt Line-2Nos,Odai(nala), Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27314 8.318234, 77.27405 8.320066)"
4,4,,,"00°18'33""RT",HC+3,24.94,T3-T4,226.1943151,2.42,32,8.320066,77.27405,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27405 8.320066, 77.27477 8.321622)"
5,5,,,,GC+3,26.62,T4-T5,189.8175842,1.54,33,8.321622,77.27477,GOOD,AVAILABLE,"Lt Line, 11KV line",Road,Plain Area,"Dc line,Lt line,11kv line,Road,compund wall,plain area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27477 8.321622, 77.27582 8.323754)"
6,6,,,,GC+3,26.62,T5-T6,262.5216882,1.63,37,8.323754,77.27582,GOOD,AVAILABLE,Lt Line -2Nos,Road,Agri Land,"Dcline,Lt line-2Nos,Road,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27582 8.323754, 77.27674 8.325658)"
7,7,,,,GC+3,26.62,T6-T7,233.7567111,1.7,63,8.325658,77.27674,GOOD,AVAILABLE,"11kv Line,Lt line",",Odai(nala)-2Nos,well,Road",Agri Land,"Dc Line,Odai(nala)-2Nos,well,Road,11kv Line,Lt line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27674 8.325658, 77.27769 8.327661)"
8,8,,,"27°31'37""RT",HC+3,24.94,T7-T8,245.1205211,2.26,75,8.327661,77.27769,GOOD,AVAILABLE,Lt Line -2Nos,Road,Agri Land,"dc Line, Lt Line,Road,Lt Line,(hills Area & Agri land)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27769 8.327661, 77.27874 8.328437)"
9,9,,,,GC+3,26.62,T8-T9,144.3798665,1.58,65,8.328437,77.27874,GOOD,AVAILABLE,,,Agri Land,"Dc line,church.(hillS Area, Agri Land)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27874 8.328437, 77.28058 8.329804)"
10,10,,,,GC+3,26.62,T9-T10,253.1385048,1.4,54,8.329804,77.28058,GOOD,AVAILABLE,Lt Line -2Nos,"Road,Well",Agri Land,"Dc line,Ltline-2os,Road,house,well,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28058 8.329804, 77.28251 8.331277)"
11,11,,,,GC+3,26.62,T10-T11,267.238331,1.52,47,8.331277,77.28251,GOOD,AVAILABLE,,"Road, River",Agri Land,"Dc line,Road,River,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28251 8.331277, 77.28397 8.332362)"
12,12,,,"33°59'26""LT",KC+3,27,T11-T12,200.6500593,2.74,46,8.332362,77.28397,GOOD,AVAILABLE,"Lt Line, 11KV line",Road,Agri Land,"Dc line,Road-2Nos,Lt line,11kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28397 8.332362, 77.28458 8.334184)"
13,13,,,,GC,23.62,T12-T13,212.5875045,1.46,59,8.334184,77.28458,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28458 8.334184, 77.28535 8.336517)"
