SL.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=1+A73,68,S,,GCR,27,T67-T68,283.39846567164057,4.65,90,9.041704361,77.79632818,AVAILABLE,,,AGRI LAND,"Dc line, good,  Agri land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79632818 9.041704361, 77.7968022599816 9.04403139482584)"
=1+A74,69,S,,GCR,27,T68-T69,262.80101803643004,4.78,90,9.04403139482584,77.7968022599816,AVAILABLE,11V LINE,ROAD,AGRI LAND,"Dc line,Rood,  11kv  line, good ,agri land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7968022599816 9.04403139482584, 77.7971982210874 9.04618292764075)"
=1+A75,70,S,,GCR,27,T69-T70,242.0996061975147,2.92,92,9.04618292764075,77.7971982210874,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC Line,lt line,road,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7971982210874 9.04618292764075, 77.7975911647081 9.0483298121372)"
=1+A76,71,T,"0°26'52""RT",HCR+3,27,T70-T71,241.53293007997914,13.65,96,9.0483298121372,77.7975911647081,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7975911647081 9.0483298121372, 77.7980846911668 9.05073394997442)"
=1+A77,72,S,,GCR,27,T71-T72,271.59043297025613,10.23,95,9.05073394997442,77.7980846911668,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"DC Line,lt line, cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7980846911668 9.05073394997442, 77.7985497191548 9.05275763817436)"
=1+A78,73,S,,GCR,27,T72-T73,229.7654089936363,7.45,97,9.05275763817436,77.7985497191548,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7985497191548 9.05275763817436, 77.7990321815013 9.0552097555726)"
=1+A79,74,S,,GCR,27,T73-T74,276.5601474344836,5.29,101,9.0552097555726,77.7990321815013,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7990321815013 9.0552097555726, 77.7995897457003 9.05772211559796)"
=1+A80,75,S,,GCR,27,T74-T75,284.7731960999679,5.56,101,9.05772211559796,77.7995897457003,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"DC Line,lt line,cart track,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7995897457003 9.05772211559796, 77.7999565377831 9.06005765435606)"
=1+A81,76,S,,GCR,27,T75-T76,261.6448661545355,9.27,102,9.06005765435606,77.7999565377831,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7999565377831 9.06005765435606, 77.800368592143 9.06215710996545)"
=1+A82,77,S,,GCR,27,T76-T77,236.76379083378157,7.18,104,9.06215710996545,77.800368592143,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.800368592143 9.06215710996545, 77.8007498010993 9.06455320918852)"
=1+A83,78,T,"0°20'53""LT",HCR,24,T77-T78,268.5145727237013,1.76,105,9.06455320918852,77.8007498010993,AVAILABLE,,,PLAIN LAND,"DC Line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8007498010993 9.06455320918852, 77.8012389689683 9.06725985171831)"
=1+A84,79,S,,GCR,27,T78 - T79,304.3868871848166,0.34,106,9.06725985171831,77.8012389689683,AVAILABLE,400KV LINE,,PLAIN LAND,"DC Line,400kv over head crossing,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8012389689683 9.06725985171831, 77.8016808629036 9.06940131296419)"
=1+A85,80,S,,GCR,27,T79 - T80,241.96766673457205,1.38,104,9.06940131296419,77.8016808629036,AVAILABLE,,ODAI(NALA),AGRI LAND,"DC Line,odai(nala),agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8016808629036 9.06940131296419, 77.8021693602204 9.07155832231448)"
=1+A86,81,S,,GCR,27,T80 - T81,244.72801540686513,0.87,108,9.07155832231448,77.8021693602204,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8021693602204 9.07155832231448, 77.8025579452514 9.07345906224808)"
=1+A87,82,S,,GCR,27,T81 - T82,214.68809252732805,2.13,108,9.07345906224808,77.8025579452514,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8025579452514 9.07345906224808, 77.8029247373342 9.0753664136928)"
=1+A88,83,S,,GCR,27,T82 - T83,214.94301954702806,0.6,107,9.0753664136928,77.8029247373342,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8029247373342 9.0753664136928, 77.8033572435379 9.07765979090021)"
=1+A89,84,S,,GCR,27,T83 - T84,258.269382908601,9.73,106,9.07765979090021,77.8033572435379,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8033572435379 9.07765979090021, 77.8038259595632 9.07985184453488)"
=1+A90,85,T ,"1°16'32""RT",HCR,24,T84 - T85,261,4.79,108,9.07985184453488,77.8038259595632,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8038259595632 9.07985184453488, 77.8041947633028 9.08222994767643)"
=1+A91,86,S,,GCR,27,T85 - T86,266.3360595376219,3.88,106,9.08222994767643,77.8041947633028,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8041947633028 9.08222994767643, 77.8046913072466 9.08464974992134)"
=1+A92,87,S,,GCR,27,T86 - T87,273.356820264264,9.53,107,9.08464974992134,77.8046913072466,AVAILABLE,,CART TRACK,AGRI LAND,"DC Line,cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8046913072466 9.08464974992134, 77.8052733466029 9.08728605438564)"
=1+A93,88,S,,GCR+3,30,T87- T88,298.7494350203293,10.7,107,9.08728605438564,77.8052733466029,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"DC Line,lt line,cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8052733466029 9.08728605438564, 77.8060917556285 9.0905497082076)"
=1+A94,89,S,,GCR,27,T88- T89,372.2996615040154,7.07,106,9.0905497082076,77.8060917556285,AVAILABLE,11KV LINE,CANAL,PLAIN LAND,"DC Line,11kv line,canal,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8060917556285 9.0905497082076, 77.8061497583985 9.09220072564788)"
=1+A95,90,S,,GCR,27,T89 - T90,268,10.35,106,9.09220072564788,77.8061497583985,AVAILABLE,,,PLAIN LAND,"DC Line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8061497583985 9.09220072564788, 77.8065259382128 9.09419272913602)"
=1+A96,91,S,,GCR,27,T90 - T91,224.34133145938455,2.58,111,9.09419272913602,77.8065259382128,AVAILABLE,LT LINE,,AGRI LAND,"DC Line,lt line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8065259382128 9.09419272913602, 77.8069406747818 9.09638600584446)"
=1+A97,92,S,,GCR,27,T91 - T92,247.02027139694053,2.03,112,9.09638600584446,77.8069406747818,AVAILABLE,LT LINE -2NOS,ROAD,PLAIN LAND,"DC Line,2nos lt line,road,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8069406747818 9.09638600584446, 77.8073104843497 9.09843161739418)"
=1+A98,93,T,"48°42'10""LT",KCR+6,30,T92 - T93,230.0503523535779,9.88,114,9.09843161739418,77.8073104843497,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line,lt line,road,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8073104843497 9.09843161739418, 77.807046957314 9.10038253526654)"
=1+A99,94,S,,GR,27,T93 - T94,217.88072234373374,2.84,114,9.10038253526654,77.807046957314,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.807046957314 9.10038253526654, 77.8066687658429 9.10332958294864)"
=1+A100,95,T,"52°48'15""LT",KCR+3,27,T94 - T95,274,1.9,116,9.10332958294864,77.8066687658429,AVAILABLE,,CART TRACK,AGRI LAND,"DC Line,cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8066687658429 9.10332958294864, 77.8074352070689 9.10562774684028)"
=1+A101,96,S,,GCR,27,T95 - T96,267.98936724620137,2.18,116,9.10562774684028,77.8074352070689,AVAILABLE,,CART TRACK,AGRI LAND,"DC Line,cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8074352070689 9.10562774684028, 77.8083065897226 9.10799872671678)"
=1+A102,97,S,,GCR,27,T96- T97,279.3996683247789,1.29,118,9.10799872671678,77.8083065897226,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8083065897226 9.10799872671678, 77.8092165291309 9.11046139078097)"
=1+A103,98,S,,GCR+3,30,T97 - T98,273,0.5,118,9.11046139078097,77.8092165291309,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8092165291309 9.11046139078097, 77.8101542964577 9.11305215199506)"
=1+A104,99,S,,GCR+3,30,T98 - T99,265,1.62,118,9.11305215199506,77.8101542964577,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8101542964577 9.11305215199506, 77.8104791790247 9.11419590783512)"
=1+A105,100,S,,GCR,27,T99 - T100,275,0.3,118,9.11419590783512,77.8104791790247,AVAILABLE,LT LINE,"ROAD, ODAI(NALA)-2NOS",AGRI LAND,"DC Line,lt line,road.odai(nala)- 2nos,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8104791790247 9.11419590783512, 77.811875604093 9.11780392866429)"
=1+A106,101,S,,GCR,27,T100 - T101,275,2.35,116,9.11780392866429,77.811875604093,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.811875604093 9.11780392866429, 77.8125709667801 9.11983253469292)"
=1+A107,102,S,,GCR,27,T101 - T102,237.2155822221461,1.58,116,9.11983253469292,77.8125709667801,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line,cart track,plane land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8125709667801 9.11983253469292, 77.8132277727127 9.12172408025294)"
=1+A108,103,T ,"6°52'11""RT",HCR,24,T102 - T103,283,2.3,118,9.12172408025294,77.8132277727127,AVAILABLE,,CART TRACK,AGRI LAND,"DC Line,cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8132277727127 9.12172408025294, 77.8141595050692 9.12414891179426)"
=1+A109,104,S,,GCR,27,T103 - T104,287.30627293527505,1.84,115,9.12414891179426,77.8141595050692,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8141595050692 9.12414891179426, 77.814891077578 9.12634200462547)"
=1+A110,105,S,,GCR,27,T104 - T105,255.74318048583604,1.24,115,9.12634200462547,77.814891077578,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.814891077578 9.12634200462547, 77.8157497197389 9.1287270812193)"
=1+A111,106,S,,GCR,27,T105 - T106,280.3910726058008,1.23,114,9.1287270812193,77.8157497197389,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8157497197389 9.1287270812193, 77.8159793838858 9.12946693171616)"
=1+A112,107,T(LILO),"0°55'21""RT",KCR,24,T106 - T107,85.70169846622542,2.43,115,9.12946693171616,77.8159793838858,NOT AVAILABLE,,,AGRI LAND,"DC Line,Duraisamypuram LILO T106 To T107 earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8159793838858 9.12946693171616, 77.8166539594531 9.13117470603889)"
=1+A113,108,S,,GCR,27,T107 - T108,144,3.35,113,9.13117470603889,77.8166539594531,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8166539594531 9.13117470603889, 77.8176772221922 9.133664685263)"
=1+A114,109,S,,GCR,27,T108 - T109,297.7131302193973,3.23,113,9.133664685263,77.8176772221922,AVAILABLE,,CART TRACK,AGRI LAND,"DC Line,fencing -4,cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8176772221922 9.133664685263, 77.8186012431979 9.13643038893365)"
=1+A115,110,S,,GCR,27,T109 - T110,304,2.45,123,9.13643038893365,77.8186012431979,AVAILABLE,"11KV LINE, LT LINE",,PLAIN LAND,"DC Line,lt line,11kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8186012431979 9.13643038893365, 77.8195437043905 9.13900407952628)"
=1+A116,111,T,"20°20'34""RT",HCR+3,27,T110 - T111,317,2.33,118,9.13900407952628,77.8195437043905,AVAILABLE,"22KV LINE-2NOS, LT LINE","CART TRACK,ROAD",PLAIN LAND,"DC Line,lt  line,11kv line-2nos,cart track,road,plane land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8195437043905 9.13900407952628, 77.8211838752031 9.14092763214523)"
=1+A117,112,S,,GCR+6,33,T111 - T112,313,4.23,122,9.14092763214523,77.8211838752031,AVAILABLE,"11KV LINE, LT LINE-2NOS",MAIN ROAD,PLAIN LAND,"DC Line,main road,11kv line,lt line-2nos,compoundground,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8211838752031 9.14092763214523, 77.822954468429 9.14296471302344)"
=1+A118,113,T,"28°02'38""RT",HCR+6,33,T112 - T113,297.9553054066362,2.75,121,9.14296471302344,77.822954468429,AVAILABLE,,ODAI(NALA),PLAIN LAND,"DC Line,odai(nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.822954468429 9.14296471302344, 77.8247730061411 9.14504911731933)"
=1+A119,114,S,,GCR,27,T113 - T114,305.3683025217606,2.78,135,9.14504911731933,77.8247730061411,AVAILABLE,,"CART TRACK-2NOS,ROAD",PLAIN LAND,"DC Line,cart track-2nos,fencing,compound wall,road.plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8247730061411 9.14504911731933, 77.8257989510893 9.1462262028706)"
=1+A120,115,T,"46°47'10""LT",KCR,24,T114 - T115,172.3719268616364,2.92,107,9.1462262028706,77.8257989510893,AVAILABLE,LT LINE-2NOS,"ROAD-2NOS, CART TRACK",PLAIN LAND,"DC Line,road-2Nos,cart track,lt line-2nos,fencing-2nos,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8257989510893 9.1462262028706, 77.8256534412503 9.14826557050489)"
=1+A121,116,S,,GCR,27,T115 - T116,190,2.46,107,9.14826557050489,77.8256534412503,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8256534412503 9.14826557050489, 77.8253107890486 9.15079151021787)"
=1+A122,117,T,"89°38'57""RT",KCR,24,T116 - T117,282.1254237391857,1.28,107,9.15079151021787,77.8253107890486,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8253107890486 9.15079151021787, 77.8278615698218 9.15107650897295)"
=1+A123,118,S,,GCR,27,T117 - T118,282.35123858419996,1.54,107,9.15107650897295,77.8278615698218,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8278615698218 9.15107650897295, 77.8304381668567 9.15136448657713)"
=1+A124,119,T,"42°36'29""LT",KCR,24,T118 - T119,285.2112056599833,1.76,107,9.15136448657713,77.8304381668567,AVAILABLE,Lt LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8304381668567 9.15136448657713, 77.8312287479639 9.15247634274818)"
=1+A125,120,S,,GCR,27,T119 - T120,252,2.97,106,9.15247634274818,77.8312287479639,AVAILABLE,,,PLAIN LAND,"DC Line, fencing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8312287479639 9.15247634274818, 77.8329822421073 9.15442895105211)"
=1+A126,121,S,,GCR,27,T120 - T121,289.68686470918,1.42,101,9.15442895105211,77.8329822421073,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"DC Line,lt line,cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8329822421073 9.15442895105211, 77.8345721215009 9.1561879112774)"
=1+A127,122,S,,GCR,27,T121 - T122,261.71179740314267,1.36,101,9.1561879112774,77.8345721215009,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8345721215009 9.1561879112774, 77.8362555429339 9.15803226142823)"
=1+A128,123,S,,GCR,27,T122 - T123,275.62319374462413,1.52,99,9.15803226142823,77.8362555429339,AVAILABLE,,"POND, ODAI(NALA)",PLAIN LAND,"DC Line,pond,odai(nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8362555429339 9.15803226142823, 77.8382839635014 9.16020826453535)"
=1+A129,124,S,,GCR+3,30,T123 - T124,328.32703587277297,2.65,98,9.16020826453535,77.8382839635014,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8382839635014 9.16020826453535, 77.8400039300322 9.16230845568751)"
=1+A130,125,T,"0°44'30""RT",HCR+3,27,T124 - T125,299.72934257591737,1.89,99,9.16230845568751,77.8400039300322,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8400039300322 9.16230845568751, 77.8418385609984 9.16442452225282)"
=1+A131,126,S,,GCR+3,30,T125 - T126,309.17395110202824,1.58,97,9.16442452225282,77.8418385609984,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line,lt line,Road.plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8418385609984 9.16442452225282, 77.8437496349215 9.16646676443555)"
=1+A132,127,S,,GCR+3,30,T126 - T127,308.69364605380486,1.51,97,9.16646676443555,77.8437496349215,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8437496349215 9.16646676443555, 77.8457049652934 9.16862980716361)"
=1+A133,128,S,,GCR+3,30,T127 - T128,321.8481584613778,1.73,97,9.16862980716361,77.8457049652934,AVAILABLE,,POND,PLAIN LAND,"DC Line,pond,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8457049652934 9.16862980716361, 77.8473263606429 9.17049329017727)"
=1+A134,129,S,,GCR+3,30,T128 - T129,272.6829529619027,2.48,95,9.17049329017727,77.8473263606429,AVAILABLE,,CART TRACK,AGRI LAND,"DC Line,cart track,fencing,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8473263606429 9.17049329017727, 77.8492263704538 9.17258680072004)"
=1+A135,130,T,"0°44'30""LT",HCR,24,T129 - T130,312.05518395630475,2.59,97,9.17258680072004,77.8492263704538,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,fencing-2nos,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8492263704538 9.17258680072004, 77.8512484207749 9.17411894471894)"
=1+A136,131,S,,GCR,27,T130 - T131,279.6991764253186,1.28,95,9.17411894471894,77.8512484207749,AVAILABLE,"LT LINE-2NOS, 22KV LINE",CART TRACK,PLAIN LAND,"DC Line,lt line-2nos,.22kv line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8512484207749 9.17411894471894, 77.85074081 9.174481045)"
=1+A137,132,S,,GR,27,T131 - T132,68.73213109609475,1.34,92,9.174481045,77.85074081,AVAILABLE,11KV LINE-2NOS,ROAD NH 4,PLAIN LAND,"DC line, Road NH 44 ( kanyakumari - madurai) 2nos 11kv  line, temple , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85074081 9.174481045, 77.85269614 9.176671179)"
=1+A138,133,S,,GCR,27,T132 - T133,324.0838963494004,1.49,91,9.176671179,77.85269614,AVAILABLE,,CART TRACK,PLAIN LAND,"DC line,   school , cart track,plainland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85269614 9.176671179, 77.85444561 9.178609753)"
=1+A139,134,T,"15°2'19""RT",HCR,24,T133 - T134,288.2306153481817,2.53,91,9.178609753,77.85444561,AVAILABLE,,,PLAIN LAND,"DC line,plain land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85444561 9.178609753, 77.85536896 9.179233987)"
=1+A140,135,T,"10°15'4""RT",HCR,24,T134 - T135,122.83968949813878,1.82,91,9.179233987,77.85536896,AVAILABLE,,,PLAIN LAND,"DC line,.plain land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85536896 9.179233987, 77.85652902 9.179746679)"
=1+A141,136,T,"4°22'49""LT",HCR,24,T135 - T136,139.64914388924737,1.71,92,9.179746679,77.85652902,AVAILABLE,,,PLAIN LAND,"DC line,plain land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85652902 9.179746679, 77.8586027 9.180800855)"
=1+A142,137,S,,GCR+3,30,T136 - T137,256.2076404676856,1.38,93,9.180800855,77.8586027,AVAILABLE,11KV LINE-2NOS,ROAD,PLAIN LAND,"DC line,11kv line-2nos,Road,street line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8586027 9.180800855, 77.86026265 9.181715024)"
=1+A143,138,S,,GCR,27,T137 - T138,208.7498195854928,1.53,93,9.181715024,77.86026265,AVAILABLE,LT LINE,,PLAIN LAND,"DC line,lt line,plain land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86026265 9.181715024, 77.86217943 9.182777139)"
=1+A144,139,T,"0°10'44""RT",HCR+3,27,T138 - T139,241.39676836691228,2.76,89,9.182777139,77.86217943,AVAILABLE,LT LINE-2NOS,MAIN ROAD,PLAIN LAND,"DC line,lt line-2nos,Main raod,tnstc inside.kovilpattai, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86217943 9.182777139, 77.86450021 9.184011689)"
=1+A145,140,S,,GCR+3,30,T139 - T140,289.5472023367157,1.84,89,9.184011689,77.86450021,AVAILABLE,33KV LINE,ODAI(NALA),PLAIN LAND,"DC line,33kv line, odai(Nala), Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86450021 9.184011689, 77.86630936 9.184972518)"
=1+A146,141,S,,GCR,27,T140 - T141,225.63283871147618,1.67,90,9.184972518,77.86630936,AVAILABLE,LT LINE,,PLAIN LAND,"DC line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86630936 9.184972518, 77.86893189 9.186367253)"
=1+A147,142,S,,GCR+3,30,T141 - T142,327.17659712451723,1.36,90,9.186367253,77.86893189,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC line,lt line,Road ,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86893189 9.186367253, 77.87140623 9.187691154)"
=1+A148,143,S,,GCR+3,30,T142 - T143,309.10688322656017,1.74,85,9.187691154,77.87140623,AVAILABLE,LT LINE -4NOS,ROAD,AGRI LAND,"DC line,lt line-4nos,Road,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87140623 9.187691154, 77.87389431 9.189012734)"
=1+A149,144,T,"41°44'5""LT",KCR,24,T143 - T144,310.31600110854913,2.87,86,9.189012734,77.87389431,AVAILABLE,LT LINE,,PLAIN LAND,"DC line,md,lt line,plain land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87389431 9.189012734, 77.87484381 9.19142817)"
=1+A150,145,S,,GCR,27,T144 - T145,287.04906571006944,1.38,83,9.19142817,77.87484381,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87484381 9.19142817, 77.87562836 9.193753567)"
=1+A151,146,S,,GCR,27,T145 - T146,271.4891590118418,1.81,83,9.193753567,77.87562836,AVAILABLE,,ODAI(NALA),AGRI LAND,"DC line,.md,agri land,odai(Nala), Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87562836 9.193753567, 77.87659395 9.196373839)"
=1+A152,147,S,,GCR,27,T146 - T147,308.88462069359355,1.71,82,9.196373839,77.87659395,AVAILABLE,,,PLAIN LAND,"DC line,md,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87659395 9.196373839, 77.87759006 9.199011964)"
=1+A153,148,S,,GCR,27,T147 - T148,311.904211489748,1.47,81,9.199011964,77.87759006,AVAILABLE,,,PLAIN LAND,"DC line,md, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87759006 9.199011964, 77.87866596 9.201919472)"
