,Tower No,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,T.NO - 14,DA,S,29,13-14,224.59073890078372,2.15,161,,9.00931535,77.3399307,GOOD,GOOD,NO,11KV,,CULTIVATION,LEG DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3399307 9.00931535, 77.34034395 9.01137336)"
16,T.NO - 15,DC,T,29,14-15,232.20680437919987,2.26,161,"28°10'48.83""",9.01137336,77.34034395,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34034395 9.01137336, 77.34209396 9.01348611)"
17,T.NO - 16,DA,S,29,15-16,302.8299853052864,3.45,160,,9.01348611,77.34209396,GOOD,GOOD,NO,"11KV CUM LT, LT",TAAR ROAD,CULTIVATION,LEG DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34209396 9.01348611, 77.34389031 9.01573412)"
18,T.NO - 17,DA,S,32,16-17,317.6727876290319,3.98,160,,9.01573412,77.34389031,GOOD,GOOD,NO,"11KV, 2nos LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34389031 9.01573412, 77.34577807 9.01805384)"
19,T.NO - 18,DD,T,32,17-18,330.15148038438355,3.65,161,"59°10'8.39""",9.01805384,77.34577807,GOOD,GOOD,NO,11KV,"TAAR ROAD, RIVER,CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34577807 9.01805384, 77.34823951 9.01770372)"
20,T.NO - 19,DA,S,26,18-19,273.5141678231678,2.73,161,,9.01770372,77.34823951,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34823951 9.01770372, 77.35061009 9.0173632)"
21,T.NO - 20,DA,S,26,19-20,263.47106102948004,3.12,161,,9.0173632,77.35061009,GOOD,GOOD,NO,,,CULTIVATION,FOUNDATION CORNER OF CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35061009 9.0173632, 77.35326225 9.01698472)"
22,T.NO - 21,DA,S,26,20-21,294.72699231661835,4.12,157,,9.01698472,77.35326225,GOOD,GOOD,NO,"2nos 11KV, 2nos LT",TAAR ROAD,CULTIVATION,LEG DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35326225 9.01698472, 77.35592313 9.01655194)"
23,T.NO - 22,DA,S,26,21-22,296.5889411289639,2.86,159,,9.01655194,77.35592313,GOOD,GOOD,NO,"11KV, 2nos LT",,CULTIVATION,LEG COPING DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35592313 9.01655194, 77.35844811 9.01619231)"
24,T.NO - 23,DA,S,26,22-23,280.58510295452254,2.1,158,,9.01619231,77.35844811,GOOD,GOOD,NO,LT,"MUD ROAD, CANAL",CULTIVATION,LEG COPING DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35844811 9.01619231, 77.36105484 9.0158231)"
25,T.NO - 24,DC,T,26,23-24,289.6377047278203,2.35,157,"25°53'40.48""",9.0158231,77.36105484,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36105484 9.0158231, 77.36330499 9.01654069)"
26,T.NO - 25,DA,S,29,24-25,259.9423012901132,3.18,159,,9.01654069,77.36330499,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36330499 9.01654069, 77.36587485 9.01749119)"
27,T.NO - 26,DA,S,26,25-26,301.61730719572444,4.11,158,,9.01749119,77.36587485,GOOD,GOOD,NO,"2nos 11KV, LT",,CULTIVATION,LEG COPING DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36587485 9.01749119, 77.36832625 9.01839725)"
28,T.NO - 27,DA,S,26,26-27,287.6890682664185,4.43,158,,9.01839725,77.36832625,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36832625 9.01839725, 77.37110551 9.01939155)"
29,T.NO - 28,DA,S,29,27-28,324.91383473161005,4.1,156,,9.01939155,77.37110551,GOOD,GOOD,NO,LT CUM 11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37110551 9.01939155, 77.37371229 9.02042308)"
30,T.NO - 29,DC,T,26,28-29,308.62922739105574,4.72,155,"15°9'4.65""",9.02042308,77.37371229,GOOD,GOOD,NO,LT ,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37371229 9.02042308, 77.37580434 9.02198211)"
31,T.NO - 30,DA,S,29,29-30,287.6056327682057,4.63,158,,9.02198211,77.37580434,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37580434 9.02198211, 77.37806967 9.02362133)"
32,T.NO - 31,DA,S,29,30-31,308.2093444397817,3.92,159,,9.02362133,77.37806967,GOOD,GOOD,NO,"LT, 11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37806967 9.02362133, 77.3804173 9.02533231)"
33,T.NO - 32,DA,S,26,31-32,320.2030605725061,2.47,161,,9.02533231,77.3804173,GOOD,GOOD,NO,"LT, 2nos 11KV",2nos TAAR ROAD,CULTIVATION,LEG COPING DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3804173 9.02533231, 77.38251844 9.02688218)"
34,T.NO - 33,DC,T,29,32-33,287.80027797067885,4.48,160,"27°20'27.43""",9.02688218,77.38251844,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38251844 9.02688218, 77.38483005 9.02725579)"
35,T.NO - 34,DA,S,29,33-34,257.6140524117425,3.12,161,,9.02725579,77.38483005,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38483005 9.02725579, 77.38726858 9.02757433)"
36,T.NO - 35,DA,S,29,34-35,270.542048487846,4.83,162,,9.02757433,77.38726858,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38726858 9.02757433, 77.3897992 9.02807301)"
37,T.NO - 36,DD,T,28,35-36,283.7833680820636,1.24,168,"31°57'8.69""",9.02807301,77.3897992,GOOD,GOOD,NO,"11KV, LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3897992 9.02807301, 77.39145488 9.02961668)"
38,T.NO - 37,DA,S,26,36-37,249.68980756130196,2.93,167,,9.02961668,77.39145488,GOOD,GOOD,NO,"2nos LT, 33KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39145488 9.02961668, 77.39339441 9.03146577)"
39,T.NO - 38,DB,T,24,37-38,295.6010825419961,1.7,170,"9°24'55.40""",9.03146577,77.39339441,GOOD,GOOD,NO,33KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39339441 9.03146577, 77.39514622 9.03379505)"
40,T.NO - 39,DD,T,28,38-39,321.8105032468642,2.93,173,"31°21'48.22""",9.03379505,77.39514622,GOOD,GOOD,NO,,"TAAR ROAD, MUD ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39514622 9.03379505, 77.39724273 9.03463088)"
41,T.NO - 40,DA,S,26,39-40,248.46730167166865,3.02,174,,9.03463088,77.39724273,GOOD,GOOD,NO,"33KV,2nos LT,11KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39724273 9.03463088, 77.39945774 9.03551111)"
42,T.NO - 41,DA,S,26,40-41,262.39283526803854,4.77,173,,9.03551111,77.39945774,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39945774 9.03551111, 77.40180038 9.03644471)"
43,T.NO - 42,DB,T,24,41-42,277.62204523416364,2.92,176,"7°32'27.63""",9.03644471,77.40180038,GOOD,GOOD,NO,2nos LT,"WELL, NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40180038 9.03644471, 77.40388579 9.0369733)"
44,T.NO - 43,DA,S,26,42-43,236.7298037848213,2.65,178,,9.0369733,77.40388579,GOOD,GOOD,NO,"33KV, LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40388579 9.0369733, 77.40616211 9.03750062)"
45,T.NO - 44,DC,T,26,43-44,257.0992026436488,3.17,179,"18°14'39.21""",9.03750062,77.40616211,GOOD,GOOD,NO,"LT,11KV",2nos TAAR ROAD,CULTIVATION,LEG COPING DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40616211 9.03750062, 77.40900599 9.03724697)"
46,T.NO - 45,DA,S,26,44-45,314.0780157858872,2.69,180,,9.03724697,77.40900599,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40900599 9.03724697, 77.41144168 9.03713155)"
47,T.NO - 46,DB,T,24,45-46,268.2256512714621,3.74,179,"7°45'9.59""",9.03713155,77.41144168,GOOD,GOOD,NO,"LT, 33KV",MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41144168 9.03713155, 77.41393871 9.03667229)"
48,T.NO - 47,DA,S,29,46-47,279.3313444638822,4.02,183,,9.03667229,77.41393871,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41393871 9.03667229, 77.41626319 9.03624126)"
49,T.NO - 48,DA,S,26,47-48,260.0999807766237,3.79,180,,9.03624126,77.41626319,GOOD,GOOD,NO,11KV,"NALA, MUD ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41626319 9.03624126, 77.41832396 9.03580293)"
50,T.NO - 49,DA,S,26,48-49,231.81458107720488,3.31,181,,9.03580293,77.41832396,GOOD,GOOD,NO,LT,"TAAR ROAD, NALA",CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41832396 9.03580293, 77.4206126 9.03545345)"
51,T.NO - 50,DB,T,24,49-50,254.70178640912593,2.33,179,"3°15'39.61""",9.03545345,77.4206126,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4206126 9.03545345, 77.42357213 9.0348284)"
52,T.NO - 51,DC,T,29,50-51,332.8137617346975,4.11,177,"27°28'23.39""",9.0348284,77.42357213,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42357213 9.0348284, 77.42597661 9.03549031)"
53,T.NO - 52,DA,S,26,51-52,274.4467161399458,2.4,176,,9.03549031,77.42597661,GOOD,GOOD,NO,"33KV, LT","MUD ROAD, 2nos NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42597661 9.03549031, 77.42887169 9.03610376)"
54,T.NO - 53,DA,S,26,52-53,325.613267542955,2.18,178,,9.03610376,77.42887169,GOOD,GOOD,NO,"33KV, 11KV",MUD ROAD,CULTIVATION,LEG DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42887169 9.03610376, 77.43145708 9.03662886)"
55,T.NO - 54,DB,T,24,53-54,290.26884090442775,2.56,181,"10°32'41.28""",9.03662886,77.43145708,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43145708 9.03662886, 77.43446658 9.03668119)"
56,T.NO - 55,DA,S,32,54-55,331.09666262286606,2.57,178,,9.03668119,77.43446658,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43446658 9.03668119, 77.43713021 9.03667254)"
