SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,VEEYANUR,,,,,,,,,8.314667,77.27188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27188 8.314667, 77.27153 8.314797)"
1,1,T,"52°48'07""LT",KC,24,Gantry VEEYANUR  - T1,41.0744120956086,2.7,62,8.314797,77.27153,GOOD,NOT AVAILABLE,,,Plain Land,"Dc LINE , VEEYANUR Gantry - T1  earth wire Not available,Fencing,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27153 8.314797, 77.26984 8.313719)"
2,2,S,,GC,23.62,T1-T2,220.94678915287818,1.42,53,8.313719,77.26984,GOOD,AVAILABLE,"33kv line,11kv line",Road,Plain land,"Road ,  33kv Line, 11kv Line, house- 4Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26984 8.313719, 77.2681 8.312646)"
3,3,T,"36°49'51""LT",KC+3,27,T2-T3,225.8993457914639,2.78,39,8.312646,77.2681,GOOD,AVAILABLE,,canal,Agri Land,"dc line, banana garden, canal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2681 8.312646, 77.26792 8.312172)"
4,4,T,"18°08'06""LT",HC+3,24.94,T3-T4,56.13640745539305,1.65,36,8.312172,77.26792,GOOD,AVAILABLE,"11KV Line, 33KV Line",Road,Agri Land,"11kv line,33kv Line ,Road ,banana garden,rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26792 8.312172, 77.26769 8.308914)"
5,5,S,,GC,23.62,T4-T5,361.28199641414193,1.47,32,8.308914,77.26769,GOOD,AVAILABLE,,,Agri Land,"banana garden,rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26769 8.308914, 77.26768 8.307488)"
6,6,T,"08°49'46""RT",HC+3,24.94,T5-T6,157.76318714456525,2.52,33,8.307488,77.26768,GOOD,AVAILABLE,11KV Line,"Road, Pond, River",Agri Land,"11kv Line, Road , pond ,River ,banana garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26768 8.307488, 77.26703 8.304989)"
7,7,S,,GC,23.62,T6-T7,285.5758841254344,1.75,31,8.304989,77.26703,GOOD,AVAILABLE,,,Agri Land,banana gaden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26703 8.304989, 77.26674 8.303132)"
8,8,S,,GC,23.62,T7-T8,208.00774420434632,1.4,40,8.303132,77.26674,GOOD,AVAILABLE,,,Agri Land,banana gaden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26674 8.303132, 77.26632 8.300948)"
9,9,S,,GC,23.62,T8-T9,246.00717928144994,1.58,56,8.300948,77.26632,GOOD,AVAILABLE,,,Agri Land,"banana garden, rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26632 8.300948, 77.26576 8.298224)"
10,10,T,"01°21'41""RT",HC,21.94,T9-T10,307.6828783618066,2.68,67,8.298224,77.26576,GOOD,AVAILABLE,"11Kv Line -2Nos, Ltline-3nos",well,Plain Land," 11kv line-2Nos, lt  line=3Nos , house=2Nos , temple =1 , well =1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26576 8.298224, 77.2653 8.296242)"
11,11,T,"76°05'06""LT",KC( LILO ),24,T10-T11,225.08261140524485,2.83,73,8.296242,77.2653,GOOD,AVAILABLE,Lt Line,,Plain Land,"lilo on veeyanur to petchiparai  ,Lt Line, house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2653 8.296242, 77.26756 8.295096)"
12,12,T,"00°43'06""LT",HC,21.94,T11-T12,279.662033822915,2.9,75,8.295096,77.26756,GOOD,AVAILABLE,Lt Line,,Agri Land,"Lt line- 2Nos,house -6Nos,rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26756 8.295096, 77.26938 8.294252)"
13,13,S,,GC+3,26.62,T12-T13,220.8454721156724,1.41,62,8.294252,77.26938,GOOD,AVAILABLE,Lt line-3Nos,"River, Road",water logged area,"house-6Nos,river,Road,lt line-3Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26938 8.294252, 77.27177 8.292982)"
14,14,S,,GC+3,26.62,T13-T14,298.689486835442,12.49,59,8.292982,77.27177,GOOD,AVAILABLE,Lt Line-3Nos,Road,Plain Land," lt line-3Nos ,house- 6, Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27177 8.292982, 77.27367 8.292096)"
15,15,S,,GC+3,26.62,T14-T15,231.54272626888104,1.59,63,8.292096,77.27367,GOOD,AVAILABLE,LT Line,Road,Agri Land,"Lt Line, Road, rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27367 8.292096, 77.27527 8.291289)"
16,16,S,,GC+3,26.62,T15-T16,197.31824203800804,1.71,46,8.291289,77.27527,GOOD,AVAILABLE,Lt line-2Nos,Road,Plain Land,"Lt Line-2Nos,Road,house-5Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27527 8.291289, 77.27758 8.290256)"
17,17,S,,GC+3,26.62,T16-T17,279.3865408820259,1.62,55,8.290256,77.27758,GOOD,AVAILABLE,,"Odai(Nala), Road",Agri Land,"Rubber garden,Odai(nala), Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27758 8.290256, 77.27972 8.289076)"
18,18,S,,GC,23.62,T17-T18,268.8852477860576,1.42,55,8.289076,77.27972,GOOD,AVAILABLE,LtLine,"Road, Pond",Agri Land,"Lt LIne,Road,pond,rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27972 8.289076, 77.28142 8.288344)"
19,19,S,,GC,23.62,T18-T19,204.51276678003362,1.69,79,8.288344,77.28142,GOOD,AVAILABLE,,,Agri Land,"bana garden, rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28142 8.288344, 77.28257 8.287789)"
20,20,S,,GC,23.62,T19-T20,140.36607184428087,1.52,80,8.287789,77.28257,GOOD,AVAILABLE,Lt Line-3nos,"River, Road",water logged area,"Road,lt Line-3Nos,river , house-5Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28257 8.287789, 77.28396 8.287027)"
21,21,S,,GC+3,26.62,T20-T21,174.99492050055846,1.58,73,8.287027,77.28396,GOOD,AVAILABLE,Lt Line,Road,Plain Land," Road ,lt line, house- 4Npos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28396 8.287027, 77.28601 8.28601)"
22,22,S,,GC,23.62,T21-T22,252.49297632211463,1.64,64,8.28601,77.28601,GOOD,AVAILABLE,Lt Line-3os,"Road, River",water logged area,"Lt line-3Nos,Church,Road -2Nos,House,River",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28601 8.28601, 77.28846 8.284838)"
23,23,T,"00°31'41""RT",HC+3,24.94,T22-T23,299.710831452579,2.72,78,8.284838,77.28846,GOOD,AVAILABLE,Lt Line,Pond,water logged area,"Lt Line, Pond ,mound,Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28846 8.284838, 77.2895 8.284241)"
24,24,S,,GC,23.62,T23-T24,132.0445743110786,1.8,79,8.284241,77.2895,GOOD,AVAILABLE,"Lt Line, 11kV Line","Road, River",water logged area,"1Road,1River,Lt Line,11kv Line,old Metal cruser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2895 8.284241, 77.29128 8.283389)"
25,25,S,,GC+3,26.62,T24-T25,218.37613739600707,1.77,93,8.283389,77.29128,GOOD,AVAILABLE,LtLine - 2Nos,Road-2nos,water logged area,"2Nos Road,lt Line-2Nos,4 -House,River",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29128 8.283389, 77.29306 8.282414)"
26,26,S,,GC,23.62,T25-T26,223.74872649695922,1.48,92,8.282414,77.29306,GOOD,AVAILABLE,Lt Line,,Agri Land,"Lt Line, banana garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29306 8.282414, 77.29495 8.281591)"
27,27,S,,GC,23.62,T26-T27,227.14614829443343,1.69,105,8.281591,77.29495,GOOD,AVAILABLE,"11KV Linne, Lt Line-3Nos",Road,Plain Land,"Road,11kv line,3Nos lt line,house-4nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29495 8.281591, 77.29642 8.280838)"
28,28,T,"22°28'43""RT",HC+3,24.94,T27-T28,182.21617176317017,2.41,103,8.280838,77.29642,GOOD,AVAILABLE,Lt Line- 2Nos,,Agri Land,"Lt Line-2Nos,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29642 8.280838, 77.2978 8.279313)"
29,29,S,,GC,23.62,T28-T29,226.78011557450358,1.75,102,8.279313,77.2978,GOOD,AVAILABLE,Lt Line- 2Nos,Road,Agri Land,"Road,2Nos Lt Line,rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2978 8.279313, 77.29891 8.277975)"
30,30,S,,GC,23.62,T29-T30,192.5043589739908,1.5,108,8.277975,77.29891,GOOD,AVAILABLE,Lt Line- 3Nos,,Plain Land,"LT Line-3Nos,house-8Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29891 8.277975, 77.3 8.276712)"
31,31,S,,GC+3,26.62,T30-T31,183.99643841391617,1.67,95,8.276712,77.3,GOOD,AVAILABLE,Lt Line -4Nos,Road,Plain Land,"Dc ,Road ,Lt Line-4Nos, House-10Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3 8.276712, 77.30153 8.274931)"
32,32,S,,GC,23.62,T31-T32,259.31124064533117,1.59,84,8.274931,77.30153,GOOD,AVAILABLE,Lt Line-2Nos,,Agri Land,"house- 5Nos,lt Line-2Nos, rubber garden ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30153 8.274931, 77.30295 8.273295)"
33,33,S,,GC,23.62,T32-T33,239.30754547233278,2.84,87,8.273295,77.30295,GOOD,AVAILABLE,Lt Line-2Nos,,Agri Land,"Lt Line-2Nos, house- 2Nos, rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30295 8.273295, 77.30426 8.271835)"
34,34,S,,GC,23.62,T33-T34,216.95793483759655,1.78,85,8.271835,77.30426,GOOD,AVAILABLE,,,Agri Land,Rubber garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30426 8.271835, 77.30581 8.269941)"
35,35,S,,GC,23.62,T34-T35,270.2318105479341,1.34,85,8.269941,77.30581,GOOD,AVAILABLE,Lt Line-5Nos,,Plain Land,"Road -2Nos,ltline-5Nos ,house-7Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30581 8.269941, 77.30718 8.268498)"
36,36,S,,GC+3,26.62,T35-T36,219.51154836364793,1.85,83,8.268498,77.30718,GOOD,AVAILABLE,Lt Line-2Nos,Road - 2Nos,Plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30718 8.268498, 77.30897 8.266552)"
