S. No ,Tower No,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV ECHANTHA,GANTRY,GANTRY,20,,,,169,,9.07765893,77.48634839,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48634839 9.07765893, 77.4861122 9.07768765)"
2,T.NO-32,DC,T,26,GANTRY-32,26.1725046566048,,161,"24°38'11.25""",9.07768765,77.4861122,GOOD,MISSING,YES,,,INSIDE SUBSTATION,NO EARH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4861122 9.07768765, 77.48521589 9.07823597)"
3,T.NO-31,DB,T,24,32-31,115.76268828944843,3.72,157,"14°10'35.00""",9.07823597,77.48521589,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48521589 9.07823597, 77.4834105 9.07879951)"
4,T.NO-30,DA,S,26,31-30,208.13937638034758,6.35,154,,9.07879951,77.4834105,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4834105 9.07879951, 77.48149632 9.07940896)"
5,T.NO-29,DA,S,26,30-29,221.0814329607984,2.96,156,,9.07940896,77.48149632,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48149632 9.07940896, 77.47901964 9.08019393)"
6,T.NO-28,DD,T,28,29-28,285.9265639985204,3.89,156,"54°20'36.53""",9.08019393,77.47901964,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47901964 9.08019393, 77.47715542 9.07881489)"
7,T.NO-27,DA,S,26,28-27,255.60125195311545,5.6,158,,9.07881489,77.47715542,GOOD,GOOD,NO,2nos LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47715542 9.07881489, 77.47526381 9.07741795)"
8,T.NO-26,DA,S,26,27-26,259.2006944435142,6.97,158,,9.07741795,77.47526381,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47526381 9.07741795, 77.47345467 9.07611081)"
9,T.NO-25,DD,T,28,26-25,246.0081299469593,4.26,156,"37°53'48.48""",9.07611081,77.47345467,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47345467 9.07611081, 77.4706641 9.076202)"
10,T.NO-24,DA,S,26,25-24,307.1042168385188,3.57,158,,9.076202,77.4706641,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4706641 9.076202, 77.46791917 9.07631997)"
11,T.NO-23,DC,T,26,24-23,302.2002647252315,2.19,160,"20°31'15.45""",9.07631997,77.46791917,GOOD,GOOD,NO,11KV,,CULTIVATION,2 EARTH WIRE ON THIS TOWER.ONE EARTH WIRE CONTINUE TO OUR OUR RIGHT SIDE DP TOWER.ANOTHER EARTH WIRE CONNECT TO LEFT SIDE DP TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46791917 9.07631997, 77.46729043 9.07611636)"
12,T.NO-22,DP,DP,20,23-22,72.73238618387272,DP,154,,9.07611636,77.46729043,GOOD,GOOD,YES,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46729043 9.07611636, 77.46706272 9.07605464)"
13,T.NO-21,DP,DP,20,22-21,25.96150997149434,DP,158,,9.07605464,77.46706272,GOOD,MISSING,YES,400KV DC LINE CROSSING ABOVE OUR LINE,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46706272 9.07605464, 77.46675015 9.07555068)"
14,T.NO-20,DD,T,28,21-20,65.5133574166368,4.03,161,"53°14'36.59""",9.07555068,77.46675015,GOOD,GOOD,NO,,,CULTIVATION,2 EARTH WIRE ON THIS TOWER .ONE EARTH WIRE FROM RIGHT SIDE DP TOWER ANOTHER ONE FROM LEFT SIDE  DP TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46675015 9.07555068, 77.46408481 9.07534275)"
15,T.NO-19,DA,S,26,20-19,294.06461874900896,6.58,159,,9.07534275,77.46408481,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46408481 9.07534275, 77.46199267 9.07519419)"
16,T.NO-18,DC,T,26,19-18,230.70327262524907,3.55,162,"20°23'29.45""",9.07519419,77.46199267,GOOD,GOOD,NO,11KV ,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46199267 9.07519419, 77.45960623 9.07588805)"
17,T.NO-17,DB,T,30,18-17,273.4849173172078,2.1,159,"13°17'24.77""",9.07588805,77.45960623,GOOD,GOOD,NO,LT,TAAR ROAD,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45960623 9.07588805, 77.45861557 9.07593991)"
18,T.NO-16,DC,T,32,17-16,109.1146186356347,3.18,160,"21°59'18.48""",9.07593991,77.45861557,GOOD,GOOD,NO,110KV SC LINE CROSSING BELOW OUR LINE,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45861557 9.07593991, 77.45655819 9.07689361)"
19,T.NO-15,DA,S,26,16-15,249.68980756130196,3.48,161,,9.07689361,77.45655819,GOOD,GOOD,NO,11KV ,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45655819 9.07689361, 77.45415644 9.07801229)"
20,T.NO-14,DC,T,29,15-14,291.7344683097971,5.34,160,"19°6'33.19""",9.07801229,77.45415644,GOOD,GOOD,NO,3nos 11KV ,NALA,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45415644 9.07801229, 77.45156705 9.07828272)"
21,T.NO-13,DA,S,29,14-13,286.37213551601,1.7,164,,9.07828272,77.45156705,GOOD,GOOD,NO,11KV,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45156705 9.07828272, 77.44928665 9.07853299)"
22,T.NO-12,DA,S,26,13-12,252.3430205097815,2.63,166,,9.07853299,77.44928665,GOOD,GOOD,NO,33KV,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44928665 9.07853299, 77.44784176 9.07864209)"
23,T.NO-11,DB,T,24,12-11,159.38004893963358,2.13,169,"13°48'40.30""",9.07864209,77.44784176,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44784176 9.07864209, 77.44549211 9.07940792)"
24,T.NO-10,DA,S,26,11-10,271.97426348829407,3.18,174,,9.07940792,77.44549211,GOOD,GOOD,NO,11KV ,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44549211 9.07940792, 77.44304262 9.08020152)"
25,T.NO-9,DA,S,26,10-9,283.365488371467,2.93,176,,9.08020152,77.44304262,GOOD,GOOD,NO,"2nos LT,11KV",MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44304262 9.08020152, 77.440729 9.0809219)"
26,T.NO-8,DB,T,27,9-8,266.6627083039546,2.7,177,"13°29'12.58""",9.0809219,77.440729,GOOD,GOOD,NO,"LT,33KV ",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.440729 9.0809219, 77.43899932 9.08194563)"
27,T.NO-7,DA,S,29,8-7,221.41589825484527,2.98,178,,9.08194563,77.43899932,GOOD,GOOD,NO,"33KV,11KV",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43899932 9.08194563, 77.43687996 9.08316174)"
28,T.NO-6,DA,S,26,7-6,269.15608854343236,2.61,174,,9.08316174,77.43687996,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43687996 9.08316174, 77.43480568 9.08432331)"
29,T.NO-5,DB,T,24,6-5,261.8587405453559,3.18,175,"3°35'6.81""",9.08432331,77.43480568,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43480568 9.08432331, 77.43259434 9.08538638)"
30,T.NO-4,DB,T,27,5-4,270.1703166522925,3.78,173,"7°22'21.57""",9.08538638,77.43259434,GOOD,GOOD,NO,11KV ,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43259434 9.08538638, 77.43096487 9.08644557)"
