S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,SEMPATTY GANTRY,2W,T,,BAY,27,,,NIL,,290.4418945,,10.284031,77.872262,Good,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.872262 10.284031, 77.8725188411772 10.2838631160557)"
1,1,,T,KCR+3,DB+3,27,4-5,45,1.8,FALSE,290.4418945,,10.28386312,77.87251884,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8725188411772 10.2838631160557, 77.8739658091217 10.282634915784)"
2,2,,T,KCR+3,DD+3,27,5-6,214,3.6,FALSE,288.5192871,47°15'58''RT,10.28263492,77.87396581,Good,Good,"5-22KV,LT",NH ROAD,PLAIN,DINDIGUL-THENI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8739658091217 10.282634915784, 77.8740452695637 10.2805239334702)"
3,3,,S,KC,DA+3,25,6-7,239,3.24,FALSE,289.2402344,,10.28052393,77.87404527,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8740452695637 10.2805239334702, 77.8741202037781 10.2785619813948)"
4,4,,T,KC,DB+3,27,7-8,223,1.86,FALSE,288.2789307,9°22'28''LT,10.27856198,77.8741202,Good,Good,,CAR TRACK,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8741202037781 10.2785619813948, 77.8745810408145 10.2763267792761)"
5,5,,S,KC,DA+3,25,8-9,258,2.68,FALSE,296.4499512,,10.27632678,77.87458104,Good,Good,2-LT,CAR TRACK,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8745810408145 10.2763267792761, 77.8751160576939 10.2737277187407)"
6,6,,T,KC,DD+3,27,9-10,299,4.36,FALSE,290.6821289,84°33'30''LT,10.27372772,77.87511606,Good,Good,"22KV,LT",MUD & THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8751160576939 10.2737277187407, 77.8738379012793 10.2735928539186)"
7,7,,T,HCR,B+3,27,10-11,145,2.1,FALSE,287.7982178,2°22'53''RT,10.27359285,77.8738379,Good,Good,LT,MDU-SEMBATTY NH,PLAIN,MDU-SEMBATTY NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8738379012793 10.2735928539186, 77.8720336966216 10.2734144870191)"
8,8,,S,GCR,A+6,28,11-12,203,4.12,FALSE,298.3725586,,10.27341449,77.8720337,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8720336966216 10.2734144870191, 77.870422611013 10.2732466813176)"
9,9,,S,GCR,A+0,22,12-13,182,3.86,FALSE,301.4969482,,10.27324668,77.87042261,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.870422611013 10.2732466813176, 77.8690571151673 10.2730914484709)"
10,10,,T,KCR,D+0,24,13-14,155,3.43,FALSE,297.1708984,57°5'34''LT,10.27309145,77.86905712,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8690571151673 10.2730914484709, 77.8683422226458 10.2716625854372)"
11,11,,T,KCR,D+0,24,14-15,182,2.92,FALSE,297.4112549,43°46'38''RT,10.27166259,77.86834222,Good,Good,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8683422226458 10.2716625854372, 77.8688434604555 10.2702096663415)"
12,12,,S,GCR,A+0,22,15-16,175,1.2,FALSE,304.8614502,,10.27020967,77.86884346,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8688434604555 10.2702096663415, 77.8697367198765 10.2676323987543)"
13,13,,S,GCR,A+0,22,16-17,307,1.86,FALSE,304.6212158,,10.2676324,77.86973672,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8697367198765 10.2676323987543, 77.8707076795399 10.2648373693227)"
14,14,,S,GCR,A+0,22,17-18,333,1.4,FALSE,306.3034668,,10.26483737,77.87070768,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8707076795399 10.2648373693227, 77.8715343028306 10.2624699007719)"
15,15,,T,HCR,B+0,24,18-19,283,5.64,FALSE,310.1486816,2°21'39''RT,10.2624699,77.8715343,Good,Good,LT,THAR ROAD,PLAIN,Madurai-Nilakottai Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8715343028306 10.2624699007719, 77.8724571503698 10.2597719337791)"
16,16,,S,GCR+3,A+3,25,19-20,321,4.69,FALSE,305.5825195,,10.25977193,77.87245715,Good,Good,2-LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8724571503698 10.2597719337791, 77.8733758907765 10.2570748887956)"
17,17,,S,GCR+3,A+3,25,20-21,321,1.1,FALSE,311.8309326,,10.25707489,77.87337589,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8733758907765 10.2570748887956, 77.8743293322622 10.254435930401)"
18,18,2W,T,HCR,B+0,24,21-22,316,3.24,FALSE,288,2°1'16''RT,10.25443593,77.87432933,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8743293322622 10.254435930401, 77.875118907541 10.2519807871431)"
19,19,,S,GCR+3,A+3,25,22-23,291,1.8,FALSE,293,,10.25198079,77.87511891,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.875118907541 10.2519807871431, 77.8758400026708 10.2500231098383)"
20,20,,S,GCR,A+0,22,23-24,236,2.1,FALSE,295,,10.25002311,77.87584,Good,Good,2-LT,THAR ROAD,PLAIN,SEM-NILAKOTAI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8758400026708 10.2500231098383, 77.8764843195676 10.2476415596902)"
21,21,,S,GCR,A+0,22,24-25,279,0.89,FALSE,286,,10.24764156,77.87648432,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8764843195676 10.2476415596902, 77.8774846997112 10.2452929504215)"
22,22,,T,HCR,B+0,24,25-26,288,0.52,FALSE,288,12°39'15''RT,10.24529295,77.8774847,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8774846997112 10.2452929504215, 77.8777619730681 10.2437697071582)"
23,23,,T,NA,B+0,24,26-27,177,2.34,FALSE,290.4418945,8°42'39''RT,10.24376971,77.87776197,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8777619730681 10.2437697071582, 77.8778413496911 10.2407866716384)"
24,24,,S,LA+3,A+3,25,27-28,336,0.5,FALSE,282.9915771,,10.24078667,77.87784135,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8778413496911 10.2407866716384, 77.8779127635061 10.2377644926309)"
25,25,,T,MA,B+0,24,28-29,341,2.5,FALSE,283.7125244,7°31'19''RT,10.23776449,77.87791276,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8779127635061 10.2377644926309, 77.878620699048 10.235465336591)"
26,26,,S,LA,A+0,22,29-30,272,1.6,FALSE,282.5109863,,10.23546534,77.8786207,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.878620699048 10.235465336591, 77.8790570609271 10.2337882015854)"
27,27,,T,MA,B+0,24,30-31,197,0.9,FALSE,291.8837891,10°5'41''LT,10.2337882,77.87905706,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8790570609271 10.2337882015854, 77.8802824951708 10.2311303839087)"
28,28,,S,LA,A+0,22,31-32,329,3.2,FALSE,283.9528809,,10.23113038,77.8802825,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8802824951708 10.2311303839087, 77.8814653493463 10.2284792717546)"
