S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Pasumalai SS),H-POLE,H-POLE,12,,,,"=IF(H6>15,0)",126.836349,,9.905916666666666,78.08327777777778,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08327777777778 9.905916666666666, 78.08333333333333 9.906027777777778)"
2,1,T,DC,26,Gantry -1 ,15.888420239818377,1.67,"=IF(H7>15,0)",131.384735,"6°24'60"" R",9.906027777777778,78.08333333333333,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08333333333333 9.906027777777778, 78.08388888888888 9.907305555555556)"
3,01A,T,DC,26,"=B7&"" - ""&B8",151.84021625518113,1.04,"=IF(H8>15,0)",134.011092999999,"9°46'51"" L",9.907305555555556,78.08388888888888,GOOD,AVAILABLE,"HT, LT",Railway,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08388888888888 9.907305555555556, 78.08394444444444 9.907527777777778)"
4,2,T,SC,22,"=B8&"" - ""&B9",25.094026450410016,1.38,"=IF(H9>15,0)",137.442748999999,"9°53'6"" L",9.907527777777778,78.08394444444444,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08394444444444 9.907527777777778, 78.08413888888889 9.9105)"
5,3,S,SA,22,"=B9&"" - ""&B10",332.4918862654287,6.18,"=IF(H10>15,0)",142.839066,,9.9105,78.08413888888889,GOOD,AVAILABLE,LT,Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08413888888889 9.9105, 78.08433333333333 9.913361111111112)"
6,4,T,SC,22,"=B10&"" - ""&B11",316.45089529358273,13.93,"=IF(H11>15,0)",144.209137,"5°48'17"" R",9.913361111111112,78.08433333333333,GOOD,AVAILABLE,LT - 2No,Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08433333333333 9.913361111111112, 78.08483333333332 9.916222222222222)"
7,5,S,SA,22,"=B11&"" - ""&B12",321.6566651702206,∞,"=IF(H12>15,0)",144.589661,,9.916222222222222,78.08483333333332,GOOD,AVAILABLE,"HT, LT",Main road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08483333333332 9.916222222222222, 78.08530555555555 9.918805555555554)"
8,6,S,SA,22,"=B12&"" - ""&B13",288.6077012823119,Not Taken,"=IF(H13>15,0)",144.621002,,9.918805555555554,78.08530555555555,GOOD,AVAILABLE,"HT, LT -2No",Road,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08530555555555 9.918805555555554, 78.08583333333333 9.92175)"
9,7,S,SA,22,"=B13&"" - ""&B14",331.76325778863014,∞,"=IF(H14>15,0)",145.206772,,9.92175,78.08583333333333,GOOD,AVAILABLE,,Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08583333333333 9.92175, 78.08633333333333 9.924583333333333)"
10,8,S,SA,22,"=B14&"" - ""&B15",317.79565712424665,5.6,"=IF(H15>15,0)",148.635803,,9.924583333333333,78.08633333333333,GOOD,AVAILABLE,LT,Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08633333333333 9.924583333333333, 78.0868611111111 9.927444444444443)"
