S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,line_geom
1,66 LILO ,3W,T,,,,,,,,,DB+0,24,,,,,2.48,FALSE,271.9366455,,10.10434194,77.59637059,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5963705871254 10.1043419446796, 77.5963994208723 10.1041549444198)"
2,DP 1,,T,,,,25,33,56,RT,35°39'5''RT,DP,12,T 84,T  1,66 LILO -DP 1,24.93644816,NIL,FALSE,273.37854,33°2'32''LT,10.10415494,77.59639942,NO E/W,Good,110KV THENI-SEMPATTY,,AGRI,E/W AVAILABLE FROM T.NO 66 LILO TO T.NO 1,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5963994208723 10.1041549444198, 77.5961193814873 10.1044660806655)"
3,DP 2,,T,23,40,54.26920442,,,,,20°41'55''RT,DP,12,T 1,T  2,DP 1-DP 2,50.14104279,NIL,FALSE,273.1383057,4°35'27''LT,10.10446608,77.59611938,NO E/W,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5961193814873 10.1044660806655, 77.5958213210105 10.1047481317073)"
4,1,,T,,,,,,,,33°34'40''RT,B+0,22,T 2,T  3,DP 2-1,49.19916856,0.12,FALSE,269.7736816,15°4'31''LT,10.10474813,77.59582132,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5958213210105 10.1047481317073, 77.5936030503362 10.1059468276798)"
5,2,,S,,,,,,,,1°53'60''RT,A+0,24,T 3,T  4,01-Feb,281.0990928,9.94,FALSE,263.28479,,10.10594683,77.59360305,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5936030503362 10.1059468276798, 77.5913275312632 10.1070566754788)"
6,3,,S,4,54,42.18547677,12,25,18,RT,0°7'23''RT,A+0,24,T 4,T  5,02-Mar,282.1456907,8.18,FALSE,273.37854,,10.10705668,77.59132753,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5913275312632 10.1070566754788, 77.5890438817441 10.1082368474453)"
7,4,,S,12,34,53.34986609,19,2,57,RT,1°3'24''RT,A+0,24,T 5,T  6,03-Apr,286.4583861,8.63,FALSE,275.3011475,,10.10823685,77.58904388,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5890438817441 10.1082368474453, 77.5867515150457 10.1093976572155)"
8,5,,S,,,,35,20,50,RT,1°15'31''RT,A+0,24,T 6,T  7,04-May,286.3235177,7.82,FALSE,276.7431641,,10.10939766,77.58675152,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5867515150457 10.1093976572155, 77.584479516372 10.1105878874659)"
9,6,,S,15,49,20.0504287,,,,,0°44'22''RT,A+0,24,T 7,T  8,05-Jun,285.8420721,6.88,FALSE,278.6657715,,10.11058789,77.58447952,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.584479516372 10.1105878874659, 77.5821837969124 10.1117761060595)"
10,7,,S,,,,36,10,14,RT,0°28'43''RT,A+0,24,T 8,T  9,06-Jul,288.0399904,6.35,FALSE,285.6352539,,10.11177611,77.5821838,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5821837969124 10.1117761060595, 77.5799515284597 10.1129003707319)"
