SL.NO,TOWER NO,TOWER S  / T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,palayapettai,,,,,,,,54,8.739351383520455,77.66700342331684,,,,,PALAYAPETTAI gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66700342331684 8.739351383520455, 77.66726430306527 8.739886789832484)"
1,1,T,"29°12'40""LT",KC,27,Gantry (Palayapettai)- T1,60,2.78,54,8.739886789832484,77.66726430306527,NOT AVAILABLE,LT LINE,ROAD,PLAIN LAND," Dc line , Road ,1 NOS LT line,GANNTRY TO T1 earthwire is not available,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66726430306527 8.739886789832484, 77.66713958465446 8.742234961857852)"
2,2,S,,GC,23.62,T1-T2,260.2433033009732,1.43,53,8.742234961857852,77.66713958465446,AVAILABLE,"LT LINE-2NOS,LT LINE-2NOS",CART TRACK-2NOS,PLAIN LAND," Dc line ,2nos LT line , 2nos Cart track ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66713958465446 8.742234961857852, 77.66701787536454 8.744617584334675)"
3,3,S,,GC,23.62,T2-T3,260,1.76,52,8.744617584334675,77.66701787536454,AVAILABLE,LT LINE,,PLAIN LAND," Dc line, LT line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66701787536454 8.744617584334675, 77.66684822901178 8.746953794848892)"
4,4,S,,GC,26.62,T3-T4,260,1.42,54,8.746953794848892,77.66684822901178,AVAILABLE,LT LINE,"ROAD-2NOS,ODAI(NALA)",PLAIN LAND," DC line , LT line, 2nos Road , odai ( Nala),Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66684822901178 8.746953794848892, 77.66675066671037 8.749330084536748)"
5,5,S,,GC,23.62,T4-T5,260,1.54,57,8.749330084536748,77.66675066671037,AVAILABLE,11KV LINE,,PLAIN LAND," DC line, 11 KV line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66675066671037 8.749330084536748, 77.6665679337659 8.75172823816966)"
6,6,T,"23°59'31""LT",HC,21.94,T5-T6,270,2.63,62,8.75172823816966,77.6665679337659,AVAILABLE,,,PLAIN LAND,"DC line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6665679337659 8.75172823816966, 77.66540821593274 8.75394679690292)"
7,7,S,,GC+3,23.62,T6-T7,276.7512804179843,1.7,62,8.75394679690292,77.66540821593274,AVAILABLE,,CART TRACK,PLAIN LAND," DC line, Cart track,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66540821593274 8.75394679690292, 77.6641294739889 8.756379072207887)"
8,8,S,,GC,23.62,T7-T8,305,1.36,59,8.756379072207887,77.6641294739889,AVAILABLE,,,PLAIN LAND," DC line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6641294739889 8.756379072207887, 77.6629117504561 8.758780185479699)"
9,9,S,,GC,23.62,T8-T9,294,1.58,59,8.758780185479699,77.6629117504561,AVAILABLE,,ODAI(NALA),PLAIN LAND,"DC line, odai( Nala),Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6629117504561 8.758780185479699, 77.66169033633435 8.761113683038403)"
