S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle
Degrees",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
39,37,,S,PA,A+0,24,36-37,234,3.21,FALSE,326.7313232,,10.24848838,78.17302885,Good,Good,LT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17302884534 10.2484883833676, 78.1750170327723 10.2493388112634)"
40,38,2W,T,PC,C+0,22,37-38,246,3.26,FALSE,327.9328613,29°41'22''RT,10.24933881,78.17501703,Good,Good,LT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1750170327723 10.2493388112634, 78.1771904602646 10.249099927023)"
41,39,,S,PA,A+0,24,38-39,248,2.61,FALSE,327.692627,,10.24909993,78.17719046,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1771904602646 10.249099927023, 78.1793154403567 10.2488094102591)"
42,40,,S,PA,A+0,24,39-40,243,4.5,FALSE,330.5765381,,10.24880941,78.17931544,Good,Good,LT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1793154403567 10.2488094102591, 78.1813880335539 10.2485914807766)"
43,41,,S,PA,A+0,24,40-41,237,1.68,FALSE,319.28125,,10.24859148,78.18138803,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1813880335539 10.2485914807766, 78.1835045479238 10.2483088430017)"
44,42,,T,PC,D+0,24,41-42,242,3.92,FALSE,328.6539307,34°20'31''RT,10.24830884,78.18350455,Good,Good,LT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1835045479238 10.2483088430017, 78.1848951894789 10.2470677345991)"
45,43,,S,PA,A+0,24,42-43,214,2.21,FALSE,342.3526611,,10.24706773,78.18489519,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1848951894789 10.2470677345991, 78.1863920297473 10.2458884846419)"
46,44,,S,PA,A+0,24,43-44,218,4.21,FALSE,344.9962158,,10.24588848,78.18639203,Good,Good,LT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1863920297473 10.2458884846419, 78.188085341826 10.2444727811962)"
47,45,,T,PC,D+0,24,44-45,252,3.89,FALSE,307.7454834,41°10'42''LT,10.24447278,78.18808534,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.188085341826 10.2444727811962, 78.1902924645692 10.2445113379508)"
48,46,,S,PA,A+0,24,45-46,250,6.46,FALSE,310.1486816,,10.24451134,78.19029246,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1902924645692 10.2445113379508, 78.1929016672074 10.2445676643401)"
49,47,,S,PA,A+0,24,46-47,294,7.16,FALSE,306.3034668,,10.24456766,78.19290167,Good,Good,LT,THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1929016672074 10.2445676643401, 78.1953687965869 10.244665145874)"
50,48,,S,PA,A+0,24,47-48,279,3.68,FALSE,319.0408936,,10.24466515,78.1953688,Good,Good,"22KV,LT",THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1953687965869 10.244665145874, 78.1978142168372 10.2446432691067)"
51,49,,T,PB,B+0,22,48-49,276,5.12,FALSE,318.5601807,15°4'33''RT,10.24464327,78.19781422,Good,Good,"LT,22KV",THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1978142168372 10.2446432691067, 78.2001935876905 10.2439855411648)"
52,50,,S,PA,A+0,24,49-50,279,6.98,FALSE,301.7373047,,10.24398554,78.20019359,Good,Good,"2-2LT,22KV",,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2001935876905 10.2439855411648, 78.2022552844136 10.2434243727475)"
