,Tower No,Joint Box, Supspension / Tenion,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV PAPANASAN,2W,GANTRY,GANTRY,20,,,,236,,8.68887975,77.30514319,GOOD,MISSING,NO,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30514319 8.68887975, 77.30534269 8.68882431)"
2,T.NO 1,,T,DC,26,GANTRY - 1,22.8035085,7.3,222,"22°45'44.88""",8.68882431,77.30534269,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30534269 8.68882431, 77.30651533 8.68897086)"
3,T.NO 2,,T,DB,24,1 --2,130.1153335,5.12,230,"6°37'8.80""",8.68897086,77.30651533,GOOD,GOOD,NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30651533 8.68897086, 77.30768715 8.68898184)"
4,T.NO 3,,T,DD,28,2--3,129.0155029,7.38,224,"43°34'45.02""",8.68898184,77.30768715,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30768715 8.68898184, 77.30885227 8.68789924)"
5,T.NO 4,,T,DD,28,3--4,175.5049857,15.18,242,"31°58'40.13""",8.68789924,77.30885227,GOOD,GOOD,NO,11KV,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30885227 8.68789924, 77.31019499 8.68763803)"
6,T.NO 5,,T,DB,24,4--5,150.6253631,7.36,257,"4°29'28.19""",8.68763803,77.31019499,GOOD,GOOD,NO,,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31019499 8.68763803, 77.31260944 8.68736127)"
7,T.NO 6,,T,DB,24,5--6,267.5761574,7.13,236,"8°14'5.27""",8.68736127,77.31260944,GOOD,GOOD,NO,,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31260944 8.68736127, 77.31377022 8.68705597)"
8,T.NO 7,,T,DD,28,6--7,132.1854758,9.13,227,"43°35'27.77""",8.68705597,77.31377022,GOOD,GOOD,NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31377022 8.68705597, 77.31543805 8.68796773)"
9,T.NO 8,,T,DC,26,7--8,209.5065631,5.47,224,"20°9'17.50""",8.68796773,77.31543805,GOOD,GOOD,NO,2nos LT,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31543805 8.68796773, 77.31645341 8.68912748)"
10,T.NO 9,,T,DD,28,8--9,170.1822552,15.94,225,"39°2'28.64""",8.68912748,77.31645341,GOOD,GOOD,NO,2nos 11KV,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31645341 8.68912748, 77.31806286 8.6894069)"
11,T.NO 10,,T,DB,24,9--10,179.8693971,6.15,216,"9°55'59.00""",8.6894069,77.31806286,GOOD,GOOD,NO,11KV,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31806286 8.6894069, 77.31971601 8.68940588)"
12,T.NO 11,,T,DC,26,10 -- 11,182.0027472,6.02,223,"22°1'14.28""",8.68940588,77.31971601,GOOD,GOOD,NO,,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31971601 8.68940588, 77.32206529 8.6903496)"
13,T.NO 12,,T,DB,24,11 -- 12,278.9265136,6.56,215,"0°35'51.32""",8.6903496,77.32206529,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32206529 8.6903496, 77.32489699 8.69145305)"
14,T.NO 13,,T,DC,32,12 -- 13,334.8089007,5.56,21`7,"26°8'54.83""",8.69145305,77.32489699,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32489699 8.69145305, 77.32593032 8.6925765)"
15,T.NO 14,2W,T,DC,32,13 - 14,168.5051928,9.91,218,"29°22'21.57""",8.6925765,77.32593032,GOOD,GOOD,NO,,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32593032 8.6925765, 77.32791448 8.69322416)"
16,T.NO 15,,S,DA,26,14 - 15,229.8978034,9.11,219,,8.69322416,77.32791448,GOOD,GOOD,NO,,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32791448 8.69322416, 77.3304079 8.6939681)"
17,T.NO 16,,S,DA,26,15 - 16,286.5868106,3.5,228,,8.6939681,77.3304079,GOOD,GOOD,NO,,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3304079 8.6939681, 77.33304782 8.69490093)"
18,T.NO 17,,T,DD,28,16 - 17,308.4234103,4.15,230,"54°7'42.82""",8.69490093,77.33304782,GOOD,GOOD,NO,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33304782 8.69490093, 77.33460354 8.69383394)"
19,T.NO 18,,T,DD,28,17 - 18,208.0216335,2.79,232,"45°39'30.58""",8.69383394,77.33460354,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33460354 8.69383394, 77.33541292 8.69399166)"
20,T.NO 19,,T,DD,28,18 - 19,90.80198236,3.29,236,"55°9'41.87""",8.69399166,77.33541292,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33541292 8.69399166, 77.33568008 8.69459557)"
21,T.NO 20,,S,DA,26,19 - 20,73.00684899,8.07,241,,8.69459557,77.33568008,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33568008 8.69459557, 77.33680254 8.69690241)"
