S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,59/16,,T,DC,26,59/19 - 59/20,266,3.23,FALSE,345.7171631,166°49'46''RT,10.53808909,77.41355818,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4135581776499 10.5380890890955, 77.4151791539043 10.5378495343029)"
20,59/17,,T,DC,26,59/20 - 59/21,285,2.57,FALSE,351.9658203,166°31'54''LT,10.53784953,77.41517915,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4151791539043 10.5378495343029, 77.4110940657556 10.537487687543)"
21,59/18,,T,DC,26,59/21 - 59/22,305,3.46,FALSE,344.5155029,61°25'25''RT,10.53748769,77.41109407,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4110940657556 10.537487687543, 77.4104195740073 10.5359375383704)"
22,59/19,2W,T,DC,26,59/22 - 59/23,343,4.73,FALSE,345.9575195,16°45'19''LT,10.53593754,77.41041957,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4104195740073 10.5359375383704, 77.4096674658358 10.5350497271865)"
23,59/20,,T,DC,26,59/23 - 59/24,134.2018119,2.48,FALSE,340.9106445,8°50'33''RT,10.53504973,77.40966747,GOOD,Available,,RAILWAY ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4096674658358 10.5350497271865, 77.4085126072168 10.5331597756594)"
24,59/21,,S,DC,26,59/24 - 59/25,250.4081207,3.92,FALSE,329.1345215,,10.53315978,77.40851261,GOOD,Available,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4085126072168 10.5331597756594, 77.4073170125484 10.5310347955673)"
25,59/22,,T,DC,26,59/25 - 59/26,275.1455719,3.85,FALSE,336.104126,25°56'7''RT,10.5310348,77.40731701,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4073170125484 10.5310347955673, 77.4071673955768 10.5285374913364)"
26,59/23,,S,DC,26,59/26 - 59/27,282.8422577,2.87,FALSE,334.421875,0°25'43''LT,10.52853749,77.4071674,GOOD,Available,"LT, HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4071673955768 10.5285374913364, 77.4070059601217 10.5261429492384)"
27,59/24,,T,DC,26,59/27 - 59/28,271.5741201,5.82,FALSE,341.8719482,7°10'3''LT,10.52614295,77.40700596,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4070059601217 10.5261429492384, 77.4064343143254 10.5232086963951)"
28,59/25,,S,DC,26,59/28 - 59/29,336.6897202,1.49,FALSE,344.5155029,,10.5232087,77.40643431,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4064343143254 10.5232086963951, 77.4060792569071 10.5213104467839)"
