S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,14,,S,SA,21,13-14,279.4586429,4.42,FALSE,334.602112,,9.948638889,77.39736111,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39736111111112 9.948638888888889, 77.39480555555556 9.948527777777779)"
23,15,,S,SA,21,14-15,280.2343135,0.96,FALSE,338.913361,,9.948527778,77.39480556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39480555555556 9.948527777777779, 77.39244444444445 9.948444444444444)"
24,16,,S,SA,21,15-16,258.9975265,1.16,FALSE,339.623322,,9.948444444,77.39244444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39244444444445 9.948444444444444, 77.39016666666667 9.948361111111112)"
25,17,,T,SB,21,16-17,248.6836496,2.34,FALSE,343.464752,"0°14'24""L",9.948361111,77.39016667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39016666666667 9.948361111111112, 77.3878888888889 9.948277777777777)"
26,18,,S,SA,21,17-18,250.5183546,1.22,FALSE,347.349396,,9.948277778,77.38788889,GOOD,Available,"11KV , LT",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3878888888889 9.948277777777777, 77.38558333333334 9.948194444444445)"
27,19,,S,SA,21,18-19,252.4776812,0.96,FALSE,350.381256,,9.948194444,77.38558333,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38558333333334 9.948194444444445, 77.38302777777777 9.948083333333333)"
28,20,,S,SA,21,19-20,281.2555748,0.28,FALSE,358.519745,,9.948083333,77.38302778,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38302777777777 9.948083333333333, 77.38047222222221 9.947972222222223)"
29,21,,S,SA,21,20-21,280.6281226,0.56,FALSE,361.855835,,9.947972222,77.38047222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38047222222221 9.947972222222223, 77.37791666666666 9.947888888888889)"
30,22,,S,SA,21,21-22,282.2144136,1.47,FALSE,367.697968,,9.947888889,77.37791667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37791666666666 9.947888888888889, 77.37544444444444 9.947777777777778)"
31,23,,S,SA,21,22-23,269.440287,0.31,FALSE,367.761688,,9.947777778,77.37544444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37544444444444 9.947777777777778, 77.37291666666665 9.947694444444444)"
32,24,,S,SA,21,23-24,279.2246827,1.42,FALSE,372.157349,,9.947694444,77.37291667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37291666666665 9.947694444444444, 77.37063888888888 9.947611111111112)"
33,25,2W,T,SB,21,24-25,248.6171807,0.67,FALSE,370.844177,"25°17'60""R",9.947611111,77.37063889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37063888888888 9.947611111111112, 77.36852777777777 9.946555555555555)"
34,26,,S,SA,21,25-26,258.9664305,1.25,FALSE,368.957123,,9.946555556,77.36852778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36852777777777 9.946555555555555, 77.36613888888888 9.945388888888889)"
