S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 58/1,T,SC,26,,,,,345,,10.560536077246,77.42046947591,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42046947591 10.560536077246, 77.4219833314418 10.5602916609495)"
2,58,S,DC,26,LILO : 41-41/1,173.95577829819672,2.18,"=IF(H7>15,0)",346,0°49'54''LT,10.5602916609495,77.4219833314418,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4219833314418 10.5602916609495, 77.424172181636 10.5599055904895)"
3,59,S,DC,26,41/1-41/2,249.45256760902458,1.29,"=IF(H8>15,0)",347,0°18'4''RT,10.5599055904895,77.424172181636,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.424172181636 10.5599055904895, 77.4254738073796 10.5596830509603)"
4, LILO : 59/1,T,DC,26,41/2-59/1,150.63755612065825,3.56,"=IF(H9>15,0)",344.034912109375,92°54'31''LT,10.5596830509603,77.4254738073796,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4254738073796 10.5596830509603, 77.4253680277615 10.5592102278023)"
5,59/2,T,DC,26,"=B9&"" - "" &B10",59.591045780630424,4.23,"=IF(H10>15,0)",346.678466796875,33°59'36''LT,10.5592102278023,77.4253680277615,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4253680277615 10.5592102278023, 77.4239662382751 10.5578847974538)"
6,59/3,T,DC,26,"=B10&"" - "" &B11",218.30760474781468,2.18,"=IF(H11>15,0)",339.708984375,20°24'51''RT,10.5578847974538,77.4239662382751,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4239662382751 10.5578847974538, 77.4238298647105 10.5576075240969)"
7,59/4,T,H-POLE,15,"=B11&"" - "" &B12",40.12475702172191,1.29,"=IF(H12>15,0)",340.670288085937,18°17'44''RT,10.5576075240969,77.4238298647105,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4238298647105 10.5576075240969, 77.4237918946892 10.5573336873203)"
8,59/5,T,H-POLE,15,"=B12&"" - "" &B13",36.58765514645822,3.56,"=IF(H13>15,0)",342.592895507812,16°28'45''LT,10.5573336873203,77.4237918946892,GOOD,NO E/W,220KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4237918946892 10.5573336873203, 77.4236341472715 10.5569855030626)"
9,59/6,T,DC,26,"=B13&"" - "" &B14",48.225888955744914,4.23,"=IF(H14>15,0)",343.794555664062,0°2'6''LT,10.5569855030626,77.4236341472715,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4236341472715 10.5569855030626, 77.4228134751319 10.5551770236343)"
10,59/7,S,DC,26,"=B14&"" - "" &B15",225.38206264626842,4.05,"=IF(H15>15,0)",349.081787109375,0°56'30''RT,10.5551770236343,77.4228134751319,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4228134751319 10.5551770236343, 77.4217184633016 10.5526546575129)"
11,59/8,T,DC,26,"=B15&"" - "" &B16",309.796954817116,3.82,"=IF(H16>15,0)",347.639770507812,23°18'41''RT,10.5526546575129,77.4217184633016,GOOD,Available,HT - 3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4217184633016 10.5526546575129, 77.4217119254171 10.5502463690936)"
12,59/9,S,DC,26,"=B16&"" - "" &B17",272.51038201846995,2.95,"=IF(H17>15,0)",346.197875976562,1°5'20''RT,10.5502463690936,77.4217119254171,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4217119254171 10.5502463690936, 77.4217488896101 10.5479768011718)"
13,59/10,T,DC,26,"=B17&"" - "" &B18",257.19071930675426,5.82,"=IF(H18>15,0)",338.988037109375,10°14'27''LT,10.5479768011718,77.4217488896101,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4217488896101 10.5479768011718, 77.4213645793497 10.5456318799406)"
14,59/11,S,DC,26,"=B18&"" - "" &B19",268.8870627347366,2.47,"=IF(H19>15,0)",337.546020507812,1°17'3''LT,10.5456318799406,77.4213645793497,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4213645793497 10.5456318799406, 77.4209469091147 10.5433982703834)"
15,59/12,T,DC,26,"=B19&"" - "" &B20",257.3744101321792,3.92,"=IF(H20>15,0)",346.918823242187,28°23'29''LT,10.5433982703834,77.4209469091147,GOOD,Available,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4209469091147 10.5433982703834, 77.4193825945258 10.541465319693)"
