SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
MELAKALLUR GANTRY,,2W,,,,,,,,59,8.718575025,77.59005027,,,,,,GANTRY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59005027020935 8.718575025484226, 77.58962206407136 8.718626562990165)"
2,1,,T,"02°09'20""RT",HC,21.94,Gantry (Kotayar) - T1,60,2.78,57,8.718626563,77.58962206,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58962206407136 8.718626562990165, 77.58889652607154 8.718741581791322)"
3,2,2W,T,"84°57'32""RT",KC,24,T1-T2,120,2.42,57,8.718741582,77.58889653,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE, lilo,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58889652607154 8.718741581791322, 77.58894447176164 8.719421943446802)"
4,3,,T,"39°40'33""RT",KC,24,T2-T3,100,2.76,57,8.719421943,77.58894447,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58894447176164 8.719421943446802, 77.59020913253404 8.720756465927337)"
5,4,,S,,GC,23.62,T3-T4,202.9847444,1.42,58,8.720756466,77.59020913,GOOD,AVAILABLE,"11KV LINE-3NOS,LT LINE",,PLAIN LAND,"DC LINE, 11kv LINE 3NOS, LT LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59020913253404 8.720756465927337, 77.59178761322985 8.722434624069912)"
6,5,,S,,GC,23.62,T4-T5,254.3609735,1.54,60,8.722434624,77.59178761,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59178761322985 8.722434624069912, 77.5936095078845 8.724376245274629)"
7,6,,S,,GC+3,26.62,T5-T6,293.9633721,1.63,62,8.724376245,77.59360951,GOOD,AVAILABLE,11KV LINE-2NOS,ROAD,PLAIN LAND,"DC LINE,11 kv LINE-2NOS, ROAD,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5936095078845 8.724376245274629, 77.59548082853034 8.72625987018151)"
8,7,,S,,GC,23.62,T6-T7,293.1045561,1.7,62,8.72625987,77.59548083,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59548082853034 8.72625987018151, 77.59746215880845 8.728229273689529)"
9,8,,S,,GC,23.62,T7-T8,308.3770283,1.26,61,8.728229274,77.59746216,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59746215880845 8.728229273689529, 77.59933166594237 8.730182459735472)"
10,9,,S,,GC,23.62,T8-T9,298.4903645,1.58,63,8.73018246,77.59933167,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59933166594237 8.730182459735472, 77.60146267540456 8.73246038213057)"
