S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 1 ,T,DC,26,,,2.32,"=IF(H6>15,0)",51.1566959999999,,9.946861111111112,78.84438888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84438888888889 9.946861111111112, 78.84613888888889 9.94886111111111)"
2,2,S,DA,26,LILO :1-2,295,1.56,"=IF(H7>15,0)",53.513229,,9.94886111111111,78.84613888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84613888888889 9.94886111111111, 78.84788888888889 9.950694444444444)"
3,3,T,DB,25,2-3,278.478028810119,1.16,"=IF(H8>15,0)",53.9407769999999,"26°51'0""R",9.950694444444444,78.84788888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84788888888889 9.950694444444444, 78.84861111111111 9.953138888888889)"
4,4,S,DA,26,3-4,284,1.31,"=IF(H9>15,0)",54.166904,,9.953138888888889,78.84861111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84861111111111 9.953138888888889, 78.84927777777777 9.955388888888889)"
5,5,S,DA,26,4-5,266,2.78,"=IF(H10>15,0)",52.2523959999999,,9.955388888888889,78.84927777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84927777777777 9.955388888888889, 78.85 9.957694444444444)"
6,6,S,DA,26,5-6,267,1.52,"=IF(H11>15,0)",53.661095,,9.957694444444444,78.85,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85 9.957694444444444, 78.85069444444444 9.959972222222222)"
7,7,T,DB,25,6-7,265,3.27,"=IF(H12>15,0)",54.386955,"8°5'24""R",9.959972222222222,78.85069444444444,GOOD,Available,HT,Srivachi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85069444444444 9.959972222222222, 78.85108333333332 9.962277777777777)"
8,8,S,DA,26,7-8,262,2.54,"=IF(H13>15,0)",54.622734,,9.962277777777777,78.85108333333332,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85108333333332 9.962277777777777, 78.85144444444444 9.964722222222221)"
9,9,S,DA,26,8-9,277,2.35,"=IF(H14>15,0)",55.2447469999999,,9.964722222222221,78.85144444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85144444444444 9.964722222222221, 78.85177777777777 9.966722222222222)"
10,10,T,DB,25,9-10,226,1.35,"=IF(H15>15,0)",55.108879,"3°36'36""L",9.966722222222222,78.85177777777777,GOOD,Available,,Ilankanivayal Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85177777777777 9.966722222222222, 78.85225 9.968861111111112)"
11,11,S,DA,26,10-11,245,3.4,"=IF(H16>15,0)",54.4409259999999,,9.968861111111112,78.85225,GOOD,Available,LT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85225 9.968861111111112, 78.85269444444444 9.970972222222223)"
12,12,T,DC,26,11-12,241,2.37,"=IF(H17>15,0)",52.075516,"36°57'0""L",9.970972222222223,78.85269444444444,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85269444444444 9.970972222222223, 78.85469444444443 9.972666666666667)"
13,13,S,DA,26,12-13,287.6482916166232,2.01,"=IF(H18>15,0)",46.804482,,9.972666666666667,78.85469444444443,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85469444444443 9.972666666666667, 78.85644444444443 9.973833333333333)"
14,14,S,DA,26,13-14,231.8113780742412,1.28,"=IF(H19>15,0)",44.989555,,9.973833333333333,78.85644444444443,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85644444444443 9.973833333333333, 78.85872222222221 9.975444444444445)"
15,15,S,DA,26,14-15,307.98626443344926,3.29,"=IF(H20>15,0)",47.3869359999999,,9.975444444444445,78.85872222222221,GOOD,Available,LT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85872222222221 9.975444444444445, 78.86047222222221 9.977611111111111)"
16,16,T,DB,25,15-16,304.3089718176098,1.15,"=IF(H21>15,0)",47.190674,"31°49'12""L",9.977611111111111,78.86047222222221,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86047222222221 9.977611111111111, 78.86244444444444 9.978277777777778)"
17,17,S,DA,26,16-17,231,1.07,"=IF(H22>15,0)",47.867668,,9.978277777777778,78.86244444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86244444444444 9.978277777777778, 78.86452777777777 9.979000000000001)"
