,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Thulukarpatti),2W,,,,,,,,,9.462718738,77.92502528,,,,,,THULUKARPATTY GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92502528092645 9.462718737727752, 77.92499173 9.462388217)"
2,1,,T,"92°16'33""LT",KC,24,Gantry (Thulukarpatti)  - T1,39.67112131,2.4,86,9.462388217,77.92499173,GOOD,NOT AVAILABLE,,,,"DC LINE,FENCE,THULUKARPATTY GANTRY TO T1  EARTH WIRE IS NOT AVAILABLE, AGRI LAND,ERT VALUE 2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92499173 9.462388217, 77.92438824 9.462468249)"
3,2,,T,"91°47'12""RT",KC,24,T1-T2,66.9200883,3.2,86,9.462468249,77.92438824,GOOD,AVAILABLE,11KV LINE-2NOS,,AGRI LAND,"DC LINE,2 11 KV LINE,AGRI LAND,ERT VALUE3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92438824 9.462468249, 77.92466819 9.46421177)"
4,3,,S,,GC+3,26.62,T2-T3,195.4467191,0.5,85,9.46421177,77.92466819,GOOD,NOT AVAILABLE,"11KV LINE-2NOS, 110 KV DP CROSSING ",ROAD,PLAIN LAND,"DC LINE,ERT VALUE 0.5,ROAD,T2 TO T3  EARTH WIRE IS NOT AVAILABLE, DP CROSSING,2 11 KV LINE,PLAIN  LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92466819 9.46421177, 77.92516842 9.466976516)"
5,4,,S,,GC,23.62,T3-T4,310.9599649,3.7,87,9.466976516,77.92516842,GOOD,NOT AVAILABLE,11KV LINE,,PLAIN LAND,"DC LINE,11 KV LINE,T3 TO T4  EARTH WIRE IS NOT AVAILABLE,PLAIN LAND,ERT VALUE 3.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92516842 9.466976516, 77.92559825 9.469784892)"
6,5,,S,,GC,23.62,T4-T5,314.4596168,2.3,89,9.469784892,77.92559825,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN  LAND,ERT VALUE 2.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92559825 9.469784892, 77.92601332 9.472134889)"
7,6,,S,,GC,23.62,T5-T6,264.1183168,4.2,90,9.472134889,77.92601332,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 4.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92601332 9.472134889, 77.92645991 9.474403187)"
8,7,,S,,GC,23.62,T6-T7,255.8561335,2.98,91,9.474403187,77.92645991,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 2.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92645991 9.474403187, 77.92682167 9.476806726)"
9,8,,S,,GC,23.62,T7-T8,269.0290604,5.3,89,9.476806726,77.92682167,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 5.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92682167 9.476806726, 77.92718176 9.478978428)"
10,9,,S,,GC,23.62,T8-T9,243.6470794,2.2,90,9.478978428,77.92718176,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 2.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92718176 9.478978428, 77.92758174 9.481301576)"
11,10,,S,,GC,23.62,T9-T10,260.9060391,1.4,90,9.481301576,77.92758174,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92758174 9.481301576, 77.92800017 9.48364984)"
12,11,,S,,GC,23.62,T10-T11,263.9930193,3.7,90,9.48364984,77.92800017,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 3.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92800017 9.48364984, 77.92835824 9.485929967)"
13,12,,S,,GC,23.62,T11-T12,255.46368,6.4,89,9.485929967,77.92835824,GOOD,AVAILABLE,,,AGRI LAND,"1DC LINE,AGRI LAND,ERT VALUE 6.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92835824 9.485929967, 77.92870156 9.488285144)"
14,13,,S,,GC,23.62,T12-T13,263.4382394,2.8,87,9.488285144,77.92870156,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 2.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92870156 9.488285144, 77.92909317 9.490778202)"
15,14,,S,,GC,23.62,T13-T14,279.3224271,5.7,88,9.490778202,77.92909317,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN  LAND,ERT VALUE 5.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92909317 9.490778202, 77.92946331 9.492946509)"
16,15,,S,,GC,23.62,T14-T15,243.4579867,7.4,89,9.492946509,77.92946331,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,ERT VALUE 7.4,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92946331 9.492946509, 77.92988509 9.495278491)"
17,16,,S,,GC,23.62,T15-T16,262.2834999,3.5,91,9.495278491,77.92988509,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,ERT VALUE 20.5,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92988509 9.495278491, 77.930269986391 9.49758003353655)"
18,17,,S,,GC,23.62,T16-T17,258.2723936,2.92,91,9.497580034,77.93026999,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 2.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.930269986391 9.49758003353655, 77.9307065159082 9.49994670464756)"
19,18,,S,,GC,23.62,T17-T18,266.3522841,4.72,89,9.499946705,77.93070652,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 4.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9307065159082 9.49994670464756, 77.9310199990868 9.50217183013574)"
20,19,,S,,GC,23.62,T18-T19,248.7232555,3.64,87,9.50217183,77.93102,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,AGRI LAND,ERT VALUE 3.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9310199990868 9.50217183013574, 77.9311765730381 9.5031932865244)"
