SL. NO,TOWER NO,Tower Suspension/ Tension,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,SR PUDUR,,,,,,,,69,8.249433616657388,77.48669820022118,,,,,SR PUDUR GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48669820022118 8.249433616657388, 77.486128029056 8.249139535103584)"
1,1,T,"06°45'16""RT",HC,21.94,Gantry (SR Pudur)- T1,70.8420263308683,38.78,69,8.249139535103584,77.486128029056,AVAILABLE,,,PLAIN LAND,"DC LINE, PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.486128029056 8.249139535103584, 77.48591378562749 8.24905923561495)"
2,2,T,"90°20'11""RT",KC,24,T1-T2,25.256378600800733,38.92,67,8.24905923561495,77.48591378562749,AVAILABLE,,,PLAIN LAND,"DC LINE, PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48591378562749 8.24905923561495, 77.48555705173132 8.250020819770837)"
3,3,T,"07°34'07""RT",HC,21.94,T2-T3,113.54404920036222,38.46,70,8.250020819770837,77.48555705173132,AVAILABLE,33KV LINE,,PLAIN LAND,"DC LINE,33 KV LINE, PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48555705173132 8.250020819770837, 77.48539577940339 8.25073288084524)"
4,4,T,"51°39'05""RT",KC,24,T3-T4,80.84920711739383,38.28,69,8.25073288084524,77.48539577940339,AVAILABLE,,,PLAIN LAND,"DC LINE, 2 FENCING, PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48539577940339 8.25073288084524, 77.48731188513102 8.252932045741744)"
5,5,S,,GC,23.62,T4-T5,322.52776210010626,37.54,67,8.252932045741744,77.48731188513102,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA,2 FENCING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48731188513102 8.252932045741744, 77.4891334402633 8.25525462725076)"
6,6,S,,GC,23.62,T5-T6,326.44606347222344,37.76,73,8.25525462725076,77.4891334402633,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA,FENCING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4891334402633 8.25525462725076, 77.49058820189146 8.257134583523422)"
7,7,T,"03°27'21""LT",HC,21.94,T6-T7,262.90344012156913,38.97,77,8.257134583523422,77.49058820189146,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49058820189146 8.257134583523422, 77.49246909933976 8.25976305516256)"
8,8,T,"24°19'01""RT",HC,21.94,T7-T8,357.5170837315313,38.42,112,8.25976305516256,77.49246909933976,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49246909933976 8.25976305516256, 77.49386888452707 8.260574599041217)"
9,9,T,"26°40'02""RT",HC,21.94,T8-T9,178.69248353856926,38.36,135,8.260574599041217,77.49386888452707,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49386888452707 8.260574599041217, 77.49637238959284 8.260728509086718)"
