S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,TN - 434A,,S,DC on DC,32,TN - 431 : TN - 430,163.6710413,6.36,168,,9.906744696,78.04778527,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0477852746844 9.90674469619989, 78.0463693197816 9.90692054852843)"
20,TN - 433,2W,T,DC on DC,30,TN - 430 : TN - 429,158.6423501,2.44,164,10°54'20''LT,9.906920549,78.04636932,GOOD,AVAILABLE,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0463693197816 9.90692054852843, 78.0437368992716 9.90682792849838)"
21,TN - 432,,S,DC on DC,32,TN - 429 : TN - 428,291.1403624,6.53,162,,9.906827928,78.0437369,GOOD,AVAILABLE,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0437368992716 9.90682792849838, 78.0416493862867 9.90673053078353)"
22,TN - 431,,S,DC on DC,32,TN - 428 : TN - 427,231.3985667,6.16,171,,9.906730531,78.04164939,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0416493862867 9.90673053078353, 78.0387443024665 9.90661226212978)"
23,TN - 430,,S,DC on DC,32,TN - 427 : TN - 426,321.1587488,3.91,175,,9.906612262,78.0387443,GOOD,AVAILABLE,LT -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0387443024665 9.90661226212978, 78.0358849838376 9.90647052414715)"
24,TN - 429,,S,DC on DC,32,TN - 426 : TN - 425,316.2593536,2.86,181,,9.906470524,78.03588498,GOOD,AVAILABLE,LT - 3,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0358849838376 9.90647052414715, 78.0330445244908 9.90636390633881)"
25,TN - 428,,T,DC on DC,30,TN - 425 : TN - 424,314.0214134,3.36,198,1°37'16''LT,9.906363906,78.03304452,GOOD,AVAILABLE,"HT, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0330445244908 9.90636390633881, 78.0300101079046 9.90633591078221)"
26,TN - 427,,S,DC on DC,32,TN - 424 : TN - 423,335.1041741,4.85,180,,9.906335911,78.03001011,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0300101079046 9.90633591078221, 78.0270743463188 9.90631403401494)"
27,TN - 426,,S,DC on DC,32,TN - 423 : TN - 422,324.2703116,6.23,175,,9.906314034,78.02707435,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0270743463188 9.90631403401494, 78.0241610482335 9.90631411783397)"
28,TN - 425,,S,DC on DC,32,TN - 422 : TN - 421,321.7962105,5.55,176,,9.906314118,78.02416105,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0241610482335 9.90631411783397, 78.0211429763585 9.9062724597752)"
