S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO  : 1,3W,T,DC,26,,,5.19,126.980858,,9.617785038,77.76011802,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.760118022561 9.61778503842651, 77.758386991918 9.61916201747953)"
2,2,,T,DC,26,LILO :1 -2,245,4.93,126.790443,"0°39'31"" R",9.619162017,77.75838699,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.758386991918 9.61916201747953, 77.7574550081044 9.61992099881172)"
3,3,,S,DA,26,02-Mar,132.4307768,6.07,126.346977,,9.619920999,77.75745501,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7574550081044 9.61992099881172, 77.7555170282721 9.62146997451782)"
4,4,,T,DC,26,03-Apr,273.3344206,4.19,126.80719,"6°47'29"" L",9.621469975,77.75551703,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7555170282721 9.62146997451782, 77.7536359615623 9.62263899855315)"
5,5,,S,DA,26,04-May,243.7958684,3.93,128.320724,,9.622638999,77.75363596,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7536359615623 9.62263899855315, 77.7518610097467 9.62375496514141)"
6,6,,S,DA,26,05-Jun,230.8023301,3.66,129.874969,,9.623754965,77.75186101,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7518610097467 9.62375496514141, 77.7499050088226 9.624959025532)"
7,7,,S,DA,26,06-Jul,252.8305221,5.43,130.466812,,9.624959026,77.74990501,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7499050088226 9.624959025532, 77.7480149734765 9.62616501376032)"
8,8,,S,DA,26,07-Aug,250,5.08,133.029922,,9.626165014,77.74801497,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7480149734765 9.62616501376032, 77.7460059989243 9.62745197117328)"
9,9,,S,DA,26,08-Sep,262.6523107,4.93,133.247574,,9.627451971,77.746006,GOOD,Available,400 KV ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7460059989243 9.62745197117328, 77.7439339924603 9.62875099852681)"
10,10,,S,DA,26,09-Oct,270,3.69,133.499756,,9.628750999,77.74393399,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7439339924603 9.62875099852681, 77.741996012628 9.62994801811873)"
