S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type ( SC on DC Tower),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,163,,S,DA,26,166 - 167,270.3133305,4.61,149.906326,,9.671339029,77.80837297,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8083729743957 9.67133902944624, 77.8099320083856 9.67301499098539)"
23,164,,S,DA,26,167 - 168,252.460661,3.86,150.431854,,9.673014991,77.80993201,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8099320083856 9.67301499098539, 77.8115570079535 9.67474300414323)"
24,165,,T,DC,26,168 - 169,261.6121473,5.05,151.950821,"0°2'19"" R",9.674743004,77.81155701,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8115570079535 9.67474300414323, 77.8128329850733 9.67609802260994)"
25,166,,S,DA,26,169 - 170,205.2726935,4.17,151.18811,,9.676098023,77.81283299,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8128329850733 9.67609802260994, 77.8143780212849 9.67774699442088)"
26,167,,S,DA,26,170 - 171,249.2235353,5.93,147.722687,,9.677746994,77.81437802,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8143780212849 9.67774699442088, 77.8158839978277 9.67936897650361)"
27,168,,S,DA,26,171 - 172,244.1167877,3.06,145.526337,,9.679368977,77.815884,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8158839978277 9.67936897650361, 77.8173820115625 9.68098601326346)"
28,169,,S,DA,26,172 - 173,243.1215535,3.49,145.266556,,9.680986013,77.81738201,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8173820115625 9.68098601326346, 77.8188269678503 9.68252903781831)"
29,170,,T,DC,26,173 - LILO : 174,233.149554,5.19,144.633972,"0°2'27"" L",9.682529038,77.81882697,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8188269678503 9.68252903781831, 77.8203539829701 9.68416200019419)"
30,171,,S,DA,26,LILO : 174 - 175,246.577219,6.03,145.507584,,9.684162,77.82035398,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8203539829701 9.68416200019419, 77.8218599595129 9.68574701808393)"
31,172,,S,DA,26,175 - 176,241.1225452,3.28,146.429932,,9.685747018,77.82185996,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8218599595129 9.68574701808393, 77.8234490007162 9.68745198100805)"
32,173,,S,DA,26,176 - 177,257.053046,4.47,147.392349,,9.687451981,77.823449,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8234490007162 9.68745198100805, 77.8249910194426 9.68910397030413)"
33,LILO : 174,2W,T,DC,26,177 - 178,249.2413727,4.11,147.384735,"0°9'54"" L",9.68910397,77.82499102,GOOD,Available,,,PLAIN,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8249910194426 9.68910397030413, 77.8264499735087 9.69067599624395)"
34,175,,S,DA,26,178 - 179,236.5490943,5.22,146.957443,,9.690675996,77.82644997,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8264499735087 9.69067599624395, 77.8280159644782 9.6923620160669)"
