,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV KEELAVEERANAM,2W,GANTRY,GANTRY,20,,,,113,,8.93324234,77.52473968,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52473968 8.93324234, 77.52472369 8.93355873)"
2,T.NO-82,,DB,T,27,GANTRY-82,35.05709629,4.68,119,"2°49'20.22""",8.93355873,77.52472369,GOOD,MISSING,YES,,TAAR ROAD,PLAINLAND,3 FEEDER ON THIS TOWER 1.K.VEERANAM-V.SIGAMANI 2.K.VEERANAM- KANARPATTI 3.K.VEERANAM- KAYATHAR .2EARH WIRE ON THIS TOWER ONE IS CONNECTED TO OUR T.NO-81 ANOTHER CONNECT TO KANARPATTI TOWER.NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52472369 8.93355873, 77.5245621 8.93516837)"
3,T.NO-81,,SC,T,26,82-81,179.0111728,AT PRESENT WATER,116,"29°15'15.74""",8.93516837,77.5245621,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5245621 8.93516837, 77.52530074 8.9368532)"
4,T.NO-80,,SB,T,24,81-80,203.3937069,8.02,116,"1°9'39.25""",8.9368532,77.52530074,GOOD,GOOD,NO,LT,,PLAINLAND,AT PRESENT WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52530074 8.9368532, 77.52567041 8.93774532)"
5,T.NO-79,,SA,DP,26,80-79,106.7754653,DP,115,,8.93774532,77.52567041,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52567041 8.93774532, 77.52582839 8.93825029)"
6,T.NO-78,,SA,DP,26,79-78,58.52349955,DP,114,,8.93825029,77.52582839,GOOD,MISSING,NO,230KV DC LINE CROSSING ABOVE OUR LINE,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52582839 8.93825029, 77.52564695 8.93961607)"
7,T.NO-77,,SB,T,24,78-77,152.4532715,6.18,116,"8°34'21.98""",8.93961607,77.52564695,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52564695 8.93961607, 77.52491902 8.9421242)"
8,T.NO-76,,SA,S,26,77-76,288.882329,5.93,116,,8.9421242,77.52491902,GOOD,GOOD,NO,"33KV , LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52491902 8.9421242, 77.52429883 8.94444182)"
9,T.NO-75,,SA,S,26,76-75,265.3978146,5.67,116,,8.94444182,77.52429883,GOOD,GOOD,NO,,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52429883 8.94444182, 77.52357885 8.94678724)"
10,T.NO-74,,SA,S,26,75-74,271.3705953,7.63,117,,8.94678724,77.52357885,GOOD,GOOD,NO,,"POND,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52357885 8.94678724, 77.52290574 8.94934018)"
