SL.NO,TOWER NO,Tower Suspension/ Tension,HORIZONTAL ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,vadakkankulam,,,,,,,,63,8.267288342,77.60591415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60591415 8.267288342, 77.60595203 8.26760098)"
1,1,T,"55°31'27""LT",KC,24,Gantry VADAKKANKULAM - T1,34.84946521828099,2.8,68,8.26760098,77.60595203,GOOD,NOT AVAILABLE,22KV LINE,,PLAIN LAND," Gantry VADAKKANKULAM - T1 Earth Wire Not available,1no 22kv Line,normal soil ,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60595203 8.26760098, 77.60469507 8.26870322)"
2,2,T,"36°05'02""LT",KC+3,27,T1-T2,184.60409048552768,2.43,68,8.26870322,77.60469507,GOOD,AVAILABLE,"22KV-2NOS,11KV LINE,LT LINE",ROAD,PLAIN LAND,"2nos 22kv Line,1nos 11kv Line,Road(vadakkankulam to perumkudi)1no Lt Linenormal soil ,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60469507 8.26870322, 77.60288525 8.268854555)"
3,3,S,,GC,23.62,T2-T3,200.212085799079,1.42,68,8.268854555,77.60288525,GOOD,AVAILABLE,"LT-2Nos,11KV LINE, 100KV transformer",CART TRACK,PLAIN LAND,"2nos Lt Line,1no11kv Line,1no100kv transformar,1no cart track,normal soil,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60288525 8.268854555, 77.60113645 8.268987312)"
4,4,S,,GC,23.62,T3-T4,193.34279325854345,1.47,69,8.268987312,77.60113645,GOOD,AVAILABLE,LT LINE,,PLAIN Land,"1No Lt Line , 2nos house in 10 mts,normal soil,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60113645 8.268987312, 77.59946912 8.26918377)"
5,5,T,"05°16'41""RT",HC,21.94,T4-T5,185.08282172039284,2.78,70,8.26918377,77.59946912,GOOD,AVAILABLE,"22KV LINE,11KV, LINE, LT LINE",,PLAIN Land,"1no 22kv Line,1no 11kv Line,1no Lt line,2nos house in 10 m,normal soil,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59946912 8.26918377, 77.59735253 8.269514604)"
6,6,S,,GC,23.62,T5-T6,236.18218546921565,1.52,70,8.269514604,77.59735253,GOOD,AVAILABLE,LT LINE,,PLAIN Land,"1no LT Line .,NOrmal soil,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59735253 8.269514604, 77.59516116 8.269840801)"
7,7,S,,GC,23.62,T6-T7,244.251229861726,1.46,72,8.269840801,77.59516116,GOOD,AVAILABLE,,,PLAIN Land,"1no Lt Line ,normal soil,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59516116 8.269840801, 77.59303015 8.270312325)"
8,8,S,,GC,23.62,T7-T8,240.6404947988169,1.4,75,8.270312325,77.59303015,GOOD,AVAILABLE,LT LINE,,PLAIN Land,"normal soil ,1no LT Line,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59303015 8.270312325, 77.59109762 8.270737059)"
9,9,T,"86°52'43""LT",KC (LILO),24,T8-T9,218.1580795409001,2.73,74,8.270737059,77.59109762,GOOD,AVAILABLE,,,PLAIN Land,"gravel,DC (LILO )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59109762 8.270737059, 77.59038616 8.267813337)"
10,10,S,,PA+3,23.9,T9-T10,332.92436836011467,1.53,70,8.267813337,77.59038616,GOOD,AVAILABLE,11KV LINE -2NOS,ROAD,PLAIN Land,"SC LINE,- ROAD (vadakkankulam to kavalkenaru)2nos 11kv   LIne, normal land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59038616 8.267813337, 77.58979105 8.265255565)"
11,11,S,,PA,20.9,T10-T11,290.55924464736603,1.48,69,8.265255565,77.58979105,GOOD,AVAILABLE,LT LINE -2NOS,,PLAIN Land,"SC TOWER, normal soil ,2nos LT Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58979105 8.265255565, 77.5891272 8.262667259)"
12,12,T,"15°05'44""RT",PB,20.85,T11-T12,295.63615500974333,2.72,69,8.262667259,77.5891272,GOOD,AVAILABLE,,,PLAIN Land,"SC LINE: Normal soil ,muntheri gardan ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5891272 8.262667259, 77.58801073 8.260576303)"
13,13,S,,PA+3,23.9,T12-T13,262.093258303224,1.54,70,8.260576303,77.58801073,GOOD,AVAILABLE,"LT LINE, 11KV LINE",CART TRACK,PLAIN Land,"SC LINE  normal soil ,1no 11kv Line ,1no LT Line,cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58801073 8.260576303, 77.58672863 8.258391774)"
14,14,S,,PA,20.9,T13-T14,280.03670732606105,1.62,68,8.258391774,77.58672863,GOOD,AVAILABLE,11KV LINE,Odai BUND,PLAIN Land,"SC Line: Normal soil 1no 11kv Line, Odai bund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58672863 8.258391774, 77.58559674 8.256260979)"
15,15,T,"03°27'10""RT",PB,20.85,T14-T15,266.7847730081604,2.65,67,8.256260979,77.58559674,GOOD,AVAILABLE,11KV LINE -2NOS,CART TRACK,PLAIN Land,"SC LINE  2nos 11kv Line,1no car tark ,normal soil ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58559674 8.256260979, 77.58442428 8.254407563)"
16,16,T,"35°29'18""LT",PC,21.65,T15-T16,242.43771498875472,2.47,63,8.254407563,77.58442428,GOOD,AVAILABLE,"LT LINE-2Nos, 11KV -2NOS",CART TRACK,PLAIN Land,"DC line : 2nos 11kv Line , 2nos LT Line , 1Nos cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58442428 8.254407563, 77.58445441 8.253882363)"
Gantry,Perungudi,,,,,T16-PERUNGUDI GANTRY,58.21557186869848,,,8.253882363,77.58445441,GOOD,NOT AVAILABLE,,,PLAIN Land,T16-PERUNGUDI GANTRY Earth Wire Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H6:H23)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
