S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Kodikurichi SS),2W,Gantry,H-POLE,12,,,,127.731636,,9.002034003,77.32349102,GOOD,,,,PLAIN,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3234910238534 9.00203400291502, 77.3239029943943 9.00209804065525)"
2,1,,T,DC,26,Gantry-1,45.86823769,7.25,131.365982,"83°48'20"" R",9.002098041,77.32390299,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3239029943943 9.00209804065525, 77.3239060118794 9.00193903595209)"
3,2,,T,DC,26,01-Feb,17.59645738,5.31,137.314529,"24°24'60"" R",9.001939036,77.32390601,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3239060118794 9.00193903595209, 77.3237810377031 9.00165103375911)"
4,3,,T,DC,26,02-Mar,45,3.96,142.386826,"34°41'59"" R",9.001651034,77.32378104,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3237810377031 9.00165103375911, 77.3229040391743 9.00110696442425)"
5,4,,T,DC,26,03-Apr,140,4.83,149.159088,"2°10'18"" L",9.001106964,77.32290404,GOOD,Available,"110 KV,LT,HT",,PLAIN,Down Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3229040391743 9.00110696442425, 77.3213269840925 9.00004397146403)"
6,5,,T,DC,26,04-May,235,4.71,161.103973,"6°18'5"" L",9.000043971,77.32132698,GOOD,Available,"LT,HT -3NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3213269840925 9.00004397146403, 77.3198540322482 8.99879598990082)"
7,6,,T,DC,26,05-Jun,252,6.19,168.534027,"49°23'3"" L",8.99879599,77.31985403,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3198540322482 8.99879598990082, 77.3198479972779 8.99685599841177)"
8,7,,S,DA,26,06-Jul,240,5,175.876114,,8.996855998,77.319848,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3198479972779 8.99685599841177, 77.3198609892278 8.99492103606462)"
9,8,,S,DA,26,07-Aug,235,4,180.6073,,8.994921036,77.31986099,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3198609892278 8.99492103606462, 77.3198279645293 8.99276495911181)"
10,LILO : 9,3W,T,DC,26,8-LILO : 9,238.5894277,,181.516632,"61°59'45"" R",8.992764959,77.31982796,GOOD,Available,HT -2NO,,PLAIN,Common Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3198279645293 8.99276495911181, 77.3183519951999 8.99201301857829)"
11,10,,T,DC,26,LILO : 9-10,235,,188.834518,"0°3'23"" L",8.992013019,77.318352,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3183519951999 8.99201301857829, 77.3161980137228 8.99091297760605)"
12,11,,T,DC,26,10-Nov,280,7.32,197.380249,"27°15'46"" R",8.990912978,77.31619801,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3161980137228 8.99091297760605, 77.3154149763286 8.99091398343443)"
13,12H,,T,H-POLE,12,11-12H,90,6.13,196.749451,"5°29'4"" R",8.990913983,77.31541498,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3154149763286 8.99091398343443, 77.315136026591 8.99094097316265)"
14,13H,,T,H-POLE,12,12H-13H,35,7.22,197.760925,"13°2'13"" R",8.990940973,77.31513603,GOOD,Available,230 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.315136026591 8.99094097316265, 77.3145829886198 8.99112596176564)"
15,14,,T,DC,26,13H-14,95,5.11,200.088394,"33°38'1"" L",8.991125962,77.31458299,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3145829886198 8.99112596176564, 77.3117939941585 8.99038097821176)"
16,15,,T,DC,26,14-15,317.6830522,4.73,199.145676,"16°15'16"" R",8.990380978,77.31179399,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3117939941585 8.99038097821176, 77.309564994648 8.99042800068855)"
