SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Thisayanvilai SS,,2W,,,,,,,,,8.341965,77.876974,,,,,THISAYANVILAI 110KV SS. GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.876974 8.341965, 77.8764300048351 8.34224234291365)"
1,1,,T,,KC,24,Gantry - T1,40,35.2,28,8.342242343,77.87643, NOT AVAILABLE,,CART TRACK,PLAIN LAND,"DC LINE:Gantry to T1 earth wire is not available, cart track,compound wall,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8764300048351 8.34224234291365, 77.8762952238321 8.34326605603416)"
2,2,,T,"27°38'20""LT",HC,24,T1-T2,114.2853161,32.3,27,8.343266056,77.87629522,AVAILABLE,,,PLAIN LAND,"DC LINE.cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8762952238321 8.34326605603416, 77.8748951107263 8.34524945110563)"
3,3,,T,"55°59'53""LT",KC,24,T2-T3,268.372326,33.5,28,8.345249451,77.87489511,AVAILABLE,,,PLAIN LAND,DC LINE.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8748951107263 8.34524945110563, 77.8735164552927 8.34522291302095)"
4,4,,T,"39°9'5""RT",KC,24,T3-T4,152.0128274,32.5,28,8.345222913,77.87351646,AVAILABLE,,,PLAIN LAND,DC LINE.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8735164552927 8.34522291302095, 77.8721884265542 8.34625789698716)"
5,5,,T,"20°57'23""LT",HC+3,24.94,T4-T5,185.8990165,37.8,30,8.346257897,77.87218843,AVAILABLE,,ROAD,PLAIN LAND,DC LINE.Road.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8721884265542 8.34625789698716, 77.8705425560474 8.34676178722671)"
6,6,,T,"40°46'18""RT",KC,24,T5-T6,189.8209837,48.2,31,8.346761787,77.87054256,AVAILABLE,,,AGRI LAND,DC LINE:agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8705425560474 8.34676178722671, 77.8692406788468 8.34882544152201)"
7,7,,T,"6°38'25""LT",HC,21.94,T6-T7,269.7711939,33.7,30,8.348825442,77.86924068,AVAILABLE,,,PLAIN LAND,DC LINE.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8692406788468 8.34882544152201, 77.8680511191487 8.35024123275915)"
8,8,,S,,GC,23.62,T7-T8,204.3430402,32.3,31,8.350241233,77.86805112,AVAILABLE,LT LINE-4NOS,CART TRACK,PLAIN LAND,"DC LINE.lt line-4Nos,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8680511191487 8.35024123275915, 77.8668665885925 8.3517681452475)"
9,9,2W,T,"17°35'8""RT",HC,21.94,T8-T9,213.5817791,32.1,33,8.351768145,77.86686659,AVAILABLE,,CART TRACK,PLAIN LAND,"DC LINE.cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8668665885925 8.3517681452475, 77.8661075234413 8.35368648023446)"
10,10,,S,,GC,23.62,T9-T10,228.233099,32.5,33,8.35368648,77.86610752,AVAILABLE,,,PLAIN LAND,DC LINE.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8661075234413 8.35368648023446, 77.8653424233198 8.35568242761818)"
11,11,,T,"57°36'2""LT",KC,24,T10-T11,236.483116,33,39,8.355682428,77.86534242,AVAILABLE,LT LINE,,PLAIN LAND,DC LINE.lt line.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8653424233198 8.35568242761818, 77.8634135797619 8.35606290703922)"
12,12,,T,"15°25'10""RT",HC,21.94,T11-T12,216.7610975,45.2,38,8.356062907,77.86341358,AVAILABLE,LT LINE,,PLAIN LAND,DC LINE.lt line.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8634135797619 8.35606290703922, 77.8610200434923 8.35726902766805)"
13,13,,S,,GC,23.62,T12-T13,295.7083898,39.3,36,8.357269028,77.86102004,AVAILABLE,LT LINE,,PLAIN LAND,DC LINE.lt line.fencing-2Nos.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8610200434923 8.35726902766805, 77.8594093769788 8.35806182769997)"
