S.No,Tower No.,Joint Box,Tower Suspension / Tension,Deviation Angle,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span Length  ( Mtrs) ,Footing Resistance of Tower ( Ohms) ,,Ground Elevation,Horizontal Angle        ( ° ),Latitude,Longitude,"Condition of tower  (Missing  Parts, Broken ... etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 (52 LILO ),3W,DC+0,,T,26,,,1.22,FALSE,83.707512,,9.998812958,78.65110201,Good,Available,"2 - 11 KV lines, LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6511020096865 9.998812958238053, 78.6492090406787 9.996683954774268)"
2,2,,DD+0,38°6'9''RT,T,26,1 (52 LILO) -2,317,0.64,FALSE,84.494759,38°6'9''RT,9.996683955,78.64920904,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6492090406787 9.996683954774268, 78.6492190151435 9.99556497070887)"
3,3,,DA+0,, ,28,02-Mar,126,0.33,FALSE,85.066216,,9.995564971,78.64921902,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6492190151435 9.99556497070887, 78.64923804206371 9.993455916246726)"
4,4,,DD+0,35°57'38''LT, ,26,03-Apr,236,4.37,FALSE,86.81105,35°57'38''LT,9.993455916,78.64923804,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64923804206371 9.993455916246726, 78.64825501246207 9.991586919451937)"
5,5,,DC+0,13°33'18''RT, ,26,04-May,236,1.56,FALSE,89.05854,13°33'18''RT,9.991586919,78.64825501,Good,Available,"11 KV, 66KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64825501246207 9.991586919451937, 78.64804797945428 9.991468902248403)"
6,KALLAL GANTRY ,2W,GANTRY,, ,12,5 - Kallal Gantry,29,,FALSE,88.942604,,9.991468902,78.64804798,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : ,No of Suspension Tower ( A)                    ,,,,,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"No of Tension Tower      ( B,C & D)       ",,,,,:,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No of H-Pole & Gantry                                             ,,,,,:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Earthwire Missing Locations  ,,,,,:,5- Kallal Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
