S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1,T,D+0,28,,,1.04,192.940307999999,,9.88226,77.7707,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7707 9.88226, 77.7717 9.88057)"
2,2,S,A+0,25,1-2,223,1.49,190.554137999999,,9.88057,77.7717,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7717 9.88057, 77.7728 9.87885)"
3,3,T,C+0,28,2-3,226,0.15,192.130188,4°42'60''LT,9.87885,77.7728,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7728 9.87885, 77.7743 9.87689)"
4,4,S,A+0,25,3-4,272,2.05,188.906173999999,,9.87689,77.7743,GOOD,AVAILABLE,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7743 9.87689, 77.7758 9.87485)"
5,5,S,A+0,25,4-5,281,4.46,189.271118,,9.87485,77.7758,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7758 9.87485, 77.7771 9.87305)"
6,6,S,A+0,25,5-6,249,8.7,188.401398,,9.87305,77.7771,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7771 9.87305, 77.7784 9.87123)"
7,7,T,B+0,28,6-7,253,2.16,189.056259,0°23'12''LT,9.87123,77.7784,GOOD,AVAILABLE,11KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7784 9.87123, 77.7799 9.86927)"
8,8,S,A+0,25,7-8,272,3.45,187.456604,,9.86927,77.7799,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7799 9.86927, 77.7812 9.86748)"
9,9,S,A+0,25,8-9,247,1.92,185.599411,,9.86748,77.7812,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7812 9.86748, 77.7826 9.86556)"
10,10,S,A+0,25,9-10,262,2.41,184.739258,,9.86556,77.7826,GOOD,AVAILABLE,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7826 9.86556, 77.7838 9.86378)"
11,11,T,C+0,28,10-11,246,0.39,185.051636,13°33'4''RT,9.86378,77.7838,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7838 9.86378, 77.7848 9.86146)"
12,12,S,A+0,25,11-12,281,0.45,183.730133,,9.86146,77.7848,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7848 9.86146, 77.7858 9.85894)"
13,13,S,A+0,25,12-13,303,1.16,183.233261,,9.85894,77.7858,GOOD,AVAILABLE,11KV,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7858 9.85894, 77.7867 9.85685)"
14,14,S,A+0,25,13-14,253,1.62,181.378921999999,,9.85685,77.7867,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7867 9.85685, 77.7875 9.85492)"
15,15,T,C+0,28,14-15,232,1.32,181.405914,24°9'30''LT,9.85492,77.7875,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7875 9.85492, 77.7894 9.85311)"
16,16,S,A+0,25,15-16,292,1.62,181.352371,,9.85311,77.7894,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7894 9.85311, 77.7913 9.85123)"
17,17,S,A+0,25,16-17,300,0.42,180.123535,,9.85123,77.7913,GOOD,AVAILABLE,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7913 9.85123, 77.7932 9.84942)"
18,18,T,C+0,28,17-18,293,0.56,178.729553,28°57'19''RT,9.84942,77.7932,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7932 9.84942, 77.7938 9.8477)"
19,19,S,A+0,25,18-19,202,3.47,177.285552999999,,9.8477,77.7938,GOOD,AVAILABLE,11KV - 2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7938 9.8477, 77.7944 9.84559)"
20,20,S,A+0,25,19-20,246,1.44,177.803069999999,,9.84559,77.7944,GOOD,AVAILABLE,"11KV- 2NO, LT -2 NO",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7944 9.84559, 77.7951 9.84348)"
21,21,T,D+0,28,20-21,249,3.7,177.95517,54°52'15''LT,9.84348,77.7951,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7951 9.84348, 77.7965 9.84307)"
22,22,S,A+0,25,21-22,158,0.39,176.675704999999,,9.84307,77.7965,GOOD,AVAILABLE,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7965 9.84307, 77.798 9.84263)"
23,23,T,C+0,28,22-23,172,0.35,174.083724999999,24°43'19''RT,9.84263,77.798,GOOD,AVAILABLE,11KV - 2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.798 9.84263, 77.799 9.84174)"
24,24,T,D+0,28,23-24,152,0.42,175.405914,99°13'27''LT,9.84174,77.799,GOOD,AVAILABLE,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.799 9.84174, 77.7989 9.84162)"
25,CHI GANTRY,T,GANTRY,12,24-CHI GANTRY,18,,178.050017999999,27°31'20''LT,9.84162,77.7989,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  Length,,,,,,=SUM(G7:G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
