,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV KEELAVEERANAM,2W,GANTRY,GANTRTY,20,,,,114,,8.93318088,77.52447571,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52447571 8.93318088, 77.5245786 8.9336049)"
2,TAKEOFF TOWER,,DD,T,28,GANTRY-TAKE OFF,48.27007354,1.77,114,"94°41'0.99""",8.9336049,77.5245786,GOOD,MISSING,NO,"11KV,LT",,PLAINLAND,NEED 3WAY JUNCTION BOX.2FEEDER ON THIS TOWER 1.ALANKULAM 110KV 2.KAYATHAR 110KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5245786 8.9336049, 77.52336212 8.93379392)"
3,T.NO-1,,SB,T,24,TAKE OFF-1,135.4843164,7.56,115,"7°13'57.57""",8.93379392,77.52336212,GOOD,GOOD,NO,"LT,11KV",MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52336212 8.93379392, 77.52129048 8.93385319)"
4,T.NO-2,,SA,S,26,01-Feb,228.054818,3.03,116,,8.93385319,77.52129048,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52129048 8.93385319, 77.51942772 8.93389297)"
5,T.NO-3,,SA,S,26,02-Mar,205.02195,1.88,120,,8.93389297,77.51942772,GOOD,GOOD,NO,,2nos MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51942772 8.93389297, 77.51751928 8.93389689)"
6,T.NO-4,,SB,T,24,03-Apr,210.0023809,2.23,122,"8°33'17.47""",8.93389689,77.51751928,GOOD,GOOD,NO,"230KV DC LINE CROSSING ABOVE OUR LINE,11KV,LT",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51751928 8.93389689, 77.51511762 8.93354268)"
7,T.NO-5,,SA,S,26,04-May,267.1647432,5.1,119,,8.93354268,77.51511762,GOOD,GOOD,NO,2nos 11KV,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51511762 8.93354268, 77.51269717 8.93309821)"
8,T.NO-6,,SA,S,26,05-Jun,270.8449741,4.27,115,,8.93309821,77.51269717,GOOD,GOOD,NO,"11KV,2nos 33KV",MNALA,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51269717 8.93309821, 77.50985839 8.93261138)"
9,T.NO-7,,SB,T,24,06-Jul,316.9858041,3.69,112,"13°47'13.12""",8.93261138,77.50985839,GOOD,GOOD,NO,"2nos LT,11KV","MUDROAD,NALA",INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50985839 8.93261138, 77.50764344 8.93165038)"
10,T.NO-8,,SA,S,26,07-Aug,265.9191606,3.12,109,,8.93165038,77.50764344,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50764344 8.93165038, 77.50582129 8.93098494)"
