S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,T,KCR,DB+0,22,13-14,169,6.35,FALSE,276.7431641,0°6'24''RT,10.29964859,77.8679471,Good,Good,,CANEL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8679470997303 10.2996485866606, 77.8674689121544 10.3016119636595)"
12,11,,S,PA,A+0,24,14-15,229,4.1,FALSE,280.8287354,,10.30161196,77.86746891,Good,Good,LT,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8674689121544 10.3016119636595, 77.866870611906 10.3034822177141)"
13,12,,S,PA,A+0,24,15-16,223,4.1,FALSE,283.9528809,,10.30348222,77.86687061,Good,Good,"22KV,LT",THAR ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.866870611906 10.3034822177141, 77.866130489856 10.3057386260479)"
14,13,,T,PA,A+0,24,16-17,268,5.16,FALSE,280.5883789,3°6'55''RT,10.30573863,77.86613049,Good,Good,"22KV,LT",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.866130489856 10.3057386260479, 77.8655599337071 10.3078651148825)"
15,14,,S,PA,B+0,22,17-18,249,6,FALSE,279.8673096,,10.30786511,77.86555993,Good,Good,"22KV,LT",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8655599337071 10.3078651148825, 77.8649547602981 10.309880292043)"
16,15,,S,PA,A+0,24,18-19,238,4.75,FALSE,291.6434326,,10.30988029,77.86495476,Good,Good,"22KV,LT",THAR ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8649547602981 10.309880292043, 77.8644447214901 10.3115181159228)"
17,16,,S,PA,A+0,24,19-20,195,5.8,FALSE,286.1159668,,10.31151812,77.86444472,Good,Good,LT,THAR ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8644447214901 10.3115181159228, 77.863818090409 10.3136222250759)"
18,17,,S,PA,A+0,24,20-21,248,3.17,FALSE,282.0302734,,10.31362223,77.86381809,Good,Good,,THAR ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.863818090409 10.3136222250759, 77.8633619472384 10.315134068951)"
19,18,,S,PA,A+0,24,21-22,180,4.4,FALSE,286.8369141,,10.31513407,77.86336195,Good,Good,,MUD ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8633619472384 10.315134068951, 77.8627020400017 10.3173067420721)"
20,19,2W,T,PB,B+0,22,22-23,257,6.73,FALSE,279.8673096,1°2'28''RT,10.31730674,77.86270204,Good,Good,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8627020400017 10.3173067420721, 77.8622156381607 10.3190204221755)"
21,20,,S,PA,A+0,24,23-24,202,3.94,FALSE,288.2789307,,10.31902042,77.86221564,Good,Good,,THAR  ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8622156381607 10.3190204221755, 77.8617135621607 10.3207708988338)"
22,21,,S,PA,A+0,24,24-25,207,5.25,FALSE,289.9611816,,10.3207709,77.86171356,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8617135621607 10.3207708988338, 77.8610518109053 10.3228489402681)"
23,22,,S,PA,A+0,24,25-26,247,4.4,FALSE,294.0467529,,10.32284894,77.86105181,Good,Good,,MUD ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8610518109053 10.3228489402681, 77.8603570349514 10.3251853957772)"
24,23,,S,PA,A+0,24,26-27,275,1.77,FALSE,294.5273438,,10.3251854,77.86035703,Good,Good,400KV,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8603570349514 10.3251853957772, 77.8598117083311 10.3270351141691)"
25,24,,S,PA,A+0,24,27-28,219,5.09,FALSE,291.6434326,,10.32703511,77.85981171,Good,Good,"LT,400KV",,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8598117083311 10.3270351141691, 77.8592187725007 10.3289632033556)"
26,25,,T,PA,B+0,22,28-29,228,6.23,FALSE,295.7290039,0°38'60''RT,10.3289632,77.85921877,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8592187725007 10.3289632033556, 77.8585440292954 10.3312500379979)"
27,26,,S,PB,A+0,24,29-30,269,9.74,FALSE,296.6903076,,10.33125004,77.85854403,Good,Good,2-LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8585440292954 10.3312500379979, 77.8579438012093 10.3332464396953)"
28,27,,S,PA,A+0,24,30-31,236,5.65,FALSE,300.2952881,,10.33324644,77.8579438,Good,Good,,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8579438012093 10.3332464396953, 77.8572918567806 10.3352864272892)"
29,28,,S,PA,A+0,24,31-32,242,6.93,FALSE,295.248291,,10.33528643,77.85729186,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8572918567806 10.3352864272892, 77.8566504735499 10.3375043626874)"
30,29,,S,PA,A+0,24,32-33,261,4.32,FALSE,299.3338623,,10.33750436,77.85665047,Good,Good,22KV,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8566504735499 10.3375043626874, 77.8560520056635 10.3394847549498)"
31,30,,S,PA,A+3,27,33-34,234,3.98,FALSE,290.9224854,,10.33948475,77.85605201,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8560520056635 10.3394847549498, 77.8555193357169 10.3412104211747)"
32,31,,T,PC,B+0,22,34-35,205,5.68,FALSE,300.776001,0°38'12''RT,10.34121042,77.85551934,Good,Good,"22KV,LT",,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8555193357169 10.3412104211747, 77.8548788744956 10.3433708567172)"
33,32,,T,PC,B+0,22,35-36,255,8.35,FALSE,304.6212158,0°11'41''LT,10.34337086,77.85487887,Good,NO E/W,"LT,400KV",,AGRI,S/C (NO CLEARENCE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8548788744956 10.3433708567172, 77.8543260879814 10.345212360844)"
34,33,,T,PC,B+0,22,36-37,218,10.12,FALSE,305.5825195,10°56'23''LT,10.34521236,77.85432609,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8543260879814 10.345212360844, 77.8533980436623 10.3469780925661)"
35,34,,S,PA,A+0,24,37-38,226,7.8,FALSE,303.1791992,,10.34697809,77.85339804,Good,Good,,MUD ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8533980436623 10.3469780925661, 77.852490954101 10.3486646153032)"
36,35,,S,PA,A+0,24,38-39,217,5.96,FALSE,299.5742188,,10.34866462,77.85249095,Good,Good,2-LT,MUD ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.852490954101 10.3486646153032, 77.8515036497265 10.3505973145365)"
