SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY ,TIN AUTO SS ,2W,,,,,,,34.87,5,8.743761252,78.14678192,AVAILABLE,,,,TIN AUTO SS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14678192 8.743761252, 78.14675476 8.744037622)"
1,1D,,DP,"42°15'29""LT",DP,8,TIN Auto ss- T1D,30.73707615,38.98,5,8.744037622,78.14675476,NOT AVAILABLE,,,PLAIN LAND,"DC line,T.No.TIN Auto Gantry to 1D  earthwire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14675476 8.744037622, 78.14687513 8.744030332)"
2,1C,,DP,"83°54'00""RT",DP,8,T1D -T1C,13.28000941,39.76,5,8.744030332,78.14687513,NOT AVAILABLE,,,PLAIN LAND,"DC line,T.No.1D to 1C  earthwire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14687513 8.744030332, 78.14695191 8.744466095)"
3,1B,,DP,"52°96'20""RT",DP,8,T1C -T1B,48.96983726,36.97,5,8.744466095,78.14695191,NOT AVAILABLE,230KV LINE,,PLAIN LAND,"Dc Line,230kv Crossing,T.No.1C to 1B  earthwire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14695191 8.744466095, 78.14682517 8.744468084)"
4,1A,,DP,"73°39'25""LT",DP,8,T1B -T1A,13.95780756,42.98,4,8.744468084,78.14682517,NOT AVAILABLE,230KV LINE,,PLAIN LAND,"Dc Line,230kv Crossing, T.No.1B to T,NO.1A  earthwire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14682517 8.744468084, 78.14666223 8.745044683)"
5,1,,T,"22°52'55""RT",HC,22.94,T1A- T1,66.29839639,40.98,2,8.745044683,78.14666223,NOT AVAILABLE,22KV LINE,,AGRI LAND,"Dc lIne,22kv line, T.No.1A to T,NO.1  earthwire is not available, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14666223 8.745044683, 78.14527821 8.746790711)"
6,2,,S,,GC+3,26.62,T1-T2,246.1364268,44.09,1,8.746790711,78.14527821,NOT AVAILABLE,LT LINE,MUD ROAD,AGRI LAND,"Dc line, LT line, MUD road ,Agri land, T.No.1 to T,NO.2  earthwire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14527821 8.746790711, 78.14373292 8.748600688)"
7,3,,S,,GC,23.62,T2-T3,262.8650121,39.98,1,8.748600688,78.14373292,NOT AVAILABLE,LT LINE,,AGRI LAND,"Dc line, LT line, Agri land, T.No.2 to T,NO.3  earthwire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14373292 8.748600688, 78.14221747 8.750391104)"
8,4,,S,,GC,23.62,T3-T4,259.0890397,43.78,2,8.750391104,78.14221747,NOT AVAILABLE,LT LINE,,PLAIN LAND,"Dc line, LT line, Plain  land, T.No.3 to T,NO.4  earthwire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14221747 8.750391104, 78.14077176 8.752168588)"
9,5,,S,,GC,23.62,T4-T5,253.0969691,42.98,1,8.752168588,78.14077176,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14077176 8.752168588, 78.1393569 8.753888074)"
