SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY ,TTN AUTO SS,,,,,,,,1,8.743849399,78.14652443,AVAILABLE,,,,TTN AUTO  SS GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14652443 8.743849399, 78.14663541 8.744123781)"
1,1,T,"103°42'05""RT",KCR,26.24,Gantry (TIN AUTO  SS)- T1,32.739047664812105,39.45,1,8.744123781,78.14663541,NOT AVAILABLE,,,PLAIN LAND,"TIN AUTO SS GANTR to T.No.1 earth wire is not available, compound,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14663541 8.744123781, 78.14440347 8.744444556)"
2,2,S,,GCR,25.64,T1-T2,248.3424704898335,34.89,1,8.744444556,78.14440347,AVAILABLE,33KV LINE -3NOS,,PLAIN LAND,"Dc line, 33kv line-3nos,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14440347 8.744444556, 78.14183626 8.744821996)"
3,3,S,,GCR,25.64,T2-T3,285.7825181812305,38.54,1,8.744821996,78.14183626,AVAILABLE,33KV LINE,,PLAIN LAND,"Dc line,33kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14183626 8.744821996, 78.13962948 8.745173257)"
4,4,S,,GCR,25.64,T3-T4,246.1129933099887,40.18,1,8.745173257,78.13962948,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13962948 8.745173257, 78.13735329 8.745543075)"
5,5,T,"00°50'58""RT",HCR+3,27.64,T4-T5,253.9850100222303,36.41,1,8.745543075,78.13735329,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"Dc line, cart track,lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13735329 8.745543075, 78.13482564 8.74591455)"
6,6,S,,GCR,25.64,T5-T6,281.37846149626483,41.09,2,8.74591455,78.13482564,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"Dc line, Road,lt line, compound,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13482564 8.74591455, 78.1325233 8.746265147)"
7,7,S,,GCR,25.64,T6-T7,256.4975901114975,41.56,3,8.746265147,78.1325233,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1325233 8.746265147, 78.13022599 8.746596525)"
8,8,T,"11°28'07""RT",HCR,24.64,T7-T8,255.6372325953207,37.54,3,8.746596525,78.13022599,AVAILABLE,LT LINE,,PLAIN LAND,"Dc line, Lt line, street, house, house land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13022599 8.746596525, 78.12771644 8.746457015)"
9,9,T,"00°00'00""",HCR,24.64,T8-T9,276.7954026009306,38.99,3,8.746457015,78.12771644,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12771644 8.746457015, 78.12525719 8.746323138)"
