S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 93,T,DC,26,,,6.05,88.683121,,8.455555961,77.61573899,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61573899 8.455555961, 77.61604602 8.457881017)"
2,TN 94,S,SC,23,93 LILO - TN 94,259.52287589774727,3.1,91.095551,,8.457881017,77.61604602,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61604602 8.457881017, 77.61636 8.460383015)"
3,TN 95,S,SC,23,TN 94 - TN 95,279.043199958397,3.41,94.678329,,8.460383015,77.61636,GOOD,Available,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61636 8.460383015, 77.61670601 8.462943016)"
4,TN 96,T,SC,22,TN 95 - TN 96,285.86317202859533,4.02,96.532852,13°10'53''LT,8.462943016,77.61670601,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61670601 8.462943016, 77.61761804 8.465334037)"
5,TN 97,S,SC,23,TN 96 - TN 97,283.04839113526333,1.76,94.981247,,8.465334037,77.61761804,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61761804 8.465334037, 77.61855204 8.467797982)"
6,TN 98,S,SC,23,TN 97 - TN 98,291.4530544236723,2.55,95.095711,,8.467797982,77.61855204,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61855204 8.467797982, 77.61941303 8.470099987)"
7,TN 99,S,SC,23,TN 98 - TN 99,271.84805201590086,6.13,99.750008,,8.470099987,77.61941303,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61941303 8.470099987, 77.62029899 8.472425966)"
8,TN 100,S,SC,23,TN 99 - TN 100,275.29948572285053,4.48,99.105492,,8.472425966,77.62029899,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62029899 8.472425966, 77.62119502 8.474742975)"
9,TN 101,T,SC,22,TN 100 - TN 101,274.76823787284695,1.62,100.299843,14°53'47''RT,8.474742975,77.62119502,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62119502 8.474742975, 77.62144304 8.477009023)"
10,TN 102,S,SC,23,TN 101 - TN 102,252.26394373193858,1.53,101.32225,,8.477009023,77.62144304,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62144304 8.477009023, 77.62173196 8.479379006)"
