S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,22,2W,T,DB,25,21-22,259.6626521,2.46,FALSE,60.745789,"13°19'12""L",10.03738889,78.83719444,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83719444444444 10.03738888888889, 78.83844444444443 10.039916666666667)"
23,23,,S,DA,26,22-23,312.6519922,4.11,FALSE,61.839699,,10.03991667,78.83844444,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83844444444443 10.039916666666667, 78.83952777777777 10.042027777777777)"
24,24,,S,DA,26,23-24,259.8969475,6.03,FALSE,59.271187,,10.04202778,78.83952778,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83952777777777 10.042027777777777, 78.84066666666666 10.04425)"
25,25,,T,DB+3,28,24-25,276.492087,4.31,FALSE,86.239944,"23°36'0""R",10.04425,78.84066667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84066666666666 10.04425, 78.84083333333332 10.047138888888888)"
26,26,,T,DB,25,25-26,319.4565695,6.35,FALSE,75.482498,"23°4'12""L",10.04713889,78.84083333,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84083333333332 10.047138888888888, 78.84194444444444 10.049416666666666)"
27,27,,S,DA,26,26- 27,280.1050869,2.01,FALSE,64.241806,,10.04941667,78.84194444,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84194444444444 10.049416666666666, 78.84308333333333 10.051666666666668)"
28,28,,S,DA,26, 27- 28,277.7816581,1.47,FALSE,64.217278,,10.05166667,78.84308333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84308333333333 10.051666666666668, 78.84416666666667 10.053916666666668)"
29,29,,S,DA,26, 28- 29,276.8915717,0.76,FALSE,64.192757,,10.05391667,78.84416667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84416666666667 10.053916666666668, 78.84530555555556 10.056194444444445)"
30,30,,S,DA,26, 29- 30,280.8975414,0.43,FALSE,64.350784,,10.05619444,78.84530556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84530555555556 10.056194444444445, 78.84641666666666 10.0585)"
31,31,,S,DA,26, 30- 31,282.9779445,0.28,FALSE,63.644314,,10.0585,78.84641667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84641666666666 10.0585, 78.8475 10.060694444444445)"
32,32,2W,T,DB+3,28, 31- 32,270.9763695,1.21,FALSE,66.036148,"25°19'12""R",10.06069444,78.8475,GOOD,Available,,River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8475 10.060694444444445, 78.84747222222222 10.063555555555556)"
33,33,,S,DA+3,29, 32- 33,315.9020148,2.54,FALSE,67.043304,,10.06355556,78.84747222,GOOD,NO E/W,"HT,LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84747222222222 10.063555555555556, 78.84738888888889 10.06613888888889)"
34,34,,S,DA,26, 33- 34,287.5177104,1.28,FALSE,68.526833,,10.06613889,78.84738889,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84738888888889 10.06613888888889, 78.84738888888889 10.068638888888888)"
35,35,,S,DA,26, 34- 35,274.5126312,1.68,FALSE,66.888008,,10.06863889,78.84738889,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84738888888889 10.068638888888888, 78.84733333333332 10.070972222222222)"
36,36,,S,DA,26, 35- 36,259.4211725,0.98,FALSE,67.667168,,10.07097222,78.84733333,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84733333333332 10.070972222222222, 78.84727777777778 10.073416666666667)"
37,37,,S,DA,26, 36- 37,269.2215792,2.84,FALSE,68.238914,,10.07341667,78.84727778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84727777777778 10.073416666666667, 78.84722222222221 10.07563888888889)"
38,38,,S,DA,26, 37- 38,246.0314691,3.56,FALSE,67.799728,,10.07563889,78.84722222,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84722222222221 10.07563888888889, 78.84722222222221 10.078277777777778)"
39,39,,S,DA,26, 38- 39,292.6472846,2.98,FALSE,69.265709,,10.07827778,78.84722222,GOOD,NO E/W,HT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84722222222221 10.078277777777778, 78.84713888888888 10.080972222222222)"
40,40,,T,DB+3,28, 39- 40,297.9710816,1.54,FALSE,71.778648,"7°45'36""L",10.08097222,78.84713889,GOOD,NO E/W,HT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84713888888888 10.080972222222222, 78.84733333333332 10.08286111111111)"
41,41,,S,DA,26, 40- 41,211.7715376,1.98,FALSE,72.243744,,10.08286111,78.84733333,GOOD,NO E/W,"65 KV,HT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84733333333332 10.08286111111111, 78.84758333333333 10.085333333333335)"
42,42,,S,DA,26, 41- 42,273.519478,1.48,FALSE,72.163971,,10.08533333,78.84758333,GOOD,NO E/W,2 - LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84758333333333 10.085333333333335, 78.84783333333333 10.087694444444445)"
