S. No ,Tower No,Joint Box,Supspension / Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing parts, broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly /Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 230KV N.M PATTY SS,2W,T,GT,15,,,,153,,9.397908524,77.56440645,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5644064508378 9.39790852367878, 77.5639700051397 9.39795688726007)"
2,1,,T,DB,24,GT-1,48.25971405,2.76,145,"3°10'16""",9.397956887,77.56397001,GOOD,No E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5639700051397 9.39795688726007, 77.5624977238476 9.39820256084203)"
3,2,,T,DC,26,01-Feb,164.0731544,3.45,147,"28°6'52""",9.398202561,77.56249772,GOOD,Available,"HT-1 , LT-1",MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5624977238476 9.39820256084203, 77.5613848585635 9.39783107489347)"
4,3,,T,DB,24,02-Mar,129.0271289,2.47,145,"14°12'23""",9.397831075,77.56138486,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5613848585635 9.39783107489347, 77.5597550813108 9.39770735800266)"
5,4,,T,DC,26,03-Apr,179.6273921,2.58,141,"25°23'37""",9.397707358,77.55975508,GOOD,Available,LT-1,ROAD-2,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5597550813108 9.39770735800266, 77.5579641200602 9.39669021405279)"
6,5,,T,DC,26,04-May,226.7421443,2.29,142,"20°35'20""",9.396690214,77.55796412,GOOD,Available,HT-1,DRAIN-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5579641200602 9.39669021405279, 77.556430986151 9.39484887756407)"
7,6,,S,DA,26,05-Jun,264.4125564,3.16,141,,9.394848878,77.55643099,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.556430986151 9.39484887756407, 77.5549348164349 9.39307954162359)"
8,7,,S,DA,26,06-Jul,255.69122,3.77,139,,9.393079542,77.55493482,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5549348164349 9.39307954162359, 77.5534383952617 9.39127399586141)"
9,8,,S,DA,26,07-Aug,258.7856256,2.19,139,,9.391273996,77.5534384,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5534383952617 9.39127399586141, 77.5519236177206 9.38945059664547)"
10,9,,T,DC,26,08-Sep,261.5989297,2.83,141,"15°9'12""",9.389450597,77.55192362,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5519236177206 9.38945059664547, 77.5510087329894 9.38753248192369)"
11,10,,S,DA,26,09-Oct,234.8829496,Not taken,139,,9.387532482,77.55100873,GOOD,Available,LT-1,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5510087329894 9.38753248192369, 77.550074905157 9.38551504164934)"
12,11,,S,DA,26,10-Nov,245.7173173,2.56,138,,9.385515042,77.55007491,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.550074905157 9.38551504164934, 77.5489738583564 9.38301991671323)"
13,12,,T,DD,28,11-Dec,301.4796842,2.16,141,"33°58'4""",9.383019917,77.54897386,GOOD,Available,LT-1,"ROAD-1 , DRAIN-1",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5489738583564 9.38301991671323, 77.5479776691645 9.38241264782846)"
14,13,,T,DD,28,Dec-13,128.4717868,3.67,141,,9.382412648,77.54797767,GOOD,Available,110 KV Crossing Below,,AGRI,K.G PATTY - KAYATHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5479776691645 9.38241264782846, 77.547963084653 9.38042471185326)"
