S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,TOWER MODEL,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO 1,3W,T,,,,,,,,,KCR,DB+0,22,,,,,7.19,FALSE,223.1501465,,10.63454954,77.85273604,Good,Good,,,Plain,LILO CHINAKAMPATTY,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8527360409498 10.6345495395362, 77.8506450075656 10.6343303527683)"
2,2,,T,,,,25,33,56,RT,35°39'5''RT,KCR,DB+0,22,T 84,T  1,LILO 1-2,238,6.07,FALSE,220.0258789,5°30'39''RT,10.63433035,77.85064501,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8506450075656 10.6343303527683, 77.8482651337981 10.6343082245439)"
3,3,,S,23,40,54.26920442,,,,,20°41'55''RT,GCR,DA+0,24,T 1,T  2,02-Mar,269,5.19,FALSE,223.3903809,,10.63430822,77.84826513,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8482651337981 10.6343082245439, 77.845896994695 10.6341302767395)"
4,4,,S,,,,,,,,33°34'40''RT,GCR+3,DA+3,27,T 2,T  3,03-Apr,268,4.98,FALSE,216.4207764,,10.63413028,77.84589699,Good,Good,,SMALL RIVER,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.845896994695 10.6341302767395, 77.8438713401556 10.6340216472744)"
5,5,,T,,,,,,,,1°53'60''RT,HCR,DB+0,22,T 3,T  4,04-May,230,4.18,FALSE,219.0644531,1°56'13''RT,10.63402165,77.84387134,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8438713401556 10.6340216472744, 77.8416495490819 10.6339768879115)"
6,6,,S,4,54,42.18547677,12,25,18,RT,0°7'23''RT,GCR,DA+0,24,T 4,T  5,05-Jun,251,4.93,FALSE,221.7081299,,10.63397689,77.84164955,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8416495490819 10.6339768879115, 77.8395756147801 10.6339846830815)"
7,7,,T,12,34,53.34986609,19,2,57,RT,1°3'24''RT,HCR,DC+0,22,T 5,T  6,06-Jul,235,5.76,FALSE,233.9647217,29°25'1''LT,10.63398468,77.83957561,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8395756147801 10.6339846830815, 77.8374859225004 10.6328294053673)"
8,8,,S,,,,35,20,50,RT,1°15'31''RT,GCR,DA+0,24,T 6,T  7,07-Aug,271,5.23,FALSE,226.5146484,,10.63282941,77.83748592,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8374859225004 10.6328294053673, 77.8354067075997 10.6316716130822)"
9,9,,T,15,49,20.0504287,,,,,0°44'22''RT,KCR,DD+0,24,T 7,T  8,08-Sep,270,6.71,FALSE,229.638916,52°30'40''RT,10.63167161,77.83540671,Good,Good,400 KV MDU-PGLR,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8354067075997 10.6316716130822, 77.8329339623451 10.6327167525887)"
10,10,,S,,,,36,10,14,RT,0°28'43''RT,GCR,DA+0,24,T 8,T  9,09-Oct,303,3.7,FALSE,228.4372559,,10.63271675,77.83293396,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8329339623451 10.6327167525887, 77.830621227622 10.6336807552725)"
11,11,,T,21,33,12.3055836,34,31,15,RT,22°2'55''RT,HCR,DB+0,22,T 9,T  10,10-Nov,283,5.23,FALSE,226.274292,8°45'26''LT,10.63368076,77.83062123,Good,Good,"22KV,LT",MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.830621227622 10.6336807552725, 77.828047061339 10.6343199592083)"
12,12,,S,,,,57,59,5,LT,0°14'43''RT,GCR,DA+0,24,T 10,T  11,11-Dec,299,0.17,FALSE,232.7631836,,10.63431996,77.82804706,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.828047061339 10.6343199592083, 77.8257457260042 10.6348051875829)"
13,13,,S,17,49,52.33989923,,,,,0°4'2''RT,GCR,DA+0,24,T 11,T  12,Dec-13,266,2.01,FALSE,229.1582031,,10.63480519,77.82574573,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8257457260042 10.6348051875829, 77.8240020386874 10.6352472491562)"
14,14,2W,T,10,0,3.534980713,16,22,56,LT,0°12'40''RT,KCR,DC+0,22,T 12,T  13,13-14,205,5.88,FALSE,232.7631836,22°41'21''RT,10.63524725,77.82400204,Good,Good,,CANEL,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8240020386874 10.6352472491562, 77.8220939822494 10.6366728432476)"
15,15,,S,,,,9,52,50,LT,0°21'20''RT,GCR,DA+0,24,T 13,T  14,14-15,270,1.07,FALSE,258.7185059,,10.63667284,77.82209398,Good,Good,,CANEL,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8220939822494 10.6366728432476, 77.8202566690742 10.6380850262939)"
16,16,,T,,,,,,,,0°27'28''RT,KCR,DD+0,24,T 14,T  15,15-16,263,4.28,FALSE,252.7104492,36°2'58''LT,10.63808503,77.82025667,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8202566690742 10.6380850262939, 77.8179076407104 10.6381579488515)"
17,17,,S,,,,,,,,0°25'28''RT,GCR,DA+0,24,T 15,T  16,16-17,265,8.91,FALSE,245.2601318,,10.63815795,77.81790764,Good,Good,"22KV,LT",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8179076407104 10.6381579488515, 77.8152444586157 10.6382545921951)"
18,18,,S,,,,,,,,0°4'40''RT,GCR,DA+0,24,T 16,T  17,17-18,300,5.35,FALSE,236.3681641,,10.63825459,77.81524446,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8152444586157 10.6382545921951, 77.8126169834285 10.6383649818599)"
19,19,,T,,,,,,,,0°5'17''RT,HCR+3,DC+3,25,T 17,T  18,18-19,296,7.08,FALSE,242.6165771,21°14'59''LT,10.63836498,77.81261698,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8126169834285 10.6383649818599, 77.8106076736003 10.6376876402646)"
20,20,,S,,,,,,,,0°3'21''RT,GCR,DA+0,24,T 18,T  19,19-20,241,3.15,FALSE,248.6247559,,10.63768764,77.81060767,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8106076736003 10.6376876402646, 77.8084707073867 10.6370177585631)"
21,21,,S,,,,,,,,0°36'56''RT,GCR,DA+0,24,T 19,T  20,20-21,254,2.05,FALSE,249.5860596,,10.63701776,77.80847071,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8084707073867 10.6370177585631, 77.8063094336539 10.6363034527748)"
22,22,,T,11,15,5.656093924,23,53,12,LT,0°41'8''RT,HCR,DC+0,22,T 20,T  21,21-22,258,4.08,0,251.9893799,18°30'53''LT,10.63630345,77.80630943,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8063094336539 10.6363034527748, 77.8048195503652 10.6351932696998)"
23,23,,S,,,,,,,,0°9'9''RT,GCR,DA+0,24,T 21,T  22,22-23,213,5.18,FALSE,255.5943604,,10.63519327,77.80481955,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8048195503652 10.6351932696998, 77.803193712607 10.6339172087609)"
24,24,,T,,,,,,,,52°28'35''RT,HCR,DB+0,22,T 22,T  23,23-24,236,6.09,FALSE,256.5556641,8°12'26''LT,10.63391721,77.80319371,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.803193712607 10.6339172087609, 77.8022690210491 10.6329486798495)"
25,25,,T,,,,,,,,0°1'13''RT,KCR,DD+0,24,T 23,T  24,24-25,156,7.25,FALSE,249.3457031,67°45'10''RT,10.63294868,77.80226902,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8022690210491 10.6329486798495, 77.802091743797 10.6330164056271)"
26,GANTRY CHINNAKAMPATTY,2W,T,,,,,,,,0°14'34''RT,,BAY,12,T 24,T  25,25-GANTRY CHINNAKAMPATTY,29,NIL,,253.19104,,10.63301641,77.80209174,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,TOTOL KM,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
