SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.No-19,S,,SA+0,24,T18-T19,253.5258051480311,1.45,22,8.203089583,77.45804496,GOOD,Available,,,PLAIN LAND,DC LINE : PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45804496 8.203089583, 77.4570284 8.205017286)"
20,T.No-20,T,"15°18'08""LT",SC+3,27,T19-T20,240.9525889568946,2.56,23,8.205017286,77.4570284,GOOD,Available,,,AGRI LAND,"Dcline    Agri  land ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4570284 8.205017286, 77.45515287 8.207081378)"
21,T.No-21,T,"13°23'18""RT",SC+3,27,T20-T21,308.08356115991035,2.7,21,8.207081378,77.45515287,GOOD,Available,11KV LINE,"SH 47B ROAD, )DA(NALA)",AGRI LAND,"DC LINE :  1 NO 11 KV LINE , SH 47 B   ROAD , ( NAGERKOVIL -. MADURAI ), ODAI( Nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45515287 8.207081378, 77.45391603 8.209325979)"
22,T.No-22,T,"27°52'09""RT",SC+3,27,T21-T22,283.3354232372499,2.43,20,8.209325979,77.45391603,GOOD,Available,11KV LINE,"POND,ODAI( NALA) ROAD",PLAIN LAND,"DC line : Theppa kulam , Road ( tirupathi sathealam - nagerkovil ) 1no11 kv Line , Odai( nala) ,  PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45391603 8.209325979, 77.45388586 8.21124567)"
23,T.No-23,T,"16°33'30""LT",SC+3,27,T22-T23,212.44537156880418,2.58,18,8.21124567,77.45388586,GOOD,Available,,,AGRI LAND,Dc line    Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45388586 8.21124567, 77.45318446 8.213468001)"
24,T.No-23A,T,"08°35'19""LT",SC+3,27,T23-T23A,257.77625785356213,2.49,19,8.213468001,77.45318446,GOOD,Available,,,WATER LOGGED AREA,Dc line   water Loggedarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45318446 8.213468001, 77.45237746 8.215113251)"
25,T.No-23B,T,"0°59'46""LT",SC+3,27,T23A-T23B,202.62487984697475,2.67,20,8.215113251,77.45237746,GOOD,Available,,,WATER LOGGED AREA,DC LINE      Water Logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45237746 8.215113251, 77.45130859 8.217245974)"
26,T.No-24,S,,SA+0,24,T23B-T24,263.7711095343217,1.78,21,8.217245974,77.45130859,GOOD,Available,11KV LINE-2NOS,ROAD,AGRI LAND,"11kv Line -2os,.Road.agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45130859 8.217245974, 77.45071147 8.218664899)"
27,T.No-25,T,"11°33'17""LT",SC+0,24,T24-T25,170.24759321941303,2.67,17,8.218664899,77.45071147,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45071147 8.218664899, 77.44941328 8.220402063)"
28,T.No-26(LILO 110kV SC LINE ( Meenatchipuram to Nagarkoil ),T,"98°11'44""RT",SC+0,24,T25-T26,239.6432103273882,2.49,17,8.220402063,77.44941328,GOOD,Available,,,AGRI LAND,110kV SC LINE ( Meenatchipuram to Nagarkoil LILO ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44941328 8.220402063, 77.45145578 8.221543196)"
29,T.No-27,S,,SA+0,24,T26-T27,258.152852833409,1.62,17,8.221543196,77.45145578,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45145578 8.221543196, 77.45368168 8.222708207)"
30,T.No-28,T,"0°26'10""RT",SC+3,27,T27-T28,277.1830011274913,2.8,21,8.222708207,77.45368168,GOOD,Available,11KV LINE,,AGRI LAND,"11kv Line,agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45368168 8.222708207, 77.4559277 8.223993331)"
31,T.No-29,S,,SA+0,24,T28-T29,285.52943653673555,1.78,22,8.223993331,77.4559277,GOOD,Available,,"ROAD,POND",AGRI LAND,Road.pond.agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4559277 8.223993331, 77.45791153 8.225084676)"
32,T.No-30,S,,SA+0,24,T29-T30,249.8218599902428,1.52,21,8.225084676,77.45791153,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45791153 8.225084676, 77.45995804 8.22615743)"
33,T.No-31,S,,SA+0,24,T30-T31,254.9286279804309,1.46,22,8.22615743,77.45995804,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45995804 8.22615743, 77.46174473 8.227185723)"
34,T.No-32,S,,SA+0,24,T31-T32,227.46674494964628,1.5,23,8.227185723,77.46174473,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46174473 8.227185723, 77.4637708 8.228278053)"
35,T.No-33,S,,SA+0,24,T32-T33,253.95970981640548,1.61,30,8.228278053,77.4637708,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4637708 8.228278053, 77.46576804 8.229352464)"
36,T.No-34,S,,SA+0,24,T33-T34,250.22066435845377,1.78,31,8.229352464,77.46576804,GOOD,Available,LT LINE,"ROAD,ODAI(NALA)",AGRI LAND,"Lt line,Road, Odai(nala),agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46576804 8.229352464, 77.46748332 8.230300449)"
37,T.No-35,T,"18°01'50""LT",SC+3,27,T34-T35,216.23713678508418,2.82,30,8.230300449,77.46748332,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46748332 8.230300449, 77.46905711 8.231967161)"
