S. No ,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV RAJA PALAYAM ,2W,GANTRY,GANTRY,20,,,,165,,9.4317881,77.57147259,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57147259 9.4317881, 77.57141016 9.43196024)"
2,T.NO-DP1,,DP,DP,20,GANTRY-DP1,20.24845673,DP,165,,9.43196024,77.57141016,GOOD,MISSING,NO,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57141016 9.43196024, 77.5716107 9.43200396)"
3,T.NO-DP2,,DP,DP,20,DP1-DP2,22.56102835,DP,165,,9.43200396,77.5716107,GOOD,MISSING,NO,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5716107 9.43200396, 77.57186636 9.43211956)"
4,T.NO-1,,SD,T,31,DP2-1,30.87069808,1.64,162,"33°59'39.46""",9.43211956,77.57186636,GOOD,MISSING,NO,11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57186636 9.43211956, 77.57288878 9.43377474)"
5,T.NO-2,,SB,T,24,01-Feb,214.8883431,3.41,163,"0°55'38.70""",9.43377474,77.57288878,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57288878 9.43377474, 77.57357992 9.43493536)"
6,T.NO-3,,SA,S,29,02-Mar,149.2179614,4.2,165,,9.43493536,77.57357992,GOOD,GOOD,NO,4nos LT,TAAR ROAD,INSIDE RESIDENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57357992 9.43493536, 77.5743175 9.43622213)"
7,T.NO-4,,SA,S,26,03-Apr,163.8566447,5.31,165,,9.43622213,77.5743175,GOOD,GOOD,NO,"LT,11KV","TAAR ROAD,MUDROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5743175 9.43622213, 77.57549706 9.43820145)"
8,T.NO-5,,SA,S,29,04-May,254.5270123,4.78,159,,9.43820145,77.57549706,GOOD,GOOD,NO,4nos LT,2nos MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57549706 9.43820145, 77.57658463 9.4400459)"
9,T.NO-6,,SA,S,29,05-Jun,236.5354096,3.5,164,,9.4400459,77.57658463,GOOD,GOOD,NO,3nos LT,"MUDROAD,TAAR ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57658463 9.4400459, 77.57775505 9.44201624)"
10,T.NO-7,,SA,S,29,06-Jul,253.1600284,4.87,161,,9.44201624,77.57775505,GOOD,GOOD,NO,3nosLT,2nos MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57775505 9.44201624, 77.57882464 9.44388791)"
11,T.NO-8,,SB,T,27,07-Aug,238.1596103,4.6,162,"0°50'54.95""",9.44388791,77.57882464,GOOD,GOOD,NO,2nos LT,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57882464 9.44388791, 77.57999516 9.44586727)"
12,T.NO-9,,SA,S,26,08-Sep,254.0255893,3.32,162,,9.44586727,77.57999516,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57999516 9.44586727, 77.58111972 9.4477837)"
13,T.NO-10,,SA,S,29,09-Oct,245.4648651,4.77,166,,9.4477837,77.58111972,GOOD,GOOD,NO,LT,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58111972 9.4477837, 77.58229014 9.44974498)"
14,T.NO-11,,SA,S,29,10-Nov,252.2954617,4.03,164,,9.44974498,77.58229014,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58229014 9.44974498, 77.58341473 9.4516614)"
