SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,18,,S,,GC,23.62,T17-T18,290.1806007,47.2,153,8.422573599,77.79831167,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79831167215856 8.422573599094848, 77.79835659958627 8.42513167758212)"
19,19,,T,"25°51'21""LT",HC,21.94,T18-T19,283.1820963,32.34,158,8.425131678,77.7983566,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79835659958627 8.42513167758212, 77.79737491435438 8.42740786139261)"
20,20,,T,"02°43'45""RT",HC+3,24.94,T19-T20,274.1833501,32.49,161,8.427407861,77.79737491,AVAILABLE,,ROAD,AGRI LAND,"DC LINE,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79737491435438 8.42740786139261, 77.7965048679407 8.429723497814138)"
21,21,2W,T,"70°10'14""RT",KC,24,T20-T21,273.650952,35.53,160,8.429723498,77.79650487,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7965048679407 8.429723497814138, 77.79682841211257 8.429997100269079)"
22,22,,DP,,DP,8,T21-T22,46.78273315,39.82,161,8.4299971,77.79682841,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79682841211257 8.429997100269079, 77.79685657716172 8.429945363206823)"
23,23,,DP,,DP,8,T22-T23,45,36.71,161,8.429945363,77.79685658,NOT AVAILABLE,400KV LINE,,AGRI LAND,"DC LINE,DP22 TO DP24 EARTHWIRE IS NOT AVAILABLE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79685657716172 8.429945363206823, 77.79710501882926 8.430267063017963)"
24,24,,DP,,DP,8,T23-T24,13,48.38,159,8.430267063,77.79710502,AVAILABLE,,,AGRI LAND,"DC LINE ,DP 22 TO DP 23 400KV LINE UNDER IN OUR LINE ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79710501882926 8.430267063017963, 77.79721833393701 8.430231900707344)"
25,25,,DP,,DP,8,T24-T25,50,34.6,158,8.430231901,77.79721833,NOT AVAILABLE,,,AGRI LAND,"DC LINE, 400 KV LINE UNDER IN OUR LINE , DP23 TO DP25 EARTHWIRE IS NOT AVAILABLE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79721833393701 8.430231900707344, 77.7975599869503 8.430515121287055)"
26,26,2W,T,"48°29'25""LT",KC,24,T25-T26,48.99543967,37.5,155,8.430515121,77.79755999,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7975599869503 8.430515121287055, 77.79763173056334 8.432880130068996)"
27,27,,T,"16°20'51""LT",HC+3,24.94,T26-T27,261.8884528,36.87,157,8.43288013,77.79763173,AVAILABLE,,ROAD,AGRI LAND,"DC LINE,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79763173056334 8.432880130068996, 77.79708992918512 8.435023597409147)"
