S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (Mtr),Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21, T23,,S,DA,26, T22- T23,182.3388725,3.24,FALSE,413.213715,,9.864555556,77.33275,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33274999999999 9.864555555555555, 77.33302777777777 9.866222222222222)"
22, T24,,T,DB,28, T23- T24,186.098533,1.38,FALSE,409.187988,"2°52'48"" R",9.866222222,77.33302778,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33302777777777 9.866222222222222, 77.33341666666666 9.868166666666667)"
23, T25,,S,DA,26, T24- T25,221.7844406,0.3,FALSE,406.330475,,9.868166667,77.33341667,Good,Available,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33341666666666 9.868166666666667, 77.33375 9.869916666666667)"
24, T26,,S,DA,26, T25- T26,197.3522242,0.32,FALSE,403.605865,,9.869916667,77.33375,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33375 9.869916666666667, 77.33408333333333 9.871694444444445)"
25, T27,,T,DC,28, T26- T27,199.2551718,0.58,FALSE,401.035675,"37°29'24"" L",9.871694444,77.33408333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33408333333333 9.871694444444445, 77.33319444444444 9.873444444444445)"
26, T28,,S,DA,26, T27- T28,216.5273467,1.07,FALSE,404.396606,,9.873444444,77.33319444,Good,Available,"LT, 11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33319444444444 9.873444444444445, 77.33227777777778 9.875277777777779)"
27, T29,,S,DA,26, T28- T29,227.9845329,0.67,FALSE,405.802063,,9.875277778,77.33227778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33227777777778 9.875277777777779, 77.33130555555555 9.87711111111111)"
28, T30,,T,DB,28, T29- T30,229.2872264,0.58,FALSE,404.454346,"32°1'12"" L",9.877111111,77.33130556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33130555555555 9.87711111111111, 77.33005555555555 9.87786111111111)"
29, T31,,T,DB,28, T30- T31,159.274994,0.56,FALSE,400.687042,"29°8'60"" L",9.877861111,77.33005556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33005555555555 9.87786111111111, 77.32741666666666 9.877944444444445)"
30, T32,,T,DB,28, T31- T32,288.9379759,0.39,FALSE,399.925507,"33°24'36"" R",9.877944444,77.32741667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32741666666666 9.877944444444445, 77.32619444444444 9.878805555555555)"
31, T33,,S,DA,26, T32- T33,163.3832638,0.38,FALSE,398.371094,,9.878805556,77.32619444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32619444444444 9.878805555555555, 77.32488888888888 9.879777777777779)"
32, T34,,T,DB,28, T33- T34,180.9191349,0.67,FALSE,397.438385,"15°13'12"" R",9.879777778,77.32488889,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32488888888888 9.879777777777779, 77.32316666666667 9.881972222222222)"
33, T35,2W,T,DB+6,34, T34- T35,308.0052968,2.38,FALSE,397.02298,"0°4'48"" R",9.881972222,77.32316667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32316666666667 9.881972222222222, 77.32244444444444 9.882916666666667)"
34, T36,,T,DB,28, T35- T36,131.7865311,4.11,FALSE,396.750305,"0°57'0"" R",9.882916667,77.32244444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32244444444444 9.882916666666667, 77.32063888888888 9.885305555555554)"
35, T37,,S,DA,26, T36- T37,329.2032599,0.38,FALSE,394.28009,,9.885305556,77.32063889,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32063888888888 9.885305555555554, 77.319 9.8875)"
36, T38,,S,DA,26, T37- T38,302.1814072,1.17,FALSE,395.04776,,9.8875,77.319,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.319 9.8875, 77.31752777777777 9.8895)"
