S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 1,T,DC,28,,,,24,,8.64164887927472,77.916654003784,GOOD,,,CANAL,Water Logged,Tower located inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.916654003784 8.64164887927472, 77.9188587795943 8.64253090694546)"
2,2,T,DC,28,LILO : 1 - 2,264.76938870353337,-,24,28°59'33''LT,8.64253090694546,77.9188587795943,GOOD,AVAILABLE,,CANAL,Water Logged,Tower located inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9188587795943 8.64253090694546, 77.9203520156443 8.64435891620814)"
3,3,S,DC,28,2 - 3,263.77934865551345,-,24,,8.64435891620814,77.9203520156443,GOOD,AVAILABLE,,CANAL,Water Logged,Tower located inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9203520156443 8.64435891620814, 77.9218939505517 8.64624543115496)"
4,4,S,DC,28,3 - 4,272.18855254720944,-,24,,8.64624543115496,77.9218939505517,GOOD,AVAILABLE,,CANAL,Water Logged,Tower located inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9218939505517 8.64624543115496, 77.9234559182077 8.64815424196422)"
5,5,S,DC,28,4 - 5,275.49562147819546,-,24,,8.64815424196422,77.9234559182077,GOOD,AVAILABLE,,CANAL,Water Logged,Tower located inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9234559182077 8.64815424196422, 77.9249515011906 8.64998535253107)"
6,6,T,DC,28,5 - 6,264.2083678790762,-,24,13°39'34''LT,8.64998535253107,77.9249515011906,GOOD,AVAILABLE,,CANAL,Water Logged,Tower located inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9249515011906 8.64998535253107, 77.9260167572647 8.6522133462131)"
7,7,S,DC,28,6 - 7,276.1261070235487,-,24,,8.6522133462131,77.9260167572647,GOOD,AVAILABLE,,CANAL,Water Logged,Tower located inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9260167572647 8.6522133462131, 77.927103890106 8.65448014810681)"
8,8,S,DC,28,7 - 8,281.04092784812076,-,24,,8.65448014810681,77.927103890106,GOOD,AVAILABLE,,CANAL,Water Logged,Tower located inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.927103890106 8.65448014810681, 77.9281671345233 8.65668433718383)"
9,9,S,DC,28,8 - 9,273.65296558129535,-,24,,8.65668433718383,77.9281671345233,GOOD,AVAILABLE,,CANAL,Water Logged,Tower located inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9281671345233 8.65668433718383, 77.9292408563196 8.65897485986352)"
10,10,S,DC,28,9 - 10,282.78522660919356,1.51,24,,8.65897485986352,77.9292408563196,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9292408563196 8.65897485986352, 77.9303072020411 8.66136697120964)"
11,11,S,DC,28,10 - 11,292.6850865090974,3.71,24,,8.66136697120964,77.9303072020411,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9303072020411 8.66136697120964, 77.9314980190247 8.66372999735176)"
12,12,T,DC,28,11 - 12,295.6291675678449,2.8,24.662094,65°54'56''RT,8.66372999735176,77.9314980190247,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9314980190247 8.66372999735176, 77.9339150246232 8.66362296044826)"
13,13,T,DC,28,12 - 13,269.51009651314286,1.25,26.3698429999999,24°51'33''LT,8.66362296044826,77.9339150246232,GOOD,AVAILABLE,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9339150246232 8.66362296044826, 77.9363916255533 8.66463423706591)"
14,14,T,DC,28,13 - 14,297.88668284009935,3.56,27.231102,11°54'36''RT,8.66463423706591,77.9363916255533,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9363916255533 8.66463423706591, 77.9389129858464 8.66509473882615)"
15,15,S,DC,28,14 - 15,285.38154416574946,4.27,29.988937,,8.66509473882615,77.9389129858464,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9389129858464 8.66509473882615, 77.9414299875497 8.66553797386586)"
16,16,S,DC,28,15 - 16,284.5702644536716,1.82,25.230286,,8.66553797386586,77.9414299875497,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9414299875497 8.66553797386586, 77.9439729731529 8.66602202877402)"
17,17,T,DC,28,16 - 17,288.20382746006163,2.37,32.2246019999999,30°42'18''RT,8.66602202877402,77.9439729731529,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9439729731529 8.66602202877402, 77.9464720375835 8.66512298583984)"
18,18,S,DC,28,17 - 18,295.72523776861465,3.78,37.603306,,8.66512298583984,77.9464720375835,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9464720375835 8.66512298583984, 77.9488310404121 8.66429401561617)"
19,19,T,DC,28,18 - 19,278.58715867719116,4.15,37.768734,12°32'36''RT,8.66429401561617,77.9488310404121,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9488310404121 8.66429401561617, 77.9500729870051 8.66352195851504)"
20,20,S,DC,28,19 - 20,164.31107809736844,2.7,32.484589,,8.66352195851504,77.9500729870051,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9500729870051 8.66352195851504, 77.9518180154263 8.6624240130186)"
21,21,T,DC,28,20 - 21,230.42935004633586,7.11,26.3874889999999,48°18'51''RT,8.6624240130186,77.9518180154263,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9518180154263 8.6624240130186, 77.9521650262176 8.66033398546278)"
22,22,T,DC,28,21 - 22,237.50206372219083,3.1,37.851612,12°30'17''RT,8.66033398546278,77.9521650262176,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9521650262176 8.66033398546278, 77.9521229490637 8.65919957868754)"
23,23,T,DC,28,22 - 23,128.66404253567,2.15,37.698624,56°9'25''LT,8.65919957868754,77.9521229490637,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9521229490637 8.65919957868754, 77.952268961817 8.6590929608792)"
24,GANTRY ( Srimoolakarai SS ),T,H-POLE,15,23 - GANTRY ,22.950297711488513,-,35.385399,,8.6590929608792,77.952268961817,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
