S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, LILO : 1,3W,T,DC,26,,,6.01,133.244034,,9.636610039,77.77594096,GOOD,,,,PLAIN,Common Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7759409602731 9.63661003857851, 77.7774679753929 9.63524999096989)"
2,2,,T,DC,26,LILO : 1 -2,225.3794915,4.62,138.807983,"28°50'54"" L",9.635249991,77.77746798,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7774679753929 9.63524999096989, 77.7800439856946 9.63465697132051)"
3,3,,T,DC,26,02-Mar,290.4680191,5.15,140.506714,"2°57'53"" L",9.634656971,77.78004399,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7800439856946 9.63465697132051, 77.7824490051716 9.63423200882971)"
4,4,,S,DA,26,03-Apr,268.3281901,8.23,140.357788,,9.634232009,77.78244901,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7824490051716 9.63423200882971, 77.7849700301885 9.63374895974993)"
5,5,,S,DA,26,04-May,282.0309942,4.79,137.170258,,9.63374896,77.78497003,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7849700301885 9.63374895974993, 77.7871919889003 9.63337797671556)"
6,6,,S,DA,26,05-Jun,247.4971686,6.03,137.048004,,9.633377977,77.78719199,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7871919889003 9.63337797671556, 77.7895889617502 9.63294002227485)"
7,7,,S,DA,26,06-Jul,267.71729,4.15,133.556091,,9.632940022,77.78958896,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7895889617502 9.63294002227485, 77.7917759679257 9.63253601454198)"
8,8,,T,DC,26,07-Aug,244.3559199,7.28,133.046463,"38°11'5"" R",9.632536015,77.79177597,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7917759679257 9.63253601454198, 77.7930680382996 9.63107496500015)"
9,9,,S,DA,26,08-Sep,215.1685638,5.86,130.124817,,9.631074965,77.79306804,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7930680382996 9.63107496500015, 77.7941239904612 9.63013099506497)"
10, X1,,T,DC,26,9- X1,156.1139882,5.07,126.719894,"22°20'27"" R",9.630130995,77.79412399,GOOD,Available,"LT ,110KV",,PLAIN,110kV Erichanatham - Parapathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7941239904612 9.63013099506497, 77.7944679837673 9.62941995821893)"
11,10,,T,DC,26, X1-10,87.30515842,3.19,127.280495,"26°38'42"" L",9.629419958,77.79446798,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7944679837673 9.62941995821893, 77.7946829795837 9.62925500236451)"
12,Gantry (Erichanatham SS),2W,Gantry,H-POLE,12,10- ARI SS,29.8515871,,126.183769,,9.629255002,77.79468298,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
