SL.NO,TOWER NO,Joint Box,TOWER S/T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,,2W,,,,,,,,,8.609742336,77.57132523,,,,,KARISALPATTI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57132522896889 8.609742336044444, 77.57108196586529 8.609779988604569)"
2,1,,T ,"98°36'43""RT",KCR,24,Gantry (Karisalpatty)- T1,65,2.58,335,8.609779989,77.57108197,AVAILABLE,,,PLAIN LAND,"DC LINE ,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57108196586529 8.609779988604569, 77.57172401591994 8.611812713691814)"
3,2,,s,,GC,23.62,T1-T2,235.8053624,2.71,338,8.611812714,77.57172402,AVAILABLE,11KV LINE,,PLAIN LAND,"DC LINE , 11kv LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57172401591994 8.611812713691814, 77.57236707533127 8.613887186418495)"
4,3,,T,"36°39'18""RT",KCR,27,T2-T3,240.249499,2.97,351,8.613887186,77.57236708,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC LINE,11kv LINE,road,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57236707533127 8.613887186418495, 77.57389627774053 8.614973458771411)"
5,4,,S,,GC,26.62,T3-T4,230,1.54,331,8.614973459,77.57389628,AVAILABLE,"11KV LINE,LT LINE",ROAD,PLAIN LAND," DC LINE ,11kv LINE, LT LINE , road ,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57389627774053 8.614973458771411, 77.57585596147169 8.616428332912882)"
6,5,,T,"47°31'12""RT",KCR,24,T4-T5,269.2729326,2.83,315,8.616428333,77.57585596,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57585596147169 8.616428332912882, 77.57846441005873 8.61596750293212)"
7,6,,S,,GC,23.62,T5-T6,291.7769048,1.42,309,8.615967503,77.57846441,AVAILABLE,LT LINE,"RIVER,ROAD",AGRI LAND,"DC LINE ,ROAD ,LT LINE, RIVER , AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57846441005873 8.61596750293212, 77.58017968206147 8.615575310407543)"
8,7,,S,,GC,23.62,T6-T7,290,1.67,302,8.61557531,77.58017968,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"DC LINE,11kv LINE, CART TRACK, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58017968206147 8.615575310407543, 77.5826054059472 8.615083318281794)"
9,8,,T,"02°28'10""RT",HC,24.94,T7-T8,272.6537527,2.89,305,8.615083318,77.58260541,AVAILABLE,LT LINE,ROAD,WATER LOGGED AREA,"DC LINE , LT LINE, ROAD, WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5826054059472 8.615083318281794, 77.58556857705915 8.61436854973487)"
10,9,,S,,GC,23.62,T8-T9,335.8051614,1.46,300,8.61436855,77.58556858,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE,LT LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58556857705915 8.61436854973487, 77.5884170839139 8.613656768508404)"
11,10,,S,,GC,23.62,T9-T10,323.4659435,1.63,287,8.613656769,77.58841708,AVAILABLE,,,PLAIN LAND," DC LINE  ,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5884170839139 8.613656768508404, 77.59116165035879 8.613025210541283)"
12,11,,S,,GC,26.62,T10-T11,310.2568056,1.88,293,8.613025211,77.59116165,AVAILABLE,"11KV LINE-2NOS,LT LINE",ROAD-2NOS,PLAIN LAND," DC LINE ,ROAD 2NOS,  11kv LINE -2NOS, LT LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59116165035879 8.613025210541283, 77.59370304230995 8.612371779286192)"
13,12,2W,T,"34°44'52""LT",KCR,24,T11-T12,289.0955872,2.76,302,8.612371779,77.59370304,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59370304230995 8.612371779286192, 77.59642347311735 8.613383437282923)"
14,13,,S,,GC,23.62,T12-T13,319.86272,1.42,287,8.613383437,77.59642347,AVAILABLE,LT LINE,,"WATER LOGGED AREA,AGRI LAND","DC LINE ,LT LINE, WATER LOGGED AREA,  AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59642347311735 8.613383437282923, 77.59924448819525 8.614410997251253)"
15,14,,S,,GC,23.62,T13-T14,330.8637023,1.53,288,8.614410997,77.59924449,AVAILABLE,LT LINE,,WATER LOGGED AREA,"DC LINE,  WATER LOGGED AREA ,LT LINE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59924448819525 8.614410997251253, 77.60191999160011 8.615503208794829)"
16,15,,T,"25°43'32""LT",HC,21.94,T14-T15,318.5074174,2.94,277,8.615503209,77.60191999,AVAILABLE,,,WATER LOGGED AREA," DC LINE,  WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60191999160011 8.615503208794829, 77.60346595096101 8.617056541874641)"
17,16,,S,,GC,23.62,T15-T16,241.9592098,1.62,280,8.617056542,77.60346595,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60346595096101 8.617056541874641, 77.60522414335811 8.61890024606669)"
18,17,,S,,GC,23.62,T16-T17,281.3040538,1.37,282,8.618900246,77.60522414,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60522414335811 8.61890024606669, 77.60663900376164 8.620483077761127)"
19,18,,T,"16°30'00""RT",HC,21.94,T17-T18,234.4534512,2.69,264,8.620483078,77.606639,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60663900376164 8.620483077761127, 77.60802402739225 8.621284577007726)"
20,19,3W,T(LILO),,KCR,24,T18-T19 LILO,210,2.34,263,8.621284577,77.60802403,AVAILABLE,,,WATER LOGGED AREA,"DC LINE ,lilo ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
