S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T/OFF - 19,3W,T,DC,26,,,6.5,44,,8.215010008,77.31893999,GOOD,,,,PLAIN,COMMON TOWER FOR 110KV NAGERCOIL - CHERAMANGALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3189399857074 8.21501000784337, 77.3162700142711 8.21425999514758)"
2,TN - 20,,T,SC,23,TN - 23 : TN - 24,307.7852247,5.2,46,47°54'17''RT,8.214259995,77.31627001,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3162700142711 8.21425999514758, 77.3144499678164 8.21540001779794)"
3,TN - 21,,S,SC,23,TN - 24 : TN - 25,238.9795486,6.8,48,,8.215400018,77.31444997,GOOD,AVAILABLE,LT,"POND, ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3144499678164 8.21540001779794, 77.312479969114 8.21665998548269)"
4,TN - 22,,T,SC,23,TN - 25 : TN - 26,260.0470196,2.6,46,5°51'22''LT,8.216659985,77.31247997,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.312479969114 8.21665998548269, 77.310421038419 8.21769808419048)"
5,TN - 23,,T,SC,23,TN - 26 : LILO - 27,256.3613361,3.5,54,25°22'1''LT,8.217698084,77.31042104,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.310421038419 8.21769808419048, 77.3083999939262 8.21774996817112)"
6,TN - 24,,T,SC,23,LILO - 27 : TN - 28,224.8500621,3.8,51,26°4'21''LT,8.217749968,77.30839999,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3083999939262 8.21774996817112, 77.3060099780559 8.21665998548269)"
7,TN - 25,,T,SC,23,TN - 28 : TN - 29,291.7378139,4.6,52,34°28'3''RT,8.216659985,77.30600998,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3060099780559 8.21665998548269, 77.3045100364834 8.21691999211907)"
8,TN - 26,,T,SC,23,TN - 29 : TN - 30,169.8197984,4.7,55,21°57'9''LT,8.216919992,77.30451004,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3045100364834 8.21691999211907, 77.3035895358771 8.21672368794679)"
9,LILO - 27,3W,T,DC+9,35,TN - 30 : TN - 31,105.7635288,5.6,70,31°50'34''RT,8.216723688,77.30358954,GOOD,AVAILABLE,,,PLAIN,LILO TO RAILWAY EHT SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3035895358771 8.21672368794679, 77.3026705440133 8.21705259382724)"
10,TN - 28,,T,SC,23,TN - 31 : TN - 32,109.6367467,3.8,71,32°17'14''LT,8.217052594,77.30267054,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3026705440133 8.21705259382724, 77.3012540023773 8.2167390268296)"
11,TN - 29,,T,SC,23,TN - 32 : TN - 33,161.9501866,4.9,84,15°53'8''RT,8.216739027,77.301254,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3012540023773 8.2167390268296, 77.2999807912856 8.21681345812976)"
12,TN - 30,,T,SC,23,TN - 33 : TN - 34,142.5846611,5.3,82,62°14'3''LT,8.216813458,77.29998079,GOOD,AVAILABLE,"11KV, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2999807912856 8.21681345812976, 77.2992274258285 8.21557042188942)"
13,TN - 31,,T,SC+18,44,TN - 34 : TN - 35,162.6565311,4.9,64,23°5'12''LT,8.215570422,77.29922743,GOOD,AVAILABLE,"11KV, LT","ROAD, POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2992274258285 8.21557042188942, 77.2990720253437 8.21447398513555)"
