SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,Gantry (Velayuthapuram),2W,,,,,,,,75,9.368565709,78.10310584,,,,,pay VELAYUTHAPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10310584 9.368565709, 78.10350381 9.368527005)"
1,1,,T,"41°13'2""LT",KC,24,Gantry (Velayuthapuram)-T1,43.96098226,2.78,75,9.368527005,78.10350381,AVAILABLE,LT  LINE,,PLAIN LAND," SC LINE,plaIn land lt  LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10350381 9.368527005, 78.10521204 9.366719817)"
2,2,,T,"18°59'52""LT",HC,21.94,T1-T2,274.3903061,2.43,76,9.366719817,78.10521204,AVAILABLE,,ODAI(NALA),AGRI LAND," SC LINE, agri land odai(nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10521204 9.366719817, 78.10624938 9.364426664)"
3,3,,T,"44°12'44""RT",KC,23.62,T2-T3,278.2886452,2.52,75,9.364426664,78.10624938,AVAILABLE,,,AGRI LAND," SC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10624938 9.364426664, 78.10903888 9.363330033)"
4,4,,T,"0°58'50""LT",HC,21.94,T3-T4,329.8276077,2.76,75,9.363330033,78.10903888,AVAILABLE,,CART TRACK,AGRI LAND," SC LINE, agri land cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10903888 9.363330033, 78.11123796 9.362421961)"
5,5,,T,"25°40'48""RT",HC,21.94,T4-T5,261.8293562,2.65,75,9.362421961,78.11123796,AVAILABLE,,,AGRI LAND," SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11123796 9.362421961, 78.11348062 9.362542707)"
6,6,,T,"12°4'56""RT",HC+3,24.94,T5-T6,246.9186302,2.63,78,9.362542707,78.11348062,AVAILABLE,,ROAD,PLAIN LAND," SC LINE, road , PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11348062 9.362542707, 78.11585538 9.363182823)"
7,7,,T,"11°21'43""LT",HC,21.94,T6-T7,270.523815,2.7,77,9.363182823,78.11585538,AVAILABLE,,,AGRI LAND," SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11585538 9.363182823, 78.11622854 9.36322252)"
8,8,,DP,,,,T7-T8,41.25904561,2.36,77,9.36322252,78.11622854,AVAILABLE,230KV LINE,,AGRI LAND,"Dp 230 overhead crossing,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11622854 9.36322252, 78.11671436 9.363275781)"
9,8A,,DP,,,,T8-T8A,53.73491056,2.58,77,9.363275781,78.11671436,AVAILABLE,230KV LINE,,AGRI LAND," dp 230kv over head crossing, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11671436 9.363275781, 78.11716162 9.363269495)"
