S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,66,S,DA,26,67-66,272.0614560406099,7.01,"=IF(H25>15,0)",183.166869999999,,10.04288888888889,78.15877777777779,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15877777777779 10.04288888888889, 78.15625 10.043166666666666)"
21,65,T,DC,26,66-65,279.2919226086802,8.64,"=IF(H26>15,0)",183.013077,"55°49'12""R",10.043166666666666,78.15625,GOOD,Available,3-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15625 10.043166666666666, 78.15494444444445 10.041611111111111)"
22,64,S,DA+3,29,65-64,222.82253706683977,7.67,"=IF(H27>15,0)",182.086257999999,,10.041611111111111,78.15494444444445,GOOD,Available,"LT, 230 KV KKDI - Sempatti",V.Meenakshipuram Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15494444444445 10.041611111111111, 78.15325 10.039638888888888)"
23,63,S,DA,26,64-63,289,2.3,"=IF(H28>15,0)",178.034195,,10.039638888888888,78.15325,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15325 10.039638888888888, 78.15166666666667 10.037749999999999)"
24,62,S,DA,26,63-62,271.61401957379667,1.4,"=IF(H29>15,0)",177.496154999999,,10.037749999999999,78.15166666666667,GOOD,Available,LT,Chinnapatti Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15166666666667 10.037749999999999, 78.15008333333334 10.03588888888889)"
25,61,T,DB+3,28,62-61,270.90463210189404,3.67,"=IF(H30>15,0)",177.543670999999,"1°15'36""L",10.03588888888889,78.15008333333334,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15008333333334 10.03588888888889, 78.14855555555556 10.034166666666666)"
26,60,S,DA,26,61-60,252.2230016913316,3.72,"=IF(H31>15,0)",175.617843999999,,10.034166666666666,78.14855555555556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14855555555556 10.034166666666666, 78.14680555555556 10.032111111111112)"
27,59,T,DB,25,60-59,296.8872744246792,4.01,"=IF(H32>15,0)",176.197372,"16°25'48""L",10.032111111111112,78.14680555555556,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14680555555556 10.032111111111112, 78.1448888888889 10.03088888888889)"
28,58,S,DA,26,59-58,250.37054732356782,1.1,"=IF(H33>15,0)",175.839523,,10.03088888888889,78.1448888888889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1448888888889 10.03088888888889, 78.14308333333334 10.029694444444445)"
29,57,S,DA,26,58-57,238.92096322909362,2.36,"=IF(H34>15,0)",174.745407,,10.029694444444445,78.14308333333334,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14308333333334 10.029694444444445, 78.14113888888889 10.02838888888889)"
30,56,S,DA,26,57-56,256.2100977278611,7.17,"=IF(H35>15,0)",177.215317,,10.02838888888889,78.14113888888889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14113888888889 10.02838888888889, 78.13925 10.027166666666668)"
31,55,T,DB,25,56-55,250,3.16,"=IF(H36>15,0)",173.28511,"13°47'60""R",10.027166666666668,78.13925,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13925 10.027166666666668, 78.13813888888889 10.025972222222222)"
32,54,S,DA,26,55-54,180.21139325365542,4.05,"=IF(H37>15,0)",172.896835,,10.025972222222222,78.13813888888889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13813888888889 10.025972222222222, 78.13669444444444 10.024555555555557)"
33,53,S,DA,26,54-53,222.40817539524642,1.07,"=IF(H38>15,0)",171.264664,,10.024555555555557,78.13669444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13669444444444 10.024555555555557, 78.13527777777779 10.023111111111112)"
34,52,T,DB,25,53-52,223.84165719521943,1.67,"=IF(H39>15,0)",171.816726999999,"16°22'48""R",10.023111111111112,78.13527777777779,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13527777777779 10.023111111111112, 78.13438888888889 10.021472222222224)"
35,51,S,DA,26,52-51,208,3.35,"=IF(H40>15,0)",170.31102,,10.021472222222224,78.13438888888889,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13438888888889 10.021472222222224, 78.13388888888889 10.020666666666667)"
