SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,PAZHAVOOR,2W,,,,,,,,56,8.222995834,77.57313252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57313252 8.222995834, 77.57296555 8.223038312)"
1,1,,T,"02°38'25""LT",HC,21.94,PAZHAVOOR GANTRY - T1,18.99880438,2.78,56,8.223038312,77.57296555,GOOD,AVAILABLE,"11 kv Line-2Nos,  LT Line-2Nos",,plain Land,"DC TWR,11 kv Line-2Nos,  LT Line-2Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57296555 8.223038312, 77.57061828 8.22352847)"
2,2,,S,,GC,23.62,T1-T2,264.4034185,1.56,58,8.22352847,77.57061828,GOOD,AVAILABLE,,cart track,plain Land, DC TWRcart track ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57061828 8.22352847, 77.56871793 8.223907796)"
3,3,,S,,GC,23.62,T2-T3,213.6719079,1.48,61,8.223907796,77.56871793,GOOD,AVAILABLE,LT LINE,Odai(NALA)POND,plain Land," DC TWR,Odai(nala), pond , LT Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56871793 8.223907796, 77.56720785 8.224239321)"
4,4,,S,,GC,23.62,T3-T4,170.4767417,1.35,65,8.224239321,77.56720785,GOOD,AVAILABLE,33KV LINE,CART TRACK,plain Land," DC TWR, 33KV Line, cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56720785 8.224239321, 77.56558679 8.224558575)"
5,5,,T,"32°21'52""LT",KC( LILO),24,T4-T5,182.1749918,2.62,68,8.224558575,77.56558679,GOOD,AVAILABLE,"33KV LINE,11KV LINE",,plain Land,"DC TWR, 33kv Line, 11kv Line,(LILO on pazhavur to Kannanallur )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56558679 8.224558575, 77.56439622 8.224137844)"
6,6,,S,,PA,20.9,T5-T6,139.2701031,1.42,67,8.224137844,77.56439622,GOOD,AVAILABLE,,CART TRACK,plain Land," SC LINE,  cart track ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56439622 8.224137844, 77.56267693 8.223464266)"
7,7,,T,"14°23'00""LT",PB,20.85,T6-T7,203.6784817,2.8,70,8.223464266,77.56267693,GOOD,AVAILABLE,LT LINE,,plain Land,"Sc Line, Lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56267693 8.223464266, 77.56138947 8.222518587)"
8,8,,S,,PA,20.9,T7-T8,176.3490753,2.57,73,8.222518587,77.56138947,GOOD,AVAILABLE,LT LINE-2Nos,,plain Land,"Sc Line, Lt line-2Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56138947 8.222518587, 77.56001484 8.221602765)"
9,9,,T,"32°55'07""LT",PC,21.65,T8-T9,182.3155915,2.56,77,8.221602765,77.56001484,GOOD,AVAILABLE,11KV LINE,ODAI(NALA),plain Land,"Odai (nala ),11kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56001484 8.221602765, 77.5590251 8.219164156)"
