SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,TTPS,2W,,,,,,,,,8.76399474,78.17783352,AVAILABLE,,,,"TTPS GANTRY, Shed, Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17783352 8.76399474, 78.17781407 8.76611743)"
1,1,,T,"15°10'14""LT",LSR,33.3,TTPS GANTRY -T1,240,55.12,1,8.76611743,78.17781407,AVAILABLE,22KV line,,,22Kv line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17781407 8.76611743, 78.17701176 8.767309)"
2,2,,T,"24°29'23""LT",KSR,33.52,T1-T2,165,58.21,1,8.767309,78.17701176,AVAILABLE,,ROAD,,"Road , compound wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17701176 8.767309, 78.17455586 8.76810857)"
3,3,,S,,GR,34.07,T2-T3,288,39.58,1,8.76810857,78.17455586,AVAILABLE,,,sea source area,sea source area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17455586 8.76810857, 78.17221329 8.76882828)"
4,4,,T,"38°21'15""LT",LSR+3,36.3,T3-T4,275,50.14,1,8.76882828,78.17221329,AVAILABLE,,,sea source area,sea source area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17221329 8.76882828, 78.16938523 8.7685347)"
5,5,,T,"13°27'39""LT",KSR,33.52,T4-T5,315,45.87,1,8.7685347,78.16938523,AVAILABLE,,ROAD,,"Road, compound wall, GLR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16938523 8.7685347, 78.16684113 8.76741471)"
6,6,,S,,GR,34.07,T5-T6,310,43.68,1,8.76741471,78.16684113,AVAILABLE,,,,Sea back water Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16684113 8.76741471, 78.16429507 8.766293386)"
7,7,,S,,GR,34.07,T6-T7,305,45.54,1,8.766293386,78.16429507,AVAILABLE,,,SALT PAN AREA,"uppalam, compound wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16429507 8.766293386, 78.16232197 8.765441791)"
8,8,2W,T,"17°27'39""RT",KS,33.52,T7-T8,236.837108,35.12,1,8.765441791,78.16232197,AVAILABLE,,,SALT PAN AREA,uppalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16232197 8.765441791, 78.15960255 8.765132301)"
9,9,,S,,GR,34.07,T8-T9,301.4077621,32.15,1,8.765132301,78.15960255,AVAILABLE,LT LINE,,SALT PAN AREA,"lt line, uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15960255 8.765132301, 78.15720331 8.76489339)"
