S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC/SC),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 38,3W,Gantry,H-POLE,12,,,,98.242538,,8.264117986,77.55436703,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5543670263141 8.26411798596382, 77.5550410151481 8.26372403651475)"
2,1,,T,DC,26,LILO : 38 - 1,87.64294994,3.03,100.235344,26°10'46''RT,8.263724037,77.55504102,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5550410151481 8.26372403651475, 77.5571899674832 8.26356897130608)"
3,2,,T,DC,26,01-Feb,239.0112139,5.28,102.321213,2°1'5''RT,8.263568971,77.55718997,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5571899674832 8.26356897130608, 77.5595249980688 8.26348297297954)"
4,3,,S,DC,26,02-Mar,259.0793119,1.94,104.830368,,8.263482973,77.559525,GOOD,Available,"HT-2, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5595249980688 8.26348297297954, 77.562121041119 8.26334500685334)"
5,4,,S,DC,26,03-Apr,288.0839047,4.68,98.046867,,8.263345007,77.56212104,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.562121041119 8.26334500685334, 77.5649390369653 8.26323201879859)"
6,5,,T,DC,26,04-May,312.3963551,3.74,95.882523,4°8'21''LT,8.263232019,77.56493904,GOOD,Available,"HT,LT",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5649390369653 8.26323201879859, 77.5674130395054 8.262952985242)"
7,6,2W,S,DC,26,05-Jun,275.9675398,4.08,94.157364,,8.262952985,77.56741304,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5674130395054 8.262952985242, 77.5702679995447 8.26269197277724)"
8,7,,S,DC,26,06-Jul,317.5439556,3.19,90.46077,,8.262691973,77.570268,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5702679995447 8.26269197277724, 77.5729549862444 8.26243900693953)"
9,8,2W,T,DC,26,07-Aug,299.0251666,3.1,91.201836,6°51'8''LT,8.262439007,77.57295499,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5729549862444 8.26243900693953, 77.573361005634 8.26235099695622)"
10,9,,T,H-POLE,15,08-Sep,47.30581882,4.56,91.285599,21°14'15''LT,8.262350997,77.57336101,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.573361005634 8.26235099695622, 77.5734760053455 8.26227497309446)"
11,10,,T,H-POLE,15,09-Oct,16.71484806,2.89,90.971199,12°12'29''RT,8.262274973,77.57347601,GOOD,NO E/W,230KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5734760053455 8.26227497309446, 77.5736970361322 8.26218897476792)"
12,11,,T,DC,26,10-Nov,27.65842918,5.36,89.819214,1°51'15''LT,8.262188975,77.57369704,GOOD,NO E/W,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5736970361322 8.26218897476792, 77.5751730054616 8.26155899092555)"
13,12,,S,DC,26,11-Dec,178.513816,7.22,91.536064,,8.261558991,77.57517301,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5751730054616 8.26155899092555, 77.577148033306 8.26075198128819)"
14,13,,S,DC,26,Dec-13,236.8269138,3.18,91.246002,,8.260751981,77.57714803,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.577148033306 8.26075198128819, 77.5789590273052 8.25998403131961)"
15,14,,S,DC,26,13 - 14,218.4761227,6.01,87.633102,,8.259984031,77.57895903,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5789590273052 8.25998403131961, 77.5805820152163 8.25930400751531)"
16,15,,T,DC,26,14 - 15,195.5978474,3.84,85.277008,24°40'45''LT,8.259304008,77.58058202,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5805820152163 8.25930400751531, 77.5818559806793 8.25791797600686)"
17,16,,S,DC,26,15 - 16,209.4662966,3.65,78.829735,,8.257917976,77.58185598,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5818559806793 8.25791797600686, 77.5832253322005 8.25641627423465)"
18,17,,S,DC,26,16 - 17,226.010509,4.85,77.79689,,8.256416274,77.58322533,GOOD,Available,HT -3,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5832253322005 8.25641627423465, 77.5843979604542 8.25507600791752)"
19,18,,T,DC,26,17 - 18,198.2469945,3.19,72.650452,38°32'24''LT,8.255076008,77.58439796,GOOD,Available,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5843979604542 8.25507600791752, 77.584429308772 8.25439707376062)"
