SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,karungal,2W,,,,,,,,75,8.247811468,77.24276552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24276552 8.247811468, 77.24307362 8.247802427)"
1,T.No-1,,T,"10°12'07""LT",SD+0,22,Gantry VEEYANUR - T1,33.97163412,2.78,79,8.247802427,77.24307362,GOOD,AVAILABLE,,,Plain Land,Sc Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24307362 8.247802427, 77.24456191 8.248024388)"
2,T.No-2,,T,"49°44'09""RT",SC+3,27,T1-T2,165.860005,2.52,87,8.248024388,77.24456191,GOOD,AVAILABLE,,,Plain Land,Sc lIne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24456191 8.248024388, 77.2457907 8.246951964)"
3,T.No-3,,T,"63°11'33""RT",SC+3,27,T2-T3,180.0520999,2.34,93,8.246951964,77.2457907,GOOD,AVAILABLE,Lt Line,Road,Plain Land,"Road , LTLine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2457907 8.246951964, 77.24516306 8.244519144)"
4,T.No-4,,T,"40°28'55""LT",SC+0,24,T3-T4,277.9071475,2.76,99,8.244519144,77.24516306,GOOD,AVAILABLE,Lt Line-2Nos,"Pond,Road",Plain Land,"Pond, 2Nos Lt Line, Road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24516306 8.244519144, 77.24636871 8.242064053)"
5,T.No-5,,T,"13°40'30""LT",SB+0,22,T4-T5,302.3835289,2.59,51,8.242064053,77.24636871,GOOD,AVAILABLE,Lt Line,,Plain Land,Lt Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24636871 8.242064053, 77.24811048 8.239977251)"
6,T.No-6,,T,"20°53'37""LT",SC+3,27,T5-T6,300.2605927,2.9,51,8.239977251,77.24811048,GOOD,AVAILABLE,"11KV Line, LT Line","Pond,Road",Agri Land,"coconut gradan,Pond, 11kv Line,Lt Line,Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24811048 8.239977251, 77.25074373 8.238501302)"
7,T.No-7,,T,"06°10'46""RT",SB+0,22,T6-T7,333.0135268,2.43,43,8.238501302,77.25074373,GOOD,AVAILABLE,,,Plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25074373 8.238501302, 77.25275874 8.237067164)"
8,T.No-8,,T,"08°39'17""LT",SB+0,22,T7-T8,272.9451668,2.63,43,8.237067164,77.25275874,GOOD,AVAILABLE,,"Odai(Nala), Pond",Agri Land,"banana gradan odai(Nala),Pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25275874 8.237067164, 77.25523643 8.235828116)"
9,T.No-9,,S,,SA+0,24,T8-T9,305.5625582,1.51,37,8.235828116,77.25523643,GOOD,AVAILABLE,,Road,Agri Land,"Road, Banana gradan ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25523643 8.235828116, 77.25723065 8.234808078)"
10,T.No-10,,T,"04°18'20""LT",SB+2,24,T9-T10,247.0792547,2.8,36,8.234808078,77.25723065,GOOD,AVAILABLE,Lt Line,,Plain Land,Lt Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25723065 8.234808078, 77.25924231 8.23397452)"
