,Tower No,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV THENKASI,GANTRTY,GANTRTY,20,,,,156,,8.9631394,77.29838401,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29838401 8.9631394, 77.29802974 8.96317775)"
2,T.NO-1,DD,T,28,GANTRY-1,39.20459156782532,5.12,159,"102°41'55.63""",8.96317775,77.29802974,GOOD,MISSING,YES,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29802974 8.96317775, 77.29808143 8.96272553)"
3,T.NO-2,DC,T,29,1-2,50.35871324805669,6.78,155,"17°16'26.64""",8.96272553,77.29808143,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29808143 8.96272553, 77.29877157 8.96116668)"
4,T.NO-3,DB,T,30,2-3,188.4489320744482,1.12,154,"1°48'38.29""",8.96116668,77.29877157,GOOD,GOOD,NO,"2nos LT,11KV","TAAR ROAD,CANAL",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29877157 8.96116668, 77.29948765 8.95939979)"
5,T.NO-4,DA,S,32,3-4,210.77238908357992,1.06,153,,8.95939979,77.29948765,GOOD,GOOD,NO,"2nos 11KV,2nos LT",RIVER CROSSING,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29948765 8.95939979, 77.30032031 8.95737911)"
6,T.NO-5,DC,T,26,4-5,241.61539686038222,2.76,154,"23°49'25.97""",8.95737911,77.30032031,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30032031 8.95737911, 77.30231716 8.95546868)"
7,T.NO-6,DA,S,26,5-6,304.8622639816217,3.41,158,,8.95546868,77.30231716,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30231716 8.95546868, 77.30445771 8.95328621)"
8,T.NO-7,DA,S,26,6-7,337.2966053787082,6.19,152,,8.95328621,77.30445771,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30445771 8.95328621, 77.30623745 8.95154884)"
9,T.NO-8,DA,S,26,7-8,274.3902330623304,7.71,153,,8.95154884,77.30623745,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30623745 8.95154884, 77.30804439 8.94980227)"
10,T.NO-9,DA,S,26,8-9,277.2435752186153,6.37,152,,8.94980227,77.30804439,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30804439 8.94980227, 77.3098421 8.94803767)"
