SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,17,,S,,GC,23.62,T16-T17,264.7271157,1.71,91,9.184296992,77.90445808,GOOD,AVAILABLE,,,AGRI LAND,DC line :  agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9044580832123 9.18429699230708, 77.9054652526974 9.18189408458882)"
18,18,,T,"18°39'53""RT",HC,21.94,T17-T18,288.1454119,2.49,92,9.181894085,77.90546525,GOOD,AVAILABLE,,,AGRI LAND,"DC line  , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9054652526974 9.18189408458882, 77.9055943340063 9.17942959785132)"
19,19,,S,,GC+3,26.62,T18-T19,273.1821377,1.53,94,9.179429598,77.90559433,GOOD,AVAILABLE,,"ODAI BUND-2NOS, POND, CART TRACK",AGRI LAND,"DC line   2nos odai bund , pond , cart track , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9055943340063 9.17942959785132, 77.9057492315769 9.17707134007163)"
20,20,,S,,GC+3,26.62,T19-T20,261.6099837,1.82,95,9.17707134,77.90574923,GOOD,AVAILABLE,,ROAD,AGRI LAND,"DC line   Road , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9057492315769 9.17707134007163, 77.9059078171849 9.17469188345171)"
21,21,,S,,GC,23.62,T20-T21,263.9777824,1.71,97,9.174691883,77.90590782,GOOD,AVAILABLE,,ODAI(NALA),AGRI LAND,"DC line   odai( nala) ,  agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9059078171849 9.17469188345171, 77.9060536623001 9.17229255152568)"
22,22,,S,,GC,23.62,T21-T22,266.0846149,1.38,96,9.172292552,77.90605366,GOOD,AVAILABLE,,,AGRI LAND,DC line    agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9060536623001 9.17229255152568, 77.9061834141612 9.16988128768739)"
23,23,,S,,GC+3,26.62,T22-T23,267.3035417,1.47,99,9.169881288,77.90618341,GOOD,AVAILABLE,LT LINE,ROAD SH 44,AGRI LAND,"DC line    Road  SH 44 ( kovil patti - yettayapuram) LT line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9061834141612 9.16988128768739, 77.906315177679 9.16788772115116)"
24,24,2W,T,"17°04'44""RT",HC+3,24.94,T23-T24,221.1589436,2.56,101,9.167887721,77.90631518,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC line   11kv line  , agri pand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.906315177679 9.16788772115116, 77.9058773070573 9.16581900753048)"
25,25,,S,,GC,23.62,T24-T25,234.0126352,1.84,101,9.165819008,77.90587731,GOOD,AVAILABLE,,,AGRI LAND,DC line  agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9058773070573 9.16581900753048, 77.9052805155515 9.16326702580454)"
26,26,,S,,GC,23.62,T25-T26,290.0271646,1.58,99,9.163267026,77.90528052,GOOD,AVAILABLE,,CART TRACK,AGRI LAND,"DC line    cart track , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9052805155515 9.16326702580454, 77.9047722369432 9.16084212968207)"
27,27,,S,,GC,23.62,T26-T27,274.1911472,1.36,100,9.16084213,77.90477224,GOOD,AVAILABLE,,,AGRI LAND,DC line   agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9047722369432 9.16084212968207, 77.9041670635342 9.15819842459354)"
28,28,,S,,GC,23.62,T27-T28,300.1281773,1.84,99,9.158198425,77.90416706,GOOD,AVAILABLE,,,AGRI LAND,DC line    agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9041670635342 9.15819842459354, 77.9035789892077 9.15563844401977)"
29,29,,S,,GC+3,26.62,T28-T29,290.6742442,1.9,98,9.155638444,77.90357899,GOOD,AVAILABLE,"11KV LINE,33KV LINE",ROAD,AGRI LAND,"DC line   road ,11kv line , 33kv line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9035789892077 9.15563844401977, 77.9030462354421 9.15325619573177)"
30,30,,S,,GC,23.62,T29-T30,270.142393,1.53,99,9.153256196,77.90304624,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"DC line   cart track , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9030462354421 9.15325619573177, 77.9024232923984 9.15082196305742)"
31,31,,S,,GC,23.62,T30-T31,278.0411983,1.49,100,9.150821963,77.90242329,GOOD,AVAILABLE,,,AGRI LAND,DC line   agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9024232923984 9.15082196305742, 77.9018033668399 9.14847510071639)"
32,32,,S,,GC,23.62,T31-T32,268.5935235,1.79,96,9.148475101,77.90180337,GOOD,AVAILABLE,,,PLAIN LAND,DC line   plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9018033668399 9.14847510071639, 77.9011831060051 9.14618449518137)"
33,33,,S,,GC,23.62,T32-T33,262.5837055,1.76,93,9.146184495,77.90118311,GOOD,AVAILABLE,,,AGRI LAND,DC line :  agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9011831060051 9.14618449518137, 77.9006701335311 9.14423084857938)"
34,34,,S,,GC,23.62,T33-T34,223.5046431,1.73,90,9.144230849,77.90067013,GOOD,AVAILABLE,,ODAI(NALA),WATER LOGGED AREA,"DC line  odai( nala) , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9006701335311 9.14423084857938, 77.9000797122716 9.14194716709333)"
35,35,,S,,GC,23.62,T34-T35,261.0079323,1.37,91,9.141947167,77.90007971,GOOD,AVAILABLE,,"POND, ODAI BUND-2NOS",PLAIN LAND,"DC line Pond , 2nos odai bund , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9000797122716 9.14194716709333, 77.8994745388627 9.13969193863433)"
36,36,,S,,GC,23.62,T35-T36,258.3719039,1.9,90,9.139691939,77.89947454,GOOD,AVAILABLE,,,PLAIN LAND,DC line  Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8994745388627 9.13969193863433, 77.8990219160914 9.13798983248909)"
37,37,,T,"09°56'35""LT",HC+3,24.94,T36-T37,194.8859757,2.82,89,9.137989832,77.89902192,GOOD,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"Dac line  Road , LT line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8990219160914 9.13798983248909, 77.898909933865 9.13626057435381)"
38,38,,T,"11°34'30""LT",HC,21.94,T37-T38,191.8200931,2.52,91,9.136260574,77.89890993,GOOD,NOT AVAILABLE,,,PLAIN LAND,"DC line   T37- T38 earth wire is not available, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.898909933865 9.13626057435381, 77.8989602252841 9.13590009050376)"
, Gantry (Vijiyapuri),2W,,,,14,T38- Gantry (Vijayapuri),40.28644301,,91,9.135900091,77.89896023,GOOD,,,,,VIjayapuri gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
