S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,TN - 117,T,KCR+3,=26+3,,,,63,,8.72948301024735,77.8532568924129,GOOD,,,,PLAIN,Common tower for 110KV Kayatar - Palayamkottai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8532568924129 8.72948301024735, 77.8537770733237 8.72862990014255)"
2,TN - 117A,S,GCR+6,=28+6,"=CONCATENATE(B6, "" : "", B7)",110,4.7,58,,8.72862990014255,77.8537770733237,GOOD,AVAILABLE,LT -2N,ROAD - 2N,PLAIN,,,,=G7-V7,110.44932388294852,1°6'8''LT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8537770733237 8.72862990014255, 77.8553024958819 8.72623334638774)"
3, TN - 116,S,GCR+6,25,"=CONCATENATE(B7, "" : "", B8)",314,3.6,57,,8.72623334638774,77.8553024958819,GOOD,AVAILABLE,,ROAD,PLAIN,,,,=G8-V8,313.9958293323087,1°19'20''RT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8553024958819 8.72623334638774, 77.8567014355212 8.72391901910305)"
4, TN - 115,S,GCR+3,26,"=CONCATENATE(B8, "" : "", B9)",300,4.1,54,,8.72391901910305,77.8567014355212,GOOD,AVAILABLE,,POND,PLAIN,,,,=G9-V9,298.93426119050696,0°36'31''LT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8567014355212 8.72391901910305, 77.8581456374377 8.72158625163137)"
5, TN - 114,T,KCR+6,26,"=CONCATENATE(B9, "" : "", B10)",303,5.3,56,1°3'22''LT,8.72158625163137,77.8581456374377,GOOD,AVAILABLE,"33KV, 11KV",,PLAIN,,,,=G10-V10,303.270459858562,1°3'22''LT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8581456374377 8.72158625163137, 77.8593751788139 8.71967978775501)"
6, TN - 113,T,KCR+6,25,"=CONCATENATE(B10, "" : "", B11)",250,3.6,59,3°5'9''RT,8.71967978775501,77.8593751788139,GOOD,AVAILABLE,,NH ROAD,PLAIN,,,,=G11-V11,250.73754869851984,3°5'9''RT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8593751788139 8.71967978775501, 77.860799934715 8.71718457899987)"
7, TN - 112,S,GCR+3,25,"=CONCATENATE(B11, "" : "", B12)",318,4.5,60,,8.71718457899987,77.860799934715,GOOD,AVAILABLE,,,PLAIN,,,,=G12-V12,317.65778133902154,0°11'43''LT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.860799934715 8.71718457899987, 77.8622516803443 8.71466212905943)"
8, TN - 111,S,GCR+3,26,"=CONCATENATE(B12, "" : "", B13)",321,2.9,63,,8.71466212905943,77.8622516803443,GOOD,AVAILABLE,,,PLAIN,,,,=G13-V13,321.75063028032207,0°41'10''RT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8622516803443 8.71466212905943, 77.8636581636965 8.71214898303151)"
9, TN - 110,S,GCR+3,25,"=CONCATENATE(B13, "" : "", B14)",318,4.3,54,,8.71214898303151,77.8636581636965,GOOD,AVAILABLE,,,PLAIN,,,,=G14-V14,318.4035212638565,0°27'33''LT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8636581636965 8.71214898303151, 77.8651275951415 8.70957213453948)"
10, TN - 109,S,GCR+3,25,"=CONCATENATE(B14, "" : "", B15)",327,4.1,56,,8.70957213453948,77.8651275951415,GOOD,AVAILABLE,,,PLAIN,AGRI COLLEGE FENCE START,,,=G15-V15,327.94832330022507,0°17'22''LT,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8651275951415 8.70957213453948, 77.8667138703167 8.70682278648018)"
